t,1,2,3,4,5,6,7,8,9,10,11
lambda,0.644,0.668,0.705,0.75,0.777,0.787,0.796,0.782,0.783,0.789,0.826
Irrad,0.1,0.2,0.3,0.5,0.8,0.9,1.0,1.0,0.99,0.9,0.7
cents/kWh,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,30.18066,30.18066,30.18066
P_Subs,0.055111784171710886,0.06349385044276219,0.06105432910417714,0.06159709772139498,0.0547382088051343,0.05490496388012325,0.0689884301913964,0.06777480069882322,0.06080246226482984,0.0550783166804403,0.05968566731717814
P_ij_1_2,0.03817522413977614,0.046150755521851834,0.04295808494500572,0.0427677666621735,0.03588908982456888,0.036022579821994354,0.05009943569539633,0.04925909182608713,0.0422367585704889,0.036142607125153436,0.039296672717752786
P_ij_1_3,0.008584869294101998,0.008904815815402436,0.00939806860380547,0.009997973752444302,0.010357918479412587,0.010491231652976257,0.010611213653251754,0.01042457504513188,0.010437906363330744,0.010517894307909057,0.011011154639909706
P_ij_1_10,0.008351690737832738,0.008438279105507922,0.008698175555365948,0.008831357306777178,0.008491200501152842,0.008391152405152643,0.008277780842748321,0.008091133827604216,0.008127797331010196,0.008417815247377803,0.009377839959515648
P_ij_2_4,0.004293784918584842,0.004453810932533068,0.004700518944790776,0.005000571357793889,0.005180603922305245,0.005247282861905315,0.005307294035262448,0.005213943407964676,0.005220611272404656,0.0052606186632750615,0.005507331814128176
P_ij_2_5,0.008584735945116963,0.013570487550513329,0.010910853486484089,0.010060666025914803,0.00569199851711717,0.005825303683787321,0.015276876232325383,0.01509023894480569,0.010351203069398893,0.005851962654681043,0.006345192988014942
P_ij_2_6,0.016707952770797563,0.01921567125341968,0.01794364684456143,0.01770359310682719,0.01465481373432934,0.014454927210975226,0.018896696882963995,0.018523236461335368,0.01622207549732525,0.014508271760632427,0.016428483784719117
P_ij_6_7,0.004293856205744775,0.004453887663290121,0.004700604396750626,0.005000668074582778,0.005180707728162637,0.00524738936156447,0.005307403035505245,0.0052140486018320085,0.005220716698993472,0.00526072570566204,0.00550744914897186
P_ij_6_8,0.004293828698879898,0.004453858062798581,0.004700571428465527,0.0050006307616654744,0.005180667679311665,0.005247348274390617,0.005307360995642054,0.005214008028734882,0.005220676027970994,0.005260684409268857,0.005507403885836906
P_ij_8_9,0.0042935917061343205,0.004453603032596826,0.004700287383492619,0.005000309286380128,0.005180322633288797,0.005246994282992364,0.0053069987966368835,0.005213658466219123,0.005220325621804881,0.005260328615402937,0.005507013917794739
Q_ij_1_2,0.00553357104755697,0.010102487490670024,0.007708275574305407,0.00910697579604252,0.014546282314375084,0.015313327464967361,0.01626706110468852,0.01584934718393217,0.011963341385388994,0.015351724878850776,0.015619529975041692
Q_ij_1_3,0.0042942631495622805,0.004454325449638611,0.004701092055205168,0.005001219967288982,0.005181300067762836,0.0052479970394988,0.005308024609028374,0.005214648510507081,0.005221318209405618,0.005261336475244839,0.0055081185256772025
Q_ij_1_10,0.0015861564651064753,0.0019046464416590846,0.002052940671748831,0.002507175625510914,0.0031406805358848828,0.0034372447214131466,0.0038549670340984024,0.003763916644973922,0.003655860782620725,0.003427410543234945,0.003253006813588182
Q_ij_2_4,0.002146692308516898,0.002226702580216371,0.002350053007593824,0.002500075955918126,0.00259009085760055,0.002623429925112228,0.0026534352154172366,0.002606760407442708,0.002610094284251464,0.0026300977522567396,0.002753453391754811
Q_ij_2_5,-0.0012280733931413666,0.0014442108599580408,-0.0006441130426737278,-0.0005596971779183954,0.002104420628702798,0.0021700921384417587,0.0022628646689797204,0.002170928646091716,-0.00036700952484769147,0.002173290539326166,0.002419740837866615
Q_ij_2_6,0.0003127486156381419,0.001965034719476482,0.0012910202747628053,0.0021552247358416774,0.004662788496514862,0.005263963991894796,0.00602768943888557,0.005842488082895594,0.004488786267570322,0.005279103928778752,0.004928991730494748
Q_ij_6_7,0.0021467643503208047,0.002226780123309915,0.0023501393641885923,0.0025001736966126197,0.0025901957624044317,0.0026235375522456555,0.002653545369723531,0.0026068667150595777,0.0026102008269750475,0.002630205927865319,0.0027535719688235602
Q_ij_6_8,0.002146782056669517,0.0022267991771967215,0.00235016058568564,0.0025001977143878596,0.002590221541042977,0.0026235639991492358,0.002653572429775085,0.0026068928311030275,0.002610227006043746,0.002630232509422173,0.0027536011033464825
Q_ij_8_9,0.0021465416729307594,0.0022265404979141777,0.0023498724764762354,0.0024998716392971585,0.002589871557954599,0.0026232049426912307,0.0026532050482722266,0.0026065382668978543,0.0026098715861169086,0.0026298716247060245,0.0027532055554754143
l_ij_1_2,0.0014025445785445843,0.002103825975173992,0.0017954634105913723,0.0018022606188994252,0.0014135333599952398,0.001444171655097232,0.0026152989017631085,0.0025239511553153335,0.001816370495642019,0.001453448309223596,0.0016855481202938778
l_ij_1_3,8.685142501131482e-5,9.344590434304795e-5,0.00010408517296007847,0.00011779779462322102,0.00012643260026237716,0.00012970818599585172,0.00013269203548402987,0.00012806515596165523,0.0001283929240206722,0.0001303683308305095,0.00014288330304167542
l_ij_1_10,6.811679770151079e-5,7.051944090538206e-5,7.528738256313003e-5,7.944072867949795e-5,7.72424145928842e-5,7.74914734497764e-5,7.85951804626883e-5,7.506137709709672e-5,7.486561027239758e-5,7.786325991132065e-5,9.286855239498729e-5
l_ij_2_4,2.1728120713468558e-5,2.3380204030838163e-5,2.6040957040471237e-5,2.947215366197212e-5,3.1633286557597685e-5,3.24531492526346e-5,3.320273878157828e-5,3.204467239158949e-5,3.2123951339863587e-5,3.261835528455562e-5,3.575037576087947e-5
l_ij_2_5,7.090726748370987e-5,0.00017561895173077657,0.0001126375310302708,9.573512645706664e-5,3.4725886532103835e-5,3.643878064111623e-5,0.0002249190050156814,0.00021918765340333342,0.00010112998686746352,3.6745781178208235e-5,4.3486925966958474e-5
l_ij_2_6,0.0002632945473162259,0.00035181809334888727,0.0003051642428864858,0.00029990877760964724,0.0002230107129184864,0.00022315383967001033,0.00037101022056960594,0.0003557547300765381,0.0002671349445106472,0.00022476236792351854,0.0002774146338263021
