first,second
vald_pv_real_power_allT_kW,54.52220988645844
vald_pv_reactive_power_vs_t_1toT_kVAr,"[8.237134634510866, 8.166958215831531, 8.028728015879537, 7.444837001221442, 6.094153993136817, 5.503304297027224, 4.5947435342924035, 4.590152907924793, 4.610695003639187, 5.530137441592661, 6.7946499898213055, 7.891180627983486]"
disc_PSubs_all_time_kW,2.7830665764838614e-5
vald_PLoss_allT_kW,0.12733133602015823
vald_total_gen_real_power_vs_t_1toT_kW,"[-1.1293784665467803, 1.3997720982193196, 9.09869996609407, 1.5527516669143289, 0.7798994476286358, 4.933582002167549, 9.332518986687292, 7.4331563070634745, 9.26100998373873, 8.204425822499823, 6.124097648897133, 4.938961241007627]"
vald_PSubs_allT_kW,732.0942924035786
vald_battery_real_power_allT_kW,7.407286817912758
vald_PSubs_vs_t_1toT_kW,"[56.94157199754758, 56.491937334173, 51.9978427768319, 63.44731684412083, 66.56037827420765, 63.27194228647427, 59.65160002273012, 60.33813325250259, 58.59752114789572, 60.173485145132034, 65.46172821738922, 69.16083510457361]"
vald_battery_real_power_vs_t_1toT_kW,"[-1.8292782119666933, -2.7903653415271014e-5, 6.998999958584504, -1.9467484527650263, -4.819300552250131, -1.3655180000494511, 2.3335189843483675, 0.434156294434675, 2.33200007878161, 1.9053257670010493, 1.224797650210773, 2.1393612052364963]"
vald_substation_real_power_peak_allT_kW,69.16083510457361
vald_terminal_soc_violation_kWh,9.098627974407044
vald_solution_time,0.0
vald_battery_reactive_power_vs_t_1toT_kVAr,"[7.976575580616851, 8.297224343757438, 4.601284982585669, 6.998219712692666, 5.78803898853055, 8.189684597517253, 7.113802161888605, 8.326181756182057, 4.560141269288732, 8.047092540445554, 8.24532640109779, 7.39970558396327]"
vald_battery_real_power_transaction_magnitude_t_kW,2.1393612052364963
disc_line_loss_all_time_kW,8.75495787092985e-6
vald_PLoss_vs_t_1toT_kW,"[0.00894640835754035, 0.008841640568406547, 0.007588448455446269, 0.011822248269431838, 0.012452407470062099, 0.01118580634979753, 0.0099227867280606, 0.010207164293329697, 0.010800449494799068, 0.010269841095552693, 0.012101440348662435, 0.013192694589069106]"
vald_QLoss_vs_t_1toT_kVAr,"[0.0559806329291697, 0.056323408579045574, 0.05858183365246441, 0.05159492787899399, 0.04946669156634243, 0.05202092446751945, 0.05413101240714195, 0.053742254231992886, 0.05346813180637264, 0.053920917364854076, 0.050963584113255654, 0.04903262563851241]"
disc_voltage_all_time_pu,1.0491546968083298e-5
vald_load_real_power_vs_t_1toT_kW,"[55.80324474528515, 57.882867903665364, 61.08895468518463, 64.98824890748745, 67.32782658819522, 68.1943372989667, 68.97419605210138, 67.76108214370794, 67.84773216520395, 68.36763972593629, 71.57372545113154, 74.08660454425834]"
vald_PSubsCost_allT_dollar,84.69067912393314
vald_PSubsCost_vs_t_1toT_dollar,"[2.7448138142326632, 2.7231396069339686, 2.506506093128116, 3.058416999046674, 3.2084791367450363, 3.049963236854897, 2.8754481135596834, 2.9085417888289644, 2.824637253314011, 18.160754961802805, 19.7567816234143, 20.873196496072005]"
vald_static_cap_reactive_power_allT_kVAr,0.0
vald_load_reactive_power_vs_t_1toT_kVAr,"[27.907098545701228, 28.947111944213184, 30.55046966358153, 32.500497210877214, 33.670516829587704, 34.10385920962068, 34.4938642256589, 33.88718821239186, 33.93052060795696, 34.19052735335548, 35.7938828854236, 37.050569050378634]"
vald_battery_real_power_transaction_magnitude_vs_t_1toT_kW,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vald_load_reactive_power_allT_kVAr,397.026105738747
vald_QSubs_vs_t_1toT_kVAr,"[11.637335976557356, 12.426571502458657, 17.86190837677244, 18.00587931286149, 21.738856146628173, 20.358864164314557, 22.73125149568222, 20.917081829771362, 24.706227711196817, 20.55938162676945, 20.702899585652577, 21.710620630697115]"
vald_total_gen_reactive_power_allT_kVAr,163.02995358142766
vald_battery_reactive_power_allT_kVAr,85.54327791856645
vald_pv_reactive_power_allT_kVAr,77.48667566286126
vald_QLoss_allT_kVAr,0.6392269446356651
vald_static_cap_reactive_power_vs_t_1toT_kVAr,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vald_battery_real_power_transaction_magnitude_allT_kW,32.769598340398346
