t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
lambda,0.71,0.6997563025210084,0.6895126050420168,0.6792689075630252,0.6690252100840337,0.658781512605042,0.6507731092436975,0.6432352941176471,0.6356974789915966,0.6281596638655462,0.6206218487394958,0.6147226890756303,0.6096974789915967,0.604672268907563,0.5996470588235294,0.5946218487394958,0.5925546218487394,0.5937142857142856,0.5948739495798319,0.5960336134453781,0.5971932773109243,0.5988823529411764,0.601781512605042,0.6046806722689075,0.6075798319327731,0.6104789915966387,0.613781512605042,0.6197731092436974,0.625764705882353,0.6317563025210085,0.6377478991596639,0.6437394957983193,0.648436974789916,0.6530756302521008,0.6577142857142857,0.6623529411764706,0.6669915966386555,0.6735966386554622,0.6807478991596638,0.6878991596638655,0.6950504201680673,0.7022016806722688,0.7102941176470587,0.7189915966386555,0.7276890756302521,0.7363865546218487,0.7450840336134454,0.7522689075630252,0.7574873949579832,0.7627058823529411,0.7679243697478991,0.7731428571428571,0.7775042016806724,0.7794369747899159,0.7813697478991597,0.7833025210084035,0.785235294117647,0.7871512605042017,0.788890756302521,0.7906302521008404,0.7923697478991597,0.794109243697479,0.7958487394957984,0.7935294117647058,0.7908235294117647,0.7881176470588236,0.7854117647058824,0.7827058823529413,0.7821428571428571,0.7823361344537816,0.7825294117647059,0.7827226890756303,0.7829159663865547,0.783655462184874,0.7848151260504201,0.7859747899159664,0.7871344537815126,0.7882941176470588,0.7917983193277311,0.7989495798319328,0.8061008403361345,0.813252100840336,0.8204033613445378,0.827218487394958,0.8328235294117647,0.8384285714285713,0.8440336134453781,0.8496386554621849,0.8557983193277311,0.8741596638655461,0.8925210084033612,0.9108823529411765,0.9292436974789916,0.9476050420168067,0.9584033613445377,0.9680672268907562,0.9777310924369749,0.9873949579831933,0.9970588235294118,0.9959663865546219,0.9901680672268908,0.9843697478991597,0.9785714285714285,0.9727731092436974,0.9650588235294117,0.9555882352941176,0.9461176470588236,0.9366470588235294,0.9271764705882353,0.9162268907563026,0.9025042016806724,0.8887815126050421,0.8750588235294117,0.8613361344537814,0.8456302521008403,0.8205042016806723,0.7953781512605044,0.770252100840336,0.745126050420168,0.72
Irrad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025210084033613356,0.021848739495798332,0.04117647058823533,0.060504201680672234,0.07983193277310924,0.09915966386554623,0.11848739495798323,0.13781512605042023,0.15714285714285714,0.17647058823529413,0.19579831932773112,0.21512605042016802,0.23445378151260493,0.253781512605042,0.2731092436974791,0.292436974789916,0.3235294117647058,0.36218487394958,0.4008403361344538,0.4394957983193276,0.47815126050420176,0.5252100840336134,0.5831932773109246,0.6411764705882353,0.6991596638655461,0.7571428571428573,0.8050420168067227,0.8243697478991596,0.8436974789915967,0.8630252100840337,0.8823529411764707,0.9016806722689076,0.9210084033613445,0.9403361344537816,0.9596638655462184,0.9789915966386555,0.9983193277310924,1.0,1.0,1.0,1.0,1.0,0.9985714285714286,0.9966386554621849,0.9947058823529412,0.9927731092436974,0.9908403361344538,0.9801680672268908,0.9627731092436975,0.9453781512605042,0.927983193277311,0.9105882352941176,0.884873949579832,0.8462184873949582,0.8075630252100836,0.7689075630252105,0.730252100840336,0.6873949579831933,0.6294117647058826,0.5714285714285718,0.5134453781512601,0.4554621848739494,0.3974789915966387,0.33949579831932797,0.28151260504201725,0.22352941176470545,0.16554621848739473,0.10756302521008401,0.08319327731092444,0.06386554621848753,0.04453781512605026,0.025210084033613356,0.00588235294117645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cents/kWh,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,30.18066,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404,4.820404
P_Subs,0.061603505659091375,0.0607181056110859,0.05983291299821071,0.05894795326611604,0.058063256372177297,0.05717885784049158,0.056487698964541914,0.05583738012531026,0.05518730297908317,0.05453749745009226,0.053887998771309675,0.05337998889861693,0.05294748222145157,0.05251519346049103,0.052083147354693965,0.051651372661413085,0.051474136320369145,0.05157436251384493,0.05167463271491363,0.05177494692103028,0.051875305284775804,0.05202122470746238,0.052271245154581085,0.05252133593088962,0.05277149398147462,0.053021716560096986,0.05328918606351376,0.05367131148942281,0.05405354424532586,0.05443587718438361,0.054818303896466254,0.055200818621952114,0.05547192601895355,0.05573801579744783,0.05600415395007829,0.056270339588408456,0.0565365719993627,0.056972320977550304,0.05745523805014292,0.057938248036135204,0.05842134526420737,0.058904524637240746,0.05938701221684932,0.05986908151248061,0.060351223926371995,0.06083343598796684,0.061315714628150296,0.06160894764253735,0.061656408399261155,0.06170394767899385,0.06175157305582747,0.061799293289215414,0.06184340333002313,0.06187708910981441,0.0619108794907768,0.061944786062298585,0.061978822321903375,0.06201155587469343,0.06202925180513347,0.062047143574499065,0.06206525974261435,0.06208363509331755,0.06210231249329776,0.061894783753510756,0.06166640448188687,0.06143894356335063,0.06121264843883657,0.06098787042181613,0.06095799769219123,0.060998006313470125,0.061040378183565606,0.06108622231067527,0.061137538051804156,0.061303150038813585,0.061564968537546644,0.06186541555983427,0.062352628313941116,0.0618586786595592,0.06238133272763609,0.06327975393972196,0.06417391715217206,0.06506640495419402,0.06595801447194204,0.0668493562899701,0.06774131919497624,0.06863297947507022,0.06952437902401173,0.0704155350531304,0.07135433166120636,0.07334520008415304,0.07533224251917675,0.07731103943796354,0.07926678666229076,0.08112603921084086,0.08204704219069338,0.08274389870689278,0.08332818712515877,0.08381843584875598,0.08425762772836762,0.0842396514316242,0.08401946702130317,0.0837859895418309,0.0835353741312087,0.08326134349259523,0.08286447763587755,0.08231038982379334,0.08166429739963524,0.0809428461162005,0.08017511405148949,0.079261682660424,0.07809894200809793,0.07691543309565756,0.07568813853394853,0.07535456166607739,0.0738228936988657,0.07175888654384983,0.06984560535672445,0.06816948437992544,0.06677468952423697,0.065577938529912
P_ij_1_2,0.04267380328105618,0.04206153275499084,0.04144946915263883,0.04083763791981859,0.040226069014096116,0.039614797959784905,0.03913716660837536,0.03868782774597486,0.03823873030034292,0.03778990419584542,0.03734138466560272,0.03699066262981794,0.036692141754628246,0.0363938386731886,0.036095778124518314,0.035797988866034906,0.03567587024360891,0.035745176743822084,0.03581452724511796,0.03588392174495066,0.03595336039590027,0.03605424457308031,0.036226965685992554,0.036399757087369096,0.03657261572228431,0.036745538844487294,0.036930837601309406,0.037198317202381634,0.037465904018541184,0.037733590901610395,0.03800137144008308,0.038269239872921454,0.03846020572628071,0.0386477222889782,0.03883528715030017,0.03902289942053173,0.03921055838526865,0.03951530421494842,0.0398526541806021,0.040190096871880306,0.04052762661528892,0.040865238311463666,0.04120451953694336,0.041544900290235456,0.0418853538150996,0.042225876624271026,0.04256646563010941,0.042777950901517245,0.042821588356661625,0.04286530368376068,0.04290910436570043,0.04295299904438958,0.04299260372166997,0.04301986038927257,0.04304722151577163,0.043074698679936796,0.04310230536719141,0.04312905729084818,0.04314547668040639,0.043162091697251506,0.04317893087910123,0.04319602898329038,0.0432134288442501,0.04307166300254652,0.042915431414819266,0.042760118144400706,0.04260597063222559,0.042453340191765616,0.042435145835329355,0.042465490762973984,0.042498198936014246,0.04253437936268562,0.04257603140003014,0.042697021248530545,0.0428873263199111,0.043116259693796004,0.04353195859629519,0.04296649948250692,0.043335711784021465,0.04395324758041963,0.04456652437494795,0.04517812481648847,0.04578884607658735,0.04639845566735967,0.047005650058171276,0.047612540619032716,0.048219169306412145,0.04882555337855035,0.04946478867167128,0.05083075112694774,0.05219288450899059,0.053546769275822984,0.054877601231488216,0.05611193537310005,0.05668813141838661,0.05708219734731604,0.05736369449071321,0.05755115124995367,0.05768755047378258,0.05768497447574733,0.05761939984007999,0.0575405319708887,0.05744452600617558,0.05732510464910007,0.057133936103440454,0.05683237607386673,0.056438810993722194,0.055969886615807735,0.05545468101812734,0.054833211801490624,0.054036375333732324,0.053218769685260674,0.05235737746693305,0.05238969744792139,0.05127680959809904,0.04988275849878231,0.04863943028428652,0.04763325919780148,0.046908411151067184,0.046381603885568744
P_ij_1_3,0.009464724562937921,0.009328163912085663,0.009191603438037495,0.009055043140792307,0.00891848302034899,0.008781923076706428,0.008675162226678143,0.00857467493560258,0.008474187740258482,0.008373700640645411,0.008273213636762922,0.008194571700500317,0.008127580467708086,0.008060589277462298,0.007993598129762827,0.00792660702460953,0.007899048823135,0.007914508301124352,0.007929967781379468,0.007945427263900353,0.007960886748687002,0.007983403828407953,0.008022052558537694,0.008060701302828533,0.0080993500612805,0.008137998833893614,0.008182024844297817,0.008261899052578512,0.008341773321343506,0.008421647650593018,0.008501522040327274,0.00858139649054649,0.008644018998025218,0.008705857360319372,0.008767695758867086,0.008829534193668458,0.008891372664723594,0.00897942533281182,0.009074759792968609,0.009170094339291997,0.009265428971782364,0.009360763690440081,0.009468645503022212,0.009584593368542092,0.009700541361521034,0.00981648948195972,0.009932437729858837,0.010028221161217776,0.010097790234315148,0.010167359353298867,0.010236928518169083,0.010306497728925942,0.010364640147995518,0.010390406548198363,0.01041617295469572,0.010441939367487591,0.010467705786573984,0.010493248156054904,0.010516437944230303,0.010539627737504286,0.010562817535876855,0.010586007339348016,0.010609197147917776,0.010578277404291117,0.010542204381516124,0.01050613137107845,0.010470058372978078,0.010433985387214987,0.010426479519057124,0.010429056160304841,0.0104316328016155,0.010434209442989105,0.010436786084425656,0.010446644539198816,0.010462104390584969,0.010477564244237153,0.01049302410015537,0.010508483958339622,0.010555199630535117,0.01065053551497005,0.010745871485577835,0.010841207542358847,0.010936543685313476,0.011027398773657578,0.011102121821121164,0.011176844921523302,0.011251568074864172,0.01132629128114396,0.011408408448951008,0.011653191927420668,0.011897975974002748,0.012142760588703656,0.012387545771529791,0.012632331522487559,0.01277629045598053,0.012905125465801845,0.013033960633004096,0.013162795957588213,0.013291631439555134,0.013277067420660182,0.013199766123268742,0.013122464882535205,0.013045163698459374,0.012967862571041044,0.012865018550221537,0.01273876028706764,0.012612502175061237,0.012486244214201445,0.01235998640448739,0.01221401150321157,0.012031067035001378,0.01184812288412133,0.011665179050568748,0.011482235534340968,0.011272853540526184,0.010937888026370808,0.010602923576014174,0.010267960189439864,0.009932997866631479,0.00959803660757261
P_ij_1_10,0.009464977815097272,0.009328408944009397,0.009191840407534388,0.00905527220550514,0.008918704337732196,0.008782136804000244,0.008675370129488416,0.008574877443732816,0.008474384938481766,0.00837389261360142,0.008273400468944038,0.00819475456829867,0.008127759999115237,0.008060765509840135,0.007993771100412826,0.007926776770768649,0.007899217253625237,0.007914677468898493,0.007930137688416211,0.00794559791217927,0.007961058140188534,0.007983576305974112,0.008022226910050834,0.008060877540691987,0.008099528197909808,0.00813817888171608,0.008176323617906538,0.008211095234462661,0.00824586690544117,0.008280638632180197,0.008315410416055899,0.008350182258484173,0.008367701294647619,0.008384436148150261,0.008401171040911032,0.008417905974208273,0.008434640949370457,0.008477591429790063,0.008527824076572215,0.008578056824962895,0.008628289677136082,0.008678522635337,0.008713847176883747,0.008739587853703068,0.008765328749751368,0.008791069881736098,0.008816811268182052,0.008802775579802321,0.00873702980828439,0.0086712846419343,0.008605540171957957,0.008539796515899886,0.008486159460357648,0.008466822172343475,0.008447485020309451,0.008428148014874199,0.008408811168137987,0.008389250427790351,0.008367337180496773,0.008345424139743275,0.008323511327636268,0.008301598770679156,0.008279686501129885,0.00824484334667311,0.00820876868555148,0.008172694047871479,0.008136619433632898,0.008100544842835525,0.008096372337804749,0.008103459390191296,0.008110546445935861,0.008117633505000547,0.00812472056734836,0.008159484251084223,0.008215537827050574,0.00827159162180111,0.008327645617490564,0.008383695218712654,0.008490421313079503,0.008675970844332274,0.008861521291646279,0.009047072595346714,0.009232624710041205,0.009423501848952853,0.009633547315683803,0.009843593934514203,0.01005364164273542,0.010263690393436088,0.010481134540584077,0.010861257029784636,0.011241382036183422,0.011621509573436896,0.012001639659272749,0.012381772315253246,0.012582620316326244,0.0127565758937749,0.01293053200144146,0.013104488641214097,0.013278445815029911,0.013277609535216684,0.013200301057954434,0.013122992688406993,0.013045684426573756,0.012968376272454113,0.01286552298221556,0.012739253462858972,0.012612984230851807,0.012486715286191321,0.012360446628874752,0.012214459355721805,0.01203149963936422,0.011848540526275557,0.011665582016446723,0.011482628683815024,0.011273230560240478,0.010938240018696716,0.010603251496423747,0.01026826499268409,0.00993328050653831,0.009598298036770652
P_ij_2_4,0.004733857998394033,0.004665555014370203,0.004597252150395613,0.0045289494064670146,0.004460646782581174,0.0043923442787348645,0.004338946260480716,0.004288686073177417,0.004238425950868042,0.004188165893551337,0.004137905901226055,0.0040985720395224235,0.004065065447985551,0.004031558885332451,0.003998052351562773,0.003964545846676167,0.0039507622426830456,0.003958494507736773,0.003966226774328667,0.003973959042458734,0.0039816913121269795,0.0039929535337430025,0.004012284220242758,0.0040316149163560095,0.00405094562208283,0.004070276337423287,0.004092296555292438,0.004132246753316318,0.004172196992401505,0.004212147272548811,0.0042520975937590565,0.004292047956033073,0.0043233695170039384,0.004354298882839321,0.0043852282732897065,0.004416157688355577,0.004447087128037431,0.0044911280031437965,0.004538810991628737,0.004586494038619187,0.004634177144116558,0.004681860308122274,0.0047358191177149876,0.004793812314358695,0.004851805597567025,0.00490979896734445,0.0049677924236957065,0.005015700126849222,0.00505049628516491,0.0050852924747170495,0.005120088695517393,0.005154884947580758,0.005183965897210506,0.005196853415582761,0.005209740938246752,0.005222628465203797,0.005235515996455388,0.00524829146646032,0.005259890252121323,0.005271489041270381,0.005283087833910156,0.005294686630043823,0.0053062854296752416,0.005290820364801322,0.005272777796856563,0.005254735237292053,0.005236692686108191,0.005218650143305569,0.005214895950656444,0.005216184703295756,0.005217473455982847,0.005218762208719927,0.005220050961510991,0.00522498184198815,0.005232714360362168,0.005240446880374041,0.0052481794023212,0.005255911923428302,0.0052792776004625674,0.005326961555785314,0.005374645569677621,0.005422329642140668,0.005470013773173495,0.00551545663642564,0.005552830769682229,0.0055902049389862036,0.005627579144332794,0.0056649533857188366,0.005706025869445752,0.005828459110449369,0.005950892737420878,0.006073326750373355,0.006195761149289356,0.006318195933973991,0.006390200094748377,0.006454639728891073,0.006519079469588152,0.006583519316880401,0.0066479592708921145,0.006640674749034168,0.00660201077109823,0.006563346831592357,0.0065246829305056235,0.006486019067820159,0.006434579379620658,0.006371428569933836,0.006308277862629804,0.006245127257770002,0.006181976755446484,0.006108964368237761,0.006017460933176947,0.0059259577136139595,0.005834454709488481,0.005742951923577156,0.005638225481127563,0.005470686174572053,0.005303147590792566,0.005135609729850722,0.004968072591692781,0.004800536176034819
P_ij_2_5,0.0095126316398324,0.009377899150917034,0.009243317434458465,0.009108906205757229,0.008974688802858401,0.008840693061651316,0.00873612615857438,0.008637874030393762,0.00853980494226936,0.008441942834314896,0.008344316059206673,0.008268137712477417,0.008203432102387095,0.00813889632720603,0.008074550674779602,0.00801041885716372,0.007984332203741179,0.007999578047236985,0.008014857943783564,0.008030171909397331,0.008045520089228915,0.008067680041178632,0.008105379912490378,0.008143134306219605,0.00818094075861114,0.008218797063631553,0.008261962341743489,0.008340276009551494,0.008418680312843704,0.008497168706654066,0.008575735330879785,0.008654374927645134,0.008716329859696005,0.008777563295675724,0.00883883500474631,0.00890014398948842,0.008961489399687408,0.009048383564191511,0.009142438810755138,0.009236567802509735,0.009330765576945762,0.00942502768116603,0.009531838226101881,0.00964673847433951,0.009761697711121618,0.00987671239975077,0.0099917793582455,0.010087254761046053,0.010157232243445275,0.01022724189299068,0.010297286191877015,0.010367367933762889,0.01042612536608873,0.010452733498169112,0.010479402413604327,0.010506138705162602,0.01053295002955656,0.010559626753994737,0.01058410544006194,0.010608696464775812,0.010633415778634907,0.010658282705449591,0.010683320915231454,0.010655728352528492,0.0106235591705708,0.01059196534839069,0.010561100563764447,0.010531182298287959,0.0105293564472532,0.0105381410972775,0.010548419417411713,0.010560885965586174,0.010576785963715012,0.010604013630026794,0.01064546350717085,0.010711936027460884,0.010896773408165682,0.010447490809484901,0.0105217074391196,0.010622616569822656,0.010720507812190345,0.010817205818216694,0.010913274453168854,0.011004483033475109,0.011079335704752957,0.011153966593663299,0.01122840908026508,0.01130267869227589,0.01138402571642025,0.011623763207781804,0.011860572099074138,0.012090951992936189,0.012302785795362285,0.012434107340551339,0.012422481737617829,0.012334749999621182,0.012220796057337722,0.012125406312807707,0.012042812364212941,0.01205259783251155,0.012100200753769521,0.012146048162824365,0.012190990787864947,0.012234518510432956,0.01229311827476202,0.012352215803745405,0.012360220773904992,0.01231238371283667,0.012228043446557351,0.012109790157230967,0.01194721938421083,0.011769541145465743,0.011562600678598368,0.011955999606390306,0.011640655527804303,0.011392701349718653,0.01125286609667155,0.01126658121245667,0.01139857371762051,0.011570827623219078
P_ij_2_6,0.018957475660198293,0.018684955640049725,0.018412488926276966,0.0181400812451258,0.01786773921108345,0.01759547050660418,0.017382675836012423,0.017182439530390767,0.01698226003885133,0.016782143340589823,0.016582096310110667,0.016425604683628595,0.01629235150847312,0.01615914557827865,0.01602599134001449,0.015892893834167088,0.015838229058676056,0.015869083579841996,0.015899948004089573,0.01593082231280848,0.015961706513348353,0.01600663028866549,0.016083635745195102,0.01616065672951101,0.016237692650919518,0.016314742969625113,0.016390790270013743,0.01646007322496465,0.016529372029410648,0.016598686076663156,0.01666801481162377,0.016737357727223023,0.016772380302615172,0.016805851834262985,0.01683933294858832,0.01687282374903322,0.01690632436697267,0.01699200967967651,0.01709220561813183,0.017192419408866948,0.01729265033472499,0.01739289774273984,0.017463440490482606,0.017514889907076923,0.017566351322657082,0.017617824733980977,0.017669310177259475,0.017641563770656687,0.017510832523940444,0.017380144911867238,0.017249505663094706,0.017118920277210757,0.01701251385709434,0.01697449262044033,0.016936514592181883,0.016898584724364313,0.016860708806964227,0.01682244852987801,0.016779585205116507,0.01673680448499452,0.016694118885343306,0.016651543754005467,0.016609098151024845,0.0165413466594188,0.016471441842177532,0.016401879574276048,0.01633275356134455,0.016264197553497374,0.016259095166371796,0.01627678366294652,0.016295341150467452,0.016315181809735662,0.016337059289684947,0.016416008167351715,0.016541633029879686,0.01668085335476702,0.016888427442507115,0.01674921341939949,0.016974044419107076,0.01734750519714645,0.017719722277253776,0.01809145319747,0.018462931194801097,0.01884487874366381,0.019264970662991134,0.01968497660117547,0.02010490529696792,0.02052475860497884,0.020959280054892844,0.02171788325119991,0.022475573474989165,0.023231432952448745,0.023982779319153186,0.02471815763190791,0.025089815726264945,0.02537819668302399,0.025580266216206606,0.025669760795031044,0.02569541786909044,0.025704907631798085,0.025707726521656156,0.02569901181005275,0.02567406914369333,0.025627133359683044,0.025531723213461786,0.02536058719962277,0.025148567178761305,0.02491705245261683,0.024675772499422453,0.024391754359764168,0.024032202217020487,0.0236669898528667,0.023287261207085387,0.023200626757657057,0.022717538082634808,0.022074375002603775,0.02147375920985459,0.020956673354695216,0.02060254867754653,0.02040614408557429
