first,second
vald_pv_real_power_allT_kW,55.22210910991182
vald_pv_reactive_power_vs_t_1toT_kVAr,"[8.128513853404751, 8.060391302454903, 7.982422831923086, 7.911440400599248, 7.929483484121444, 7.970419271752663, 8.011204437671257, 7.967284348816074, 7.868505904322928, 7.423332995191158, 6.09238923850381, 5.4026882310027755, 4.505145087640786, 4.501434775290834, 4.604240232038466, 5.530105498662, 6.79539074796244, 7.890769614348456, 8.346378958931236, 8.377762223138106, 8.376502539617796, 8.374064613337271, 8.220792599871338, 8.138262689620959]"
disc_PSubs_all_time_kW,5.957273882017944e-5
vald_PLoss_allT_kW,0.280100388940245
vald_total_gen_real_power_vs_t_1toT_kW,"[-0.20596612100752681, -0.39505089596479837, -0.8375698753536968, -1.4820777672172738, -1.3444845590147911, -1.0264889882506776, 0.02435552640991434, 0.8609912093748405, 1.7345320768301948, 3.2246801267726273, 5.299174522956266, 5.96864276528064, 6.619240676890338, 6.4162609057522975, 6.090337135762523, 6.458914889401695, 5.448173699266799, 4.231795234495438, 4.279569114741932, 4.257907355544923, 3.9532772461653733, 3.355704432752465, -0.00021785756079930574, 0.0001668445561383674]"
vald_PSubs_allT_kW,1528.3472473087502
vald_battery_real_power_allT_kW,7.709758588673026
vald_PSubs_vs_t_1toT_kW,"[61.73890608636143, 57.3339664494074, 54.39616230552605, 52.78727478902814, 53.16969598426048, 54.151753455065084, 55.78756248007148, 57.03092027928411, 59.364220429055486, 61.77418839331912, 62.039418627613095, 62.236590351104724, 62.365992464615694, 61.355490711357916, 61.76821183869819, 61.91947923225029, 66.13784897949229, 69.86860795743507, 78.05634244377568, 82.41274763769555, 80.11669226813216, 76.4666039247161, 73.66905502464483, 62.39951519583982]"
vald_battery_real_power_vs_t_1toT_kW,"[-0.20596554200056727, -0.3950507567692662, -0.8375697878820176, -1.4820777230489333, -1.3444845692465586, -1.0264890159333426, -0.6755445205230108, -0.5388088249367792, -0.3651679794620005, -0.2748199135451437, -0.3000254619471835, -0.3304572215212592, -0.3797592994758799, -0.5827391100107202, -0.8386728626222886, 0.1598148832426706, 0.5488737010307047, 1.4321951937707251, 3.5796688568455233, 4.257907183699825, 3.953277336380733, 3.3557045722335506, -0.00021770680116751874, 0.000167157195413532]"
vald_substation_real_power_peak_allT_kW,82.41274763769555
vald_terminal_soc_violation_kWh,9.09852525526981
vald_solution_time,0.0
vald_battery_reactive_power_vs_t_1toT_kVAr,"[8.168615222204501, 8.0782968545551, 7.9446210549834895, 7.766583262212256, 7.811951350594054, 7.908659710305011, 8.034410127029572, 8.098037386898001, 8.165629428873075, 8.22130275369173, 8.255194725047241, 8.265446135769096, 8.27420301401582, 8.257105397897067, 8.23502272784509, 8.378692209834476, 8.357196508329391, 8.24522763325945, 7.583796011651775, 7.223585508929865, 7.393978339370585, 7.682580410193652, 8.269182850839242, 8.182365445959134]"
vald_battery_real_power_transaction_magnitude_t_kW,0.000167157195413532
disc_line_loss_all_time_kW,5.8920661366212296e-5
vald_PLoss_vs_t_1toT_kW,"[0.010722944823255602, 0.009207102243036388, 0.008273579372733366, 0.007804596719327492, 0.00791352402342909, 0.00820174081662435, 0.008674591308881645, 0.009044005341198499, 0.009798520443669077, 0.010619956035894575, 0.010767235876053747, 0.010896663085906767, 0.011037779582982694, 0.010669112770136054, 0.010816078990748792, 0.010754842672865379, 0.012298066449209728, 0.013799529982265085, 0.01746717885316957, 0.019658576194136003, 0.018497694052408406, 0.016734757306031498, 0.015484330321825838, 0.010957981674455369]"
vald_QLoss_vs_t_1toT_kVAr,"[0.05338417478764973, 0.055808915290673555, 0.057280741716223216, 0.05800029218644388, 0.05783125191979343, 0.057383905280791396, 0.056599076126422, 0.055964236446661174, 0.05470654675745993, 0.05328372158437401, 0.05291000886995244, 0.052662171235461866, 0.05240278636609028, 0.052994191561466605, 0.05274175010078102, 0.05292101741405372, 0.05054921031171017, 0.048355020051003776, 0.04272446654301234, 0.039317274639264044, 0.04115681154863796, 0.04394512832223916, 0.04574369851690295, 0.05301988485761638]"
disc_voltage_all_time_pu,1.0493038855363679e-5
vald_load_real_power_vs_t_1toT_kW,"[61.5222115140426, 56.92970730412104, 53.550318176884055, 51.2973920920941, 51.81729797883487, 53.11706294099778, 55.80324386486349, 57.88286787671702, 61.08895475577836, 64.98824962215194, 67.32782665795915, 68.19433682666116, 68.97419579042189, 67.7610821451131, 67.84773298010423, 68.36763909865593, 71.57372551336479, 74.08660455768778, 82.31844818871669, 86.65099885006165, 84.05147058423405, 79.80557183004616, 73.6533507950028, 62.388721268865254]"
vald_PSubsCost_allT_dollar,204.27233275933722
vald_PSubsCost_vs_t_1toT_dollar,"[2.9760646985432095, 2.763728812085892, 2.6221147836220697, 2.5445599054213037, 2.562994152013131, 2.6103332896180955, 2.6891858932918646, 2.7491207623794223, 2.8615952561310074, 2.9777654482790905, 2.9905506171022065, 3.000055090748266, 3.0062927954040335, 2.957582528469925, 2.977477354201081, 18.687707500856067, 19.960839331814036, 21.086807014366425, 23.557919321391626, 24.872711161190924, 24.17974649669125, 23.07812574406522, 3.5511460751701804, 3.00790872648087]"
vald_static_cap_reactive_power_allT_kVAr,0.0
