first,second
vald_pv_real_power_allT_kW,29.395799885774437
vald_pv_reactive_power_vs_t_1toT_kVAr,"[7.336643405300691, 6.039286768848435, 5.361970786588879, 4.4775917933798395, 4.61964710588456]"
disc_PSubs_all_time_kW,2.9640187882762348e-5
vald_PLoss_allT_kW,0.055802060100153546
vald_total_gen_real_power_vs_t_1toT_kW,"[1.679845620955832, 3.78234243535522, 4.380845177722971, 4.801769646760051, 13.998000223609067]"
vald_PSubs_allT_kW,308.65869693780996
vald_battery_real_power_allT_kW,-0.752996781371297
vald_PSubs_vs_t_1toT_kW,"[63.31989723529891, 63.55719758860398, 63.82540289564178, 64.18461937277311, 53.77157984549216]"
vald_battery_real_power_vs_t_1toT_kW,"[-1.819654206169771, -1.816857548007295, -1.9182548076618713, -2.1972303257868067, 6.999000106254447]"
vald_substation_real_power_peak_allT_kW,64.18461937277311
vald_terminal_soc_violation_kWh,0.002971489654965463
vald_solution_time,0.0
vald_battery_reactive_power_vs_t_1toT_kVAr,"[4.501027626850956, 4.52921061824358, 4.5384075932166, 4.547161218037083, 4.628730593387219]"
vald_battery_real_power_transaction_magnitude_t_kW,6.999000106254447
disc_line_loss_all_time_kW,8.709174167889286e-6
vald_PLoss_vs_t_1toT_kW,"[0.01148728718111488, 0.011714191108590967, 0.01191168225299407, 0.01219378405820953, 0.008495115499244093]"
vald_QLoss_vs_t_1toT_kVAr,"[0.05167671400529366, 0.05119466939048061, 0.050839088218340295, 0.05034832419280338, 0.05687229177071049]"
disc_voltage_all_time_pu,1.0490473082436225e-5
vald_load_real_power_vs_t_1toT_kW,"[64.98825140218968, 67.3278266281012, 68.19433680683255, 68.97419575459934, 67.76108308156287]"
vald_PSubsCost_allT_dollar,28.515206477599282
vald_PSubsCost_vs_t_1toT_dollar,"[3.052274859126238, 3.0637136948489694, 3.076642274197632, 3.09395795962993, 16.228617689796515]"
vald_static_cap_reactive_power_allT_kVAr,0.0
vald_load_reactive_power_vs_t_1toT_kVAr,"[32.50050403402269, 33.67051731551071, 34.103857637989556, 34.49386355009458, 33.88719004048228]"
vald_battery_real_power_transaction_magnitude_vs_t_1toT_kW,"[0.0, 0.0, 0.0, 0.0, 0.0]"
vald_load_reactive_power_allT_kVAr,168.6559325780998
vald_QSubs_vs_t_1toT_kVAr,"[20.611171905636965, 23.050826202674102, 24.1527662961298, 25.418910260734172, 24.581961240613058]"
vald_total_gen_reactive_power_allT_kVAr,50.57967750973784
vald_battery_reactive_power_allT_kVAr,22.744537649735435
vald_pv_reactive_power_allT_kVAr,27.835139860002403
vald_QLoss_allT_kVAr,0.2609310875776284
vald_static_cap_reactive_power_vs_t_1toT_kVAr,"[0.0, 0.0, 0.0, 0.0, 0.0]"
vald_battery_real_power_transaction_magnitude_allT_kW,14.75099699388019
vald_load_real_power_allT_kW,337.2456936732857
vald_voltages_vs_t_1toT_pu,"[Dict(5 => 1.0297568988924215, 4 => 1.029722321482036, 6 => 1.029618999883731, 7 => 1.029515287125858, 2 => 1.0298020778562225, 10 => 1.0299239835020422, 9 => 1.0295195425830663, 8 => 1.029539311564103, 3 => 1.0299308248824963, 1 => 1.030009812106536), Dict(5 => 1.029744515419445, 4 => 1.0297087116625436, 6 => 1.0296021436247567, 7 => 1.0294946930893971, 2 => 1.0297913418794669, 10 => 1.0299221881109373, 9 => 1.0294990986890502, 8 => 1.029519580325525, 3 => 1.0299279799175223, 1 => 1.0300098121024301), Dict(5 => 1.0297384908595344, 4 => 1.0297024240653818, 6 => 1.0295927589195724, 7 => 1.0294839236402897, 2 => 1.029786118793541, 10 => 1.0299208373053552, 9 => 1.0294883848635248, 8 => 1.0295091305191906, 3 => 1.0299269262211874, 1 => 1.0300098121005754), Dict(5 => 1.029731287584415, 4 => 1.0296952424920676, 6 => 1.0295807563725536, 7 => 1.0294706744204618, 2 => 1.0297798954159914, 10 => 1.029919122530984, 9 => 1.0294751857208186, 8 => 1.0294961690706463, 3 => 1.0299259778916805, 1 => 1.0300098120984444), Dict(5 => 1.0297828994646838, 4 => 1.0297293351186807, 6 => 1.0296456561332172, 7 => 1.02953751828267, 2 => 1.0298124956737695, 10 => 1.0299220703126821, 9 => 1.0295419514953545, 8 => 1.029562564176991, 3 => 1.0299274530679636, 1 => 1.030009812099853)]"
vald_battery_reactive_power_transaction_magnitude_vs_t_1toT_kVAr,"[0.0, 0.0, 0.0, 0.0, 0.0]"
vald_battery_reactive_power_transaction_magnitude_t_kVAr,4.628730593387219
disc_QSubs_all_time_kVAr,0.07057155636155699
vald_total_gen_real_power_allT_kW,28.642803104403143
vald_pv_real_power_vs_t_1toT_kW,"[3.499499827125603, 5.5991999833625155, 6.299099985384843, 6.998999972546858, 6.99900011735462]"
vald_total_gen_reactive_power_vs_t_1toT_kVAr,"[11.837671032151647, 10.568497387092016, 9.900378379805478, 9.024753011416923, 9.24837769927178]"
vald_battery_reactive_power_transaction_magnitude_allT_kVAr,22.744537649735435
vald_QSubs_allT_kVAr,117.8156359057881
