t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
lambda,0.71,0.657,0.618,0.592,0.598,0.613,0.644,0.668,0.705,0.75,0.777,0.787,0.796,0.782,0.783,0.789,0.826,0.855,0.95,1.0,0.97,0.921,0.85,0.72
Irrad,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.5,0.8,0.9,1.0,1.0,0.99,0.9,0.7,0.4,0.1,0.0,0.0,0.0,0.0,0.0
cents/kWh,4.0,4.0,4.0,4.0,4.0,6.0,6.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
P_Subs,0.18955059874497626,0.183515471534278,0.18052926138098058,0.178543667673334,0.17900957086579591,0.11684098540758196,0.12044467583441375,0.20115442295721336,0.20138134355877335,0.1994352421216601,0.19144274432392466,0.14365304973056583,0.14267319025385147,0.14037894662195227,0.14077550922617643,0.14399003273695837,0.18774200839597646,0.2095024340506277,0.24889853799600523,0.2669320713121167,0.25891564855232274,0.24582348211406738,0.22685609362237621,0.1921350203484625
P_ij_1_2,0.18955059874497626,0.183515471534278,0.18052926138098058,0.178543667673334,0.17900957086579591,0.11684098540758196,0.12044467583441375,0.20115442295721336,0.20138134355877335,0.1994352421216601,0.19144274432392466,0.14365304973056583,0.14267319025385147,0.14037894662195227,0.14077550922617643,0.14399003273695837,0.18774200839597646,0.2095024340506277,0.24889853799600523,0.2669320713121167,0.25891564855232274,0.24582348211406738,0.22685609362237621,0.1921350203484625
P_ij_2_3,0.09478414343136975,0.09582190758919068,0.09803865827131945,0.09952167165734457,0.09918712122201447,0.03507087963499318,0.0392054582127859,0.1213080376750513,0.12126803857863765,0.12265740474378399,0.1250731879874823,0.08066168649766679,0.08314839129989834,0.08272294815225653,0.08251926083196218,0.08073169623639223,0.11017680993859677,0.1140465870123864,0.12672474164136904,0.13339806959844477,0.12939399705831897,0.12285434910119182,0.11337925563536735,0.09603246043537916
Q_ij_1_2,-2.6342277951078375e-5,-4.199416322850885e-5,-5.139406290447606e-5,-5.666100653678215e-5,-5.551046263021949e-5,4.7232140150197353e-5,0.0005232079500799581,-7.880557677097484e-5,-5.929240496236791e-5,0.00034960857737893715,0.010958106138993092,0.01808357649497974,0.024760950895696177,0.02226144865154457,0.021846198598191292,0.018446351305802442,0.009437352237993647,0.006075548106270424,0.015792082221182658,0.022321836396896586,0.018294052217641323,0.011727091183161772,0.0024007939355273292,-2.408095418942838e-5
Q_ij_2_3,1.0025656003685687e-6,1.8563039676668417e-6,4.1003628026085645e-6,6.159246150044998e-6,5.639600621610889e-6,0.01067103082807029,0.012737037310619585,0.000303719968055,0.00015785116729899142,7.4183659110451e-5,0.0006468337798898016,0.0025196270912613587,0.00251571632307403,0.0009528114726355285,0.0011623768058758135,0.002748714907549704,-0.00039309821220762483,0.0015511030796674554,0.007875376315654053,0.011218303664185537,0.009212110469733047,0.005939389129151211,0.0012666634172548653,1.1760500342860113e-6
l_ij_1_2,0.03386767581940245,0.03174542230076749,0.030720713858976952,0.030048669019545848,0.030205691419586275,0.012868640468369484,0.013674874348820512,0.03814110283008301,0.03822720081581724,0.03749199643216066,0.034660374538916905,0.019760332560070225,0.019765544580319202,0.01904264597276809,0.019130476721788702,0.019864190572138955,0.033308430315899376,0.041407267548658276,0.058630087827058176,0.06763293715643554,0.06350530063200227,0.05709067506507268,0.048515611466309665,0.0347974881079971
l_ij_2_3,0.008477988898308869,0.008664341975982388,0.009069681298583604,0.009346024742059242,0.009283323858780652,0.0012679048506693481,0.001603226805313302,0.013887363973945256,0.01387818230966003,0.01419789226314282,0.014764191435873063,0.006145476894796547,0.006530288050899359,0.006458309498426417,0.00642695196685995,0.006157314920853065,0.011456275919553194,0.012278284439457027,0.01522061192123285,0.016922745833920023,0.015888975365778726,0.01428246171953276,0.01213496373064301,0.008702885957360006
v_j_1,1.0608999999999997,1.0609,1.0609,1.0609,1.0609,1.0609,1.0609,1.0609000000000002,1.0609,1.0609000000000002,1.0608999999999997,1.0609,1.0609,1.0609,1.0609,1.0609,1.0609,1.0609,1.0609,1.0609,1.0609,1.0609,1.0609,1.0609
v_j_2,1.0597584374478646,1.059794938093426,1.0598130204179537,1.0598250320376918,1.0598222146315013,1.0601951676085677,1.0601675912001,1.0596892852174644,1.0596876795122623,1.059694338005288,1.0596114837188924,1.0598111307266151,1.0597346259904816,1.059779282501133,1.0597820195972665,1.0598046251575712,1.0596525150851106,1.0595631183273928,1.0592063422499798,1.0590173835990182,1.0591152621216378,1.0592749927610108,1.0595041217696635,1.0597428625897423
v_j_3,1.0589967379729057,1.0590248929667272,1.0590251419714594,1.0590252142939012,1.0590250911317192,1.0597374477556016,1.059642619377043,1.0587097101791774,1.058710827652657,1.0587077155119107,1.058596046863781,1.0591213515839308,1.0590249417918034,1.0590987527582685,1.059099674383239,1.0591105111897439,1.0587737452073702,1.0586212732064455,1.0580586173513877,1.0577610723433553,1.0579241094338996,1.0581902030302954,1.0585723165338166,1.0589711383236395
q_D_j_2,0.0475699222667893,0.04403997983760545,0.04144528701788809,0.03971512345781538,0.04011442429995487,0.051570085866320274,0.05523176904618114,0.045151461547412376,0.04745328991092866,0.049956199257168286,0.04170288604189165,0.0370249264406038,0.030943676436615282,0.030942474609663824,0.03163449902573209,0.03702521438451474,0.04544204770397818,0.052731376442443224,0.055778767670623654,0.05598085008376715,0.055976958205340856,0.05596492835164292,0.0558322236390625,0.04824024257352069
q_B_j_3,0.04740237665225476,0.04386970637716093,0.04127078695198134,0.039537661528047656,0.03993766688372564,0.030206280318408215,0.03020971193448338,0.04434418697398976,0.04695665917134023,0.05004297422624889,0.0512749961101854,0.049997904821825506,0.05060498719121669,0.05123396135788187,0.05109080482133667,0.04990224848187853,0.05555437315732873,0.05555028342490082,0.05558360281914934,0.05558804113383168,0.05558571208455653,0.055578522115634424,0.05550020795997021,0.048070725008862225
P_c_j_3,8.575716314478132e-5,0.008189261852131972,0.015604252363691576,0.020552734367425402,0.019418456098927474,-5.446701544509206e-9,-5.4470418506566805e-9,0.03218775628064364,0.027214584110529298,0.02260281448444958,0.021416410218464813,5.0274340077131154e-9,5.027434411025397e-9,5.027435473751172e-9,5.0274353451669424e-9,5.0274338490933905e-9,1.6859653184578445e-7,7.409027786852138e-8,4.998806832480857e-8,3.789959121387492e-8,3.023461352880647e-8,2.4549570030361972e-8,1.983760411526488e-8,1.5230888211596275e-8
P_d_j_3,1.0023446706310485e-8,1.0018775867297601e-8,1.0018749949984723e-8,1.0018740733235547e-8,1.0018740682386587e-8,0.04666550410563784,0.04666550410619556,1.0013068713960864e-8,1.0013078221894308e-8,1.001308470305021e-8,1.0013084856562781e-8,0.02429374405784333,0.023008556867147555,0.021567090535557956,0.021903981743922222,0.024490441928615,1.2854288667174365e-8,1.7181174722300208e-8,2.1734645342931935e-8,2.7234072743415775e-8,3.455017916317196e-8,4.583741035109093e-8,6.79064767805739e-8,1.5556532797805928e-7
