first,second
vald_pv_real_power_allT_kW,368.19078160273557
vald_pv_reactive_power_vs_t_1toT_kVAr,"[-0.09794146343657593, -0.09846227829495535, -0.0988340132226785, -0.09905633504399397, -0.09889818581607122, -0.10020483671605607, -0.09926479599466945, -0.09534069858720853, -0.09167736960353295, -0.08054129896590277, -0.05406434267728312, -0.043113296704551926, -0.030079507325771842, -0.030112147270704902, -0.03147782536964495, -0.04311475069050793, -0.06430710647197586, -0.08619588577767102, -0.09516728710723486, -0.09527107986642482, -0.09556761082185372, -0.09605249507129326, -0.09675646065499834, -0.0980497388765973]"
disc_PSubs_all_time_kW,0.33829032129744974
vald_PLoss_allT_kW,4.465340884620841
vald_total_gen_real_power_vs_t_1toT_kW,"[-9.014518820042241, -9.352364188570101, -10.124597365081026, -11.753055215069034, -15.998562058621234, 46.665535064793694, 51.33204269273459, -18.534414134131644, -12.319604467493322, -3.5003251791540997, 7.323435932570966, 67.98948022508633, 68.1365135008263, 67.024431507823, 67.64671685382186, 67.99444917375467, 32.665680345829145, 18.666138555003325, 4.666517898921751, -1.1455519419933876e-5, 3.8104311815242845e-6, 2.0937330069873363e-5, 4.7945171271539386e-5, 0.00014206181663539596]"
vald_PSubs_allT_kW,4491.095676160516
vald_battery_real_power_allT_kW,41.32292201949708
vald_PSubs_vs_t_1toT_kW,"[198.53074410264657, 184.71026526414906, 175.06626136550864, 169.75288793763525, 175.6080949686031, 116.86616256420515, 120.47216390545444, 196.855400003475, 200.51807264775528, 203.71271967654903, 200.09418321409427, 141.99528564326064, 144.2542215606787, 141.62900155895917, 141.27256657980791, 142.52412719208453, 187.78797866194128, 209.55207022371684, 248.95877619853547, 266.99830169283405, 258.9788671198591, 245.88114712783215, 226.90567633607952, 192.17070061485003]"
vald_battery_real_power_vs_t_1toT_kW,"[-9.014518888075632, -9.352364211289547, -10.124597380548074, -11.753055223894135, -15.998562051440569, 46.66553504380718, 46.66549308314296, -27.867506832382034, -26.319252616284647, -26.833071218519656, -30.008960993902726, 25.990504633696474, 21.47101640501721, 20.358929229576212, 21.447871619420656, 25.995499271498772, -0.00015496815198865735, -5.7126963940404895e-5, -2.9002521537083436e-5, -1.1422562985901469e-5, 3.7992155176339858e-6, 2.0920085558807783e-5, 4.7922472820254886e-5, 0.0001420281011766301]"
vald_substation_real_power_peak_allT_kW,266.99830169283405
vald_terminal_soc_violation_kWh,60.66513607409913
vald_solution_time,0.0
vald_battery_reactive_power_vs_t_1toT_kVAr,"[-0.07775905855472504, -0.07803376441522687, -0.07794136099390647, -0.07715862196735472, -0.0736786945468051, -0.011239972834535197, -0.011277313398017854, -0.05661586348020886, -0.05927164234304487, -0.05814233710672666, -0.05199556111920714, -0.060383053422427356, -0.06715557473442804, -0.06866999253419356, -0.06727844068634553, -0.06037248538860536, -0.07799312676418664, -0.07902095291433728, -0.07797602221779103, -0.07747273902582963, -0.07773703191482516, -0.07816666087771558, -0.07878257342574961, -0.07949126735444267]"
vald_battery_real_power_transaction_magnitude_t_kW,0.0001420281011766301
disc_line_loss_all_time_kW,0.0012040018637558547
vald_PLoss_vs_t_1toT_kW,"[0.18729219277611991, 0.16214802629261976, 0.1456983112925518, 0.13706364409741945, 0.14688369379665528, 0.06895910948405072, 0.07519995892052247, 0.19259579004535043, 0.2032540568359982, 0.21751153981876267, 0.22286065385179246, 0.12303646061159089, 0.12940742400793534, 0.12528985129531064, 0.12450066226199852, 0.12383586232652305, 0.19281607917811197, 0.22407419861126981, 0.29882650131611443, 0.3385879232736188, 0.3185417467487132, 0.2871188762030215, 0.2444929297549388, 0.1753453918198502]"
vald_QLoss_vs_t_1toT_kVAr,"[-0.3676101005454475, -0.3161542420050391, -0.28249104733683633, -0.26482111290533794, -0.2849187022496117, -0.1254384093910412, -0.13821072506903148, -0.3784750458564304, -0.4002884292238814, -0.42947073824763354, -0.4404261238542531, -0.23611960797459325, -0.24916044438321114, -0.2407342397553075, -0.23911871228356177, -0.2377555564563445, -0.37892580564445233, -0.4428873719807088, -0.5958549200861671, -0.6772202976526314, -0.6361977446891033, -0.5718938057343111, -0.4846636304269996, -0.3431587463517426]"
disc_voltage_all_time_pu,9.812007634391051e-6
vald_load_real_power_vs_t_1toT_kW,"[189.3286371222116, 175.1956443145687, 164.7958954946585, 157.8627293018813, 159.46267649030767, 163.46265265329959, 171.72902447222435, 178.12880888804435, 187.99528114532572, 199.99497381296072, 207.19480591217027, 209.86157545521417, 212.26134387856956, 208.52813121429398, 208.7947814891806, 210.39474061710678, 220.26111699590493, 227.99426965832671, 253.3268932703652, 266.65993882599855, 258.66025020509596, 245.59393462850971, 226.66109353476668, 191.99532732491167]"
vald_PSubsCost_allT_dollar,198.6240976265096
vald_PSubsCost_vs_t_1toT_dollar,"[7.941229764105863, 7.388410610565963, 7.002650454620346, 6.79011551750541, 7.024323798744124, 7.011969753852309, 7.2283298343272655, 7.8742160001390005, 8.020722905910212, 8.148508787061962, 8.003767328563772, 8.519717138595638, 8.655253293640722, 8.49774009353755, 8.476353994788475, 8.551447631525072, 7.511519146477651, 8.382082808948674, 9.958351047941418, 10.679932067713363, 10.359154684794364, 9.835245885113286, 9.076227053443182, 7.686828024594002]"
vald_static_cap_reactive_power_allT_kVAr,0.0
vald_load_reactive_power_vs_t_1toT_kVAr,"[94.66740748755309, 87.60052489926952, 82.40046746746272, 78.93375859327459, 79.73370825756376, 81.73383266405025, 85.86707746528035, 89.06674870125732, 94.00041737022681, 100.00042672719295, 103.60047898718568, 104.93402634246632, 106.13384580994503, 104.26720190082334, 104.40052336645448, 105.20052560275109, 110.13362156383099, 114.00045100389309, 126.66694028738078, 133.33380198013896, 129.33405649214086, 122.80072571196895, 113.33403598118636, 96.00065283902752]"
vald_battery_real_power_transaction_magnitude_vs_t_1toT_kW,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vald_load_reactive_power_allT_kVAr,2448.145257502325
vald_QSubs_vs_t_1toT_kVAr,"[95.21046271762704, 88.09314973558268, 82.85961375959587, 79.37479238763294, 80.19120648387332, 81.97072347874074, 86.11575765759851, 89.5974836795549, 94.55168433573749, 100.56864264412918, 104.14692810668214, 105.27370640740315, 106.48028400154128, 104.60669895864218, 104.73843953572882, 105.54179281941411, 110.65506360822097, 114.60856434517015, 127.43609524247219, 134.18385513849663, 130.14353396162298, 123.54684162417752, 113.9941776246559, 96.52137583118738]"
vald_total_gen_reactive_power_allT_kVAr,-3.503164922388795
vald_battery_reactive_power_allT_kVAr,-1.5836141120206362
vald_pv_reactive_power_allT_kVAr,-1.9195508103681589
vald_QLoss_allT_kVAr,-8.761995560103678
vald_static_cap_reactive_power_vs_t_1toT_kVAr,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vald_battery_real_power_transaction_magnitude_allT_kW,375.86720589257203
vald_load_real_power_allT_kW,4896.144526705897
vald_voltages_vs_t_1toT_pu,"[Dict(2 => 1.0288583340756627, 3 => 1.0280728307127467, 1 => 1.0300098119809828), Dict(2 => 1.0289413987018816, 3 => 1.0282106387938108, 1 => 1.0300098119929615), Dict(2 => 1.0290009634338007, 3 => 1.0283084254311623, 1 => 1.0300098120017698), Dict(2 => 1.0290373871034522, 3 => 1.0283659665891198, 1 => 1.0300098120076349), Dict(2 => 1.029015373851106, 3 => 1.028320993556942, 1 => 1.0300098120062608), Dict(2 => 1.0291765146490497, 3 => 1.02871223706534, 1 => 1.030009812003266), Dict(2 => 1.0291411230691405, 3 => 1.028644108174378, 1 => 1.0300098119962895), Dict(2 => 1.0288968772770877, 3 => 1.028082053520377, 1 => 1.0300098119904297), Dict(2 => 1.02885647399931, 3 => 1.028008555494079, 1 => 1.0300098119820917), Dict(2 => 1.0288110688077416, 3 => 1.027913531911681, 1 => 1.030009811971965), Dict(2 => 1.028800197021822, 3 => 1.0278616926432864, 1 => 1.0300098119659424), Dict(2 => 1.0289633423929632, 3 => 1.0282338670219184, 1 => 1.030009811964046), Dict(2 => 1.0289495033772347, 3 => 1.028192750829225, 1 => 1.0300098119620154), Dict(2 => 1.0289684111907393, 3 => 1.0282220946146705, 1 => 1.0300098119651686), Dict(2 => 1.0289686647222287, 3 => 1.0282255694204963, 1 => 1.030009811964947), Dict(2 => 1.0289601887861513, 3 => 1.028228619869405, 1 => 1.0300098119635948), Dict(2 => 1.0287971654955936, 3 => 1.027924342441935, 1 => 1.030009811954989), Dict(2 => 1.028709840714482, 3 => 1.0278062745341878, 1 => 1.0300098119483352), Dict(2 => 1.028517778311071, 3 => 1.0275135779221767, 1 => 1.030009811926746), Dict(2 => 1.02842462001093, 3 => 1.027367435022293, 1 => 1.0300098119153893), Dict(2 => 1.0284722708338025, 3 => 1.0274468683123616, 1 => 1.0300098119221892), Dict(2 => 1.0285500865257882, 3 => 1.02757658630788, 1 => 1.0300098119332917), Dict(2 => 1.0286628021311612, 3 => 1.0277644815866536, 1 => 1.0300098119493692), Dict(2 => 1.0288690688605016, 3 => 1.0281083251249166, 1 => 1.0300098119787766)]"
vald_battery_reactive_power_transaction_magnitude_vs_t_1toT_kVAr,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vald_battery_reactive_power_transaction_magnitude_t_kVAr,0.07949126735444267
disc_QSubs_all_time_kVAr,0.6771112390078144
vald_total_gen_real_power_allT_kW,409.5137036222327
vald_pv_real_power_vs_t_1toT_kW,"[6.803339134983655e-8, 2.2719445028338003e-8, 1.5467047363687536e-8, 8.825101153728255e-9, -7.180664172504181e-9, 2.0986513631533755e-8, 4.666549609591624, 9.33309269825039, 13.999648148791325, 23.332746039365556, 37.33239692647369, 41.99897559138985, 46.66549709580909, 46.665502278246784, 46.198845234401205, 41.99894990225591, 32.665835313981134, 18.666195681967267, 4.666546901443288, -3.295643403240789e-8, 1.1215663890298822e-8, 1.724451106557834e-8, 2.2698451284497433e-8, 3.371545876586224e-8]"
vald_total_gen_reactive_power_vs_t_1toT_kVAr,"[-0.17570052199130098, -0.1764960427101822, -0.17677537421658496, -0.1762149570113487, -0.17257688036287633, -0.11144480955059126, -0.1105421093926873, -0.1519565620674174, -0.15094901194657784, -0.13868363607262943, -0.10605990379649026, -0.10349635012697928, -0.09723508206019989, -0.09878213980489847, -0.09875626605599047, -0.10348723607911328, -0.1423002332361625, -0.16521683869200832, -0.1731433093250259, -0.17274381889225443, -0.1733046427366789, -0.17421915594900883, -0.17553903408074795, -0.17754100623103997]"
vald_battery_reactive_power_transaction_magnitude_allT_kVAr,1.5836141120206362
vald_QSubs_allT_kVAr,2460.410874085488
