first,second
vald_pv_real_power_allT_kW,242.19394936159475
vald_pv_reactive_power_vs_t_1toT_kVAr,"[-0.08103053577471546, -0.054461636663475615, -0.04332543368591965, -0.029967132617820347, -0.02998595361487403, -0.031339802516335405]"
disc_PSubs_all_time_kW,0.16553874868003504
vald_PLoss_allT_kW,0.8870389225061226
vald_total_gen_real_power_vs_t_1toT_kW,"[23.33274202068842, 38.58351853624346, 88.66450265788237, 51.14377230472544, 49.16044714206374, 48.9408801640091]"
vald_PSubs_allT_kW,947.6969519574795
vald_battery_real_power_allT_kW,57.63191346401777
vald_PSubs_vs_t_1toT_kW,"[176.82780975180683, 168.77316283205099, 121.2937776623786, 161.27358306280058, 159.52097564678573, 160.0076430016568]"
vald_battery_real_power_vs_t_1toT_kW,"[-2.089209239564825e-5, 1.2511189066752644, 46.665535851364545, 4.478298934778905, 2.4949452753540213, 2.7420353879374315]"
vald_substation_real_power_peak_allT_kW,176.82780975180683
vald_terminal_soc_violation_kWh,60.66515000000001
vald_solution_time,0.0
vald_battery_reactive_power_vs_t_1toT_kVAr,"[-0.06763304669221584, -0.07955208886620758, -0.01208044310359508, -0.07941372474761481, -0.07984921271602839, -0.07976291755179142]"
vald_battery_real_power_transaction_magnitude_t_kW,2.7420353879374315
disc_line_loss_all_time_kW,0.0004246572758341838
vald_PLoss_vs_t_1toT_kW,"[0.16518780818238155, 0.16186731667039567, 0.09666203443240375, 0.15629243041286828, 0.15328392924109357, 0.1537454035669798]"
vald_QLoss_vs_t_1toT_kVAr,"[-0.32238167465147854, -0.3155917683729858, -0.18214058207470954, -0.30418552976316277, -0.2980293686317018, -0.29897349802255485]"
disc_voltage_all_time_pu,9.811972128126456e-6
vald_load_real_power_vs_t_1toT_kW,"[199.9950347841582, 207.1948192798128, 209.86151292956333, 212.26120442011, 208.5281286191529, 208.79477892579496]"
vald_PSubsCost_allT_dollar,40.333753631546756
vald_PSubsCost_vs_t_1toT_dollar,"[7.073112390072273, 6.75092651328204, 7.277626659742716, 6.450943322512024, 6.380839025871429, 6.400305720066272]"
vald_static_cap_reactive_power_allT_kVAr,0.0
vald_load_reactive_power_vs_t_1toT_kVAr,"[100.00082020683143, 103.60051045202238, 104.93397857285754, 106.13371151928484, 104.26720023437566, 104.4005206515505]"
vald_battery_real_power_transaction_magnitude_vs_t_1toT_kW,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vald_load_reactive_power_allT_kVAr,623.3367416369224
vald_QSubs_vs_t_1toT_kVAr,"[100.47163024975211, 104.0500667050331, 105.17156027708377, 106.54717348375952, 104.67509836150192, 104.8105382440564]"
vald_total_gen_reactive_power_allT_kVAr,-0.6684019285505937
vald_battery_reactive_power_allT_kVAr,-0.3982914336774532
vald_pv_reactive_power_allT_kVAr,-0.2701104948731405
vald_QLoss_allT_kVAr,-1.7213024215165933
vald_static_cap_reactive_power_vs_t_1toT_kVAr,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vald_battery_real_power_transaction_magnitude_allT_kW,57.631955248202566
vald_load_real_power_allT_kW,1246.635478958592
vald_voltages_vs_t_1toT_pu,"[Dict(2 => 1.028890249686895, 3 => 1.028097913393908, 1 => 1.0300098119721282), Dict(2 => 1.0288923546671849, 3 => 1.0280762950233733, 1 => 1.0300098119661054), Dict(2 => 1.0290245205935789, 3 => 1.0283764459553435, 1 => 1.030009811964218), Dict(2 => 1.028899320867354, 3 => 1.0280758393138718, 1 => 1.0300098119619028), Dict(2 => 1.028915667339069, 3 => 1.028099214962362, 1 => 1.0300098119650536), Dict(2 => 1.0289134316979311, 3 => 1.0280968900622782, 1 => 1.0300098119648256)]"
vald_battery_reactive_power_transaction_magnitude_vs_t_1toT_kVAr,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vald_battery_reactive_power_transaction_magnitude_t_kVAr,0.07976291755179142
disc_QSubs_all_time_kVAr,0.32244856876484107
vald_total_gen_real_power_allT_kW,299.82586282561255
vald_pv_real_power_vs_t_1toT_kW,"[23.33276291278082, 37.332399629568194, 41.99896680651782, 46.66547336994653, 46.66550186670972, 46.19884477607167]"
vald_total_gen_reactive_power_vs_t_1toT_kVAr,"[-0.1486635824669313, -0.13401372552968321, -0.05540587678951473, -0.10938085736543515, -0.10983516633090243, -0.11110272006812683]"
vald_battery_reactive_power_transaction_magnitude_allT_kVAr,0.3982914336774532
vald_QSubs_allT_kVAr,625.7260673211869
