first,second
vald_pv_real_power_allT_kW,69.29142185808705
vald_pv_reactive_power_vs_t_1toT_kVAr,[61.11124016788206]
disc_PSubs_all_time_kW,0.035705336438013546
vald_PLoss_allT_kW,16.31514249066643
vald_total_gen_real_power_vs_t_1toT_kW,[69.28952763354725]
vald_PSubs_allT_kW,862.5068491604744
vald_battery_real_power_allT_kW,-0.001894224539799406
vald_PSubs_vs_t_1toT_kW,[862.5068491604744]
vald_battery_real_power_vs_t_1toT_kW,[-0.001894224539799406]
vald_substation_real_power_peak_allT_kW,862.5068486305021
vald_terminal_soc_violation_kWh,0.0017995133127972393
vald_solution_time,0.0
vald_battery_reactive_power_vs_t_1toT_kVAr,[87.43885580466831]
disc_line_loss_all_time_kW,0.011393221396193809
vald_PLoss_vs_t_1toT_kW,[16.31514249066643]
vald_QLoss_vs_t_1toT_kVAr,[-32.01442177803853]
disc_voltage_all_time_pu,0.0203336560695051
vald_load_real_power_vs_t_1toT_kW,[915.4476832631337]
vald_PSubsCost_allT_dollar,260.3102596218356
vald_PSubsCost_vs_t_1toT_dollar,[260.3102596218356]
vald_static_cap_reactive_power_allT_kVAr,0.0
vald_load_reactive_power_vs_t_1toT_kVAr,[503.72197666395346]
vald_battery_real_power_transaction_magnitude_vs_t_1toT_kW,[0.0214897514194439]
vald_load_reactive_power_allT_kVAr,503.72197666395346
vald_QSubs_vs_t_1toT_kVAr,[387.17604475003697]
vald_total_gen_reactive_power_allT_kVAr,148.55009597255037
vald_battery_reactive_power_allT_kVAr,87.43885580466831
vald_pv_reactive_power_allT_kVAr,61.11124016788206
vald_QLoss_allT_kVAr,-32.01442177803853
vald_static_cap_reactive_power_vs_t_1toT_kVAr,[0.0]
vald_battery_real_power_transaction_magnitude_allT_kW,0.0
vald_load_real_power_allT_kW,915.4476832631337
vald_voltages_vs_t_1toT_pu,"[[1.0300098114895946, 1.0300096011628919, 1.0235606371217552, 1.0235016150764635, 1.023156191659283, 1.0189309336616061, 1.0230214606508585, 1.022849292366882, 1.0226807332276688, 1.0158578680284784, 1.015781525723161, 1.0155065240785859, 1.0114362743086638, 1.0155065200524345, 1.0155065160249812, 1.0112521763670843, 1.0070038730934951, 1.0153367350421234, 1.015421641195275, 1.0111977090338933, 1.0111213734962432, 1.0110783452652445, 1.0066953881847096, 1.0066578975298328, 1.006516897933363, 1.0062979280298774, 1.006422493727483, 1.0062351014975208, 1.0061898255553134, 1.0061898217656131, 1.0060902341916684, 1.0060751353120956, 1.0060635324722564, 1.0059513924314667, 1.0058931379437106, 1.005947941090439, 1.005873697687401, 1.0058737130300535, 1.0058689691595497, 1.0055618773300345, 1.0053360497516948, 1.0047201812428284, 1.005130167023959, 1.0052247992991108, 1.0051915621918672, 1.0046086442999336, 1.0039053533978908, 1.003561615099838, 1.003316988947794, 1.0032278531414478, 1.0026128120138889, 1.0031766381974614, 1.002458824910454, 1.002335613514173, 1.002278540016955, 1.0022746952839954, 1.007844410645284, 1.0060926573873359, 1.005031929620848, 1.004982346407727, 1.002113070853389, 1.0049619100252059, 1.001984375532179, 0.9959961935795876, 1.001941656954989, 0.9959963186261468, 0.995181612419879, 0.9946875808914593, 0.9938516185275534, 0.9931787061221515, 0.9929167359182138, 0.9936942562463763, 0.9933752725412912, 0.9925233601105129, 0.9932333749642616, 0.9930318255160523, 0.9928068235043646, 0.9927119039413161, 0.9919875163900913, 0.9917869918793843, 0.9915005352229228, 0.9912221311097531, 0.9914429501651132, 0.9909577071642331, 0.9913600372941926, 0.9913117026556655, 0.9910691144024452, 0.9909997224344499, 0.9909350389320495, 0.990624521823323, 0.990908116767853, 0.9905257739483675, 0.9904733683655838, 0.990351351294494, 0.9902960864801149, 0.9901705251225908, 0.9901851129768382, 0.9900812733781825, 0.9900956218823567, 0.9899040162087047, 0.9900406561238182, 0.9899710424844389, 0.9931067308457053, 0.9929713024710154, 0.9929068829902127, 0.9929069434424236, 0.9928878498386053, 0.9925280156959558, 0.9926384440732751, 0.9921209558224839, 0.9917307012997626, 0.9924044465789189, 0.9924446178600271, 0.9920045370300956, 0.9915205119708598, 0.9924446933964717, 0.9910718150230007, 0.9908716501864625, 0.9909281982867262, 0.9905080261384483, 0.990474292175936, 1.0070038237225547, 1.011436156544424, 1.002274733439154, 0.9959961072331847, 0.9959960208855063, 0.9932333563865446, 0.9959963186899786]]"
vald_battery_reactive_power_transaction_magnitude_vs_t_1toT_kVAr,[1191.6389542702725]
disc_QSubs_all_time_kVAr,0.9473740203426928
vald_total_gen_real_power_allT_kW,69.28952763354725
vald_pv_real_power_vs_t_1toT_kW,[69.29142185808705]
vald_total_gen_reactive_power_vs_t_1toT_kVAr,[148.55009597255037]
vald_battery_reactive_power_transaction_magnitude_allT_kVAr,0.0
vald_QSubs_allT_kVAr,387.17604475003697
