first,second
vald_pv_real_power_allT_kW,29036.66314667635
vald_pv_reactive_power_vs_t_1toT_kVAr,"[3.22458786110741, 3.345808453584918, 3.659678129293937, 4.798871009612546, 8.836738115694747, 12.216448240033323, 18.499396482750218, 18.493933620292026, 17.55773297308363, 11.945812668003402, 6.662348892735338, 3.8615325652270065]"
disc_PSubs_all_time_kW,6010.006636992252
vald_PLoss_allT_kW,4001.3535258777297
vald_total_gen_real_power_vs_t_1toT_kW,"[362.236558393046, 725.6692316409419, 1087.1142999741164, 1824.4402068164736, 2983.553341257161, 3380.2200081870824, 3783.7720169384866, 3797.765452304153, 3755.215776175896, 3378.8218335686693, 2553.1975645111934, 1407.875471788889]"
vald_PSubs_allT_kW,52308.21705415307
vald_battery_real_power_allT_kW,3.218614879760293
vald_PSubs_vs_t_1toT_kW,"[5383.57976560883, 5218.530200703398, 5160.349258317551, 4804.786955622551, 3924.4762074184623, 3635.525635823934, 3335.911682267786, 3214.7311434462467, 3261.325622124031, 3652.5161399273416, 4703.717617641014, 6012.766825251922]"
vald_battery_real_power_vs_t_1toT_kW,"[1.288476610941689, 1.3213913013382672, 0.6087882695834744, -3.096898062186307e-5, -9.019447225218081e-7, -1.5240170064847014e-5, -1.3756049452241515e-5, -3.384058747231578e-6, 1.7854151104410575e-6, 1.7586924220755473e-5, 1.2898014996391981e-6, 2.286959640728281e-6]"
vald_substation_real_power_peak_allT_kW,6012.766825251922
vald_terminal_soc_violation_kWh,2.6629199999999997
vald_solution_time,0.0
vald_battery_reactive_power_vs_t_1toT_kVAr,"[0.44531066530605845, 0.4465540489818035, 0.44617882694666633, 0.4490430506817762, 0.4587605127816936, 0.46155891486960543, 0.4639455096390811, 0.46362741656439216, 0.45824121711950483, 0.44403259881573864, 0.41239160244209816, 0.3444227328396632]"
vald_battery_real_power_transaction_magnitude_t_kW,2.286959640728281e-6
disc_line_loss_all_time_kW,544.5979593579285
vald_PLoss_vs_t_1toT_kW,"[411.15178146222013, 395.6388877808388, 396.6946922372283, 366.0815476928758, 284.5318251617314, 262.33425615207176, 241.0740518005553, 228.39750535424724, 232.0732542300905, 264.271899015636, 374.50575207032966, 544.598072919904]"
vald_QLoss_vs_t_1toT_kVAr,"[-278.4930712541551, -269.5581034423417, -271.8891981370692, -253.99400294187586, -201.548122224807, -187.16861713830184, -173.24793791741584, -164.26580902640058, -166.77173265127615, -188.53082323392346, -262.82618798593774, -374.93169925378584]"
disc_voltage_all_time_pu,0.12443325858254473
vald_load_real_power_vs_t_1toT_kW,"[5334.7225824635725, 5548.728746966904, 5850.638074616496, 6262.745215225274, 6623.483188654529, 6753.124762254503, 6878.339028950725, 6783.971494267247, 6784.51202914529, 6767.490874909819, 6882.4388706577165, 6876.102486627914]"
vald_PSubsCost_allT_dollar,6165.482719651791
vald_PSubsCost_vs_t_1toT_dollar,"[259.5102943645986, 251.5542385359146, 248.74968206190954, 231.61014260030768, 189.17560808144785, 175.24702317028235, 160.80442016850364, 154.9630286279286, 157.20907074189165, 1102.3534776365952, 1419.6130215403343, 1814.6927121220765]"
vald_static_cap_reactive_power_allT_kVAr,0.0
vald_load_reactive_power_vs_t_1toT_kVAr,"[1777.734918602565, 1848.9641819699254, 1950.1560693418364, 2088.110632847575, 2207.8528617111206, 2251.315750487666, 2293.0294681383275, 2261.3916666128257, 2261.4822597315792, 2255.5211565750633, 2294.131455670367, 2291.991701238048]"
vald_battery_real_power_transaction_magnitude_vs_t_1toT_kW,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vald_load_reactive_power_allT_kVAr,25781.682122926897
vald_QSubs_vs_t_1toT_kVAr,"[2052.838904750185, 2114.9530497527867, 2218.0839874864932, 2336.5373269960846, 2400.0968014979867, 2425.752990046897, 2447.2864879138556, 2406.7281256264705, 2410.2363921273864, 2431.680750688195, 2549.888956986425, 2662.7488075946703]"
vald_total_gen_reactive_power_allT_kVAr,118.39695610840658
vald_battery_reactive_power_allT_kVAr,5.294067096988082
vald_pv_reactive_power_allT_kVAr,113.1028890114185
vald_QLoss_allT_kVAr,-2793.22530520729
vald_static_cap_reactive_power_vs_t_1toT_kVAr,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vald_battery_real_power_transaction_magnitude_allT_kW,3.2187433821675113
vald_load_real_power_allT_kW,77346.29735474
