k,pr,du,cs,mu,obj
0,0.94451,0.86,1.0,0.039810717055349734,0.420048834
1,0.70838,0.645,0.69435,0.039810717055349734,0.499131542
2,0.35419,0.3225,0.26794,0.007943282347242814,0.616865628
3,0.1771,0.16125,0.12459,0.007943282347242814,0.676023431
4,0.088548,0.080625,0.063745,0.007943282347242814,0.705627865
5,2.2204e-16,1.1369e-13,0.0090658,0.0003235936569296281,0.73525646
6,2.2204e-16,8.3711e-14,0.00041833,9.332543007969906e-6,0.735254598
7,1.0e-17,4.4076e-14,0.00021477,9.332543007969906e-6,0.735219512
8,2.2204e-16,2.3093e-14,0.00011495,9.332543007969906e-6,0.735164225
9,2.2204e-16,9.3259e-15,6.812e-5,9.120108393559096e-7,0.735106562
10,1.0e-17,3.9413e-15,3.8602e-5,9.120108393559096e-7,0.735060409
11,1.0e-17,5.8842e-15,2.2053e-5,9.120108393559096e-7,0.73502984
12,2.2204e-16,2.3592e-15,1.2727e-5,9.120108393559096e-7,0.735012144
13,2.2204e-16,3.9968e-15,7.3803e-6,5.6234132519034905e-8,0.7350036
14,1.0e-17,1.7486e-15,3.9463e-6,5.6234132519034905e-8,0.734999655
15,2.2204e-16,2.3592e-15,2.0546e-6,5.6234132519034905e-8,0.734998232
16,1.0e-17,3.3307e-16,1.0681e-6,5.6234132519034905e-8,0.734997663
17,2.2204e-16,2.1927e-15,7.1162e-8,1.9952623149688828e-9,0.73499716
18,2.2204e-16,3.1364e-15,3.715e-8,1.9952623149688828e-9,0.734997141
19,2.2204e-16,1.3878e-15,1.9966e-8,3.6307805477010174e-11,0.734997132
20,2.2204e-16,2.6645e-15,1.0281e-8,3.6307805477010174e-11,0.734997126
21,2.2204e-16,2.7756e-16,5.3294e-9,3.6307805477010174e-11,0.734997122
22,1.0e-17,7.7716e-16,2.7728e-9,3.6307805477010174e-11,0.73499712
23,1.0e-17,2.3037e-15,1.5127e-9,3.6307805477010174e-11,0.734997118
24,2.2204e-16,3.3307e-15,8.6471e-10,3.6307805477010174e-11,0.734997118
25,2.2204e-16,1.929e-15,2.3488e-10,1.0e-11,0.734997117
26,2.2204e-16,4.1633e-16,6.3823e-11,1.0e-11,0.734997117
