k,pr,du,cs,mu,obj
0,0.99797,0.91706,1.0,0.039810717055349734,0.84
1,0.49899,0.45853,0.37626,0.039810717055349734,1.22578266
2,0.24949,0.22927,0.19205,0.007943282347242814,1.39700161
3,0.12475,0.11463,0.095865,0.007943282347242814,1.46462531
4,2.2204e-16,7.7716e-16,0.018089,0.001584893192461114,1.52093511
5,2.2204e-16,5.5511e-16,0.01059,0.0003235936569296281,1.50717907
6,2.2204e-16,1.138e-15,0.0060075,0.0003235936569296281,1.4962372
7,2.2204e-16,4.7184e-16,0.0034902,6.456542290346549e-5,1.4884957
8,4.4409e-16,6.1062e-16,0.0019867,6.456542290346549e-5,1.48318676
9,2.2204e-16,1.3323e-15,0.0011412,6.456542290346549e-5,1.4799266
10,2.2204e-16,1.3878e-15,0.00031139,9.332543007969906e-6,1.47634879
11,2.2204e-16,9.992e-16,6.9997e-5,9.120108393559096e-7,1.47539474
12,4.4409e-16,6.1062e-15,1.0397e-5,9.120108393559096e-7,1.47519508
13,1.0e-17,1.4433e-14,1.3607e-6,5.6234132519034905e-8,1.47517884
14,2.2204e-16,1.8319e-15,6.6824e-8,1.9952623149688828e-9,1.47517326
15,1.0e-17,2.9088e-14,2.0369e-9,3.6307805477010174e-11,1.47517292
16,4.4409e-16,5.5955e-13,3.6703e-11,3.6307805477010174e-11,1.47517291
