case,T,t,psub,pb,B,J
base_T3,3,1,1.6520126527878376,0.004516129032258065,2.0,0.7349656423580394
base_T3,3,2,1.9389550891476466,0.004516129032258065,1.995483870967742,0.7349656423580394
base_T3,3,3,1.6520126527878374,0.004516129032258037,1.9909677419354839,0.7349656423580394
base_T3,3,4,NaN,NaN,1.9864516129032257,0.7349656423580394
base_T6,6,1,1.6542336998528824,0.002295081967213133,2.0,1.5073512963089988
base_T6,6,2,1.8288279736080464,0.059358472944922316,1.9977049180327868,1.5073512963089988
base_T6,6,3,1.9604112423919537,0.03756219710476151,1.9383464450878645,1.5073512963089988
base_T6,6,4,1.8671399010960574,-0.03297203317033526,1.900784247983103,1.5073512963089988
base_T6,6,5,1.6779117732149946,-0.05476830901049609,1.9337562811534381,1.5073512963089988
base_T6,6,6,1.6542336998528826,0.002295081967213105,1.9885245901639343,1.5073512963089988
base_T6,6,7,NaN,NaN,1.9862295081967212,1.5073512963089988
6a_T3,3,1,1.6520126527878436,0.004516129032252003,2.0,0.7349656423580391
6a_T3,3,2,1.9389550891476413,0.0045161290322632405,1.995483870967748,0.7349656423580391
6a_T3,3,3,1.6520126527878436,0.004516129032251975,1.9909677419354848,0.7349656423580391
6a_T3,3,4,NaN,NaN,1.9864516129032328,0.7349656423580391
6b_T3,3,1,1.6525287818269359,0.003999999993159787,2.0,0.7349780294551417
6b_T3,3,2,1.9394712181867448,0.003999999993159787,1.9960000000068403,0.7349780294551417
6b_T3,3,3,1.6525287818269359,0.003999999993159787,1.9920000000136806,0.7349780294551417
6b_T3,3,4,NaN,NaN,1.9880000000205207,0.7349780294551417
6c_T3,3,1,1.6515287817652098,0.005000000054885881,2.0,0.73501534195503
6c_T3,3,2,1.9407212182087903,0.0027499999711142003,1.9949999999451142,0.73501534195503
6c_T3,3,3,1.6537787818489853,0.002749999971110377,1.992249999974,0.73501534195503
6c_T3,3,4,NaN,NaN,1.9895000000028897,0.73501534195503
6d_T3,3,1,1.6530280674023303,0.003500714417765104,2.0,0.7350136544551762
6d_T3,3,2,1.9399715753884668,0.0034996427914377624,1.9964992855822348,0.7350136544551762
6d_T3,3,3,1.6530291390286618,0.0034996427914338263,1.992999642790797,0.7350136544551762
6d_T3,3,4,NaN,NaN,1.9894999999993634,0.7350136544551762
6e_T6,6,1,1.6465287818149068,0.010000000005188536,2.0,1.5076434425182577
6e_T6,6,2,1.843186446641515,0.044999999911453786,1.9899999999948113,1.5076434425182577
6e_T6,6,3,1.9729734394184657,0.025000000078249665,1.9450000000833576,1.5076434425182577
6e_T6,6,4,1.859167867997575,-0.025000000071852765,1.920000000005108,1.5076434425182577
6e_T6,6,5,1.668143464113239,-0.04499999990874036,1.9450000000769607,1.5076434425182577
6e_T6,6,6,1.6528924181938147,0.0036363636262809703,1.9899999999857012,1.5076434425182577
6e_T6,6,7,NaN,NaN,1.9863636363594201,1.5076434425182577
6g_T6,6,-1,NaN,NaN,NaN,NaN
