case,k,objective,pr_inf,du_inf,cs_inf,lg_mu,lg_reg,alpha,ls
6d_T6,0,0.84,0.99797,0.91706,1.0,-1.4,NaN,0.5,0
6d_T6,1,1.22578266,0.49899,0.45853,0.37626,-1.4,NaN,0.5,0
6d_T6,2,1.39700161,0.24949,0.22927,0.19205,-2.1,NaN,0.5,0
6d_T6,3,1.46462531,0.12475,0.11463,0.095865,-2.1,NaN,1.0,0
6d_T6,4,1.52093511,2.2204e-16,7.7716e-16,0.018089,-2.8,NaN,0.5,0
6d_T6,5,1.50717907,2.2204e-16,5.5511e-16,0.01059,-3.49,NaN,0.5,0
6d_T6,6,1.4962372,2.2204e-16,1.138e-15,0.0060075,-3.49,NaN,0.5,0
6d_T6,7,1.4884957,2.2204e-16,4.7184e-16,0.0034902,-4.19,NaN,0.5,0
6d_T6,8,1.48318676,4.4409e-16,6.1062e-16,0.0019867,-4.19,NaN,0.5,0
6d_T6,9,1.4799266,2.2204e-16,1.3323e-15,0.0011412,-4.19,NaN,1.0,0
6d_T6,10,1.47634879,2.2204e-16,1.3878e-15,0.00031139,-5.03,NaN,1.0,0
6d_T6,11,1.47539474,2.2204e-16,9.992e-16,6.9997e-5,-6.04,NaN,1.0,0
6d_T6,12,1.47519508,4.4409e-16,6.1062e-15,1.0397e-5,-6.04,NaN,1.0,0
6d_T6,13,1.47517884,0.0,1.4433e-14,1.3607e-6,-7.25,NaN,1.0,0
6d_T6,14,1.47517326,2.2204e-16,1.8319e-15,6.6824e-8,-8.7,NaN,1.0,0
6d_T6,15,1.47517292,0.0,2.9088e-14,2.0369e-9,-10.44,NaN,1.0,0
6d_T6,16,1.47517291,4.4409e-16,5.5955e-13,3.6703e-11,-10.44,NaN,NaN,-1
