iteration,barrier_iteration,elapsed_algorithm_s,objective,objective_rel_gap,primal_inf,dual_inf,complementarity_inf,barrier_mu,step_size,line_search_backtracks,equality_count,equality_rms,equality_max,equality_worst_stage,equality_worst_index,dynamics_count,dynamics_rms,dynamics_max,dynamics_worst_stage,dynamics_worst_index,bound_count,bound_rms,bound_max,bound_worst_stage,bound_worst_index,bound_worst_kind
0,0,17.587709000,3360,5.997781080e-01,1.000000000e+00,1.534700000e+03,1.000000000e+00,1.000000000e+00,0.000000000e+00,0,,,,,,,,,,,,,,,,
1,0,19.756893300,3835.7452,5.431103568e-01,9.687500000e-01,1.486700000e+03,9.999900000e-01,1.000000000e+00,3.125000000e-02,0,,,,,,,,,,,,,,,,
2,0,21.532804100,4433.78993,4.718750611e-01,9.384800000e-01,1.440300000e+03,9.999100000e-01,1.000000000e+00,3.125000000e-02,0,,,,,,,,,,,,,,,,
3,0,22.554996700,4817.43753,4.261773920e-01,9.091500000e-01,1.395300000e+03,9.998600000e-01,1.000000000e+00,3.125000000e-02,0,,,,,,,,,,,,,,,,
4,0,24.080752300,6257.39406,2.546589018e-01,7.955100000e-01,1.196600000e+03,9.991000000e-01,1.000000000e+00,1.250000000e-01,0,,,,,,,,,,,,,,,,
5,0,25.604869500,7274.87752,1.334627246e-01,7.537400000e-01,6.477700000e+02,9.982100000e-01,1.000000000e+00,1.250000000e-01,0,,,,,,,,,,,,,,,,
6,0,27.048597600,8698.28813,3.608492046e-02,1.042600000e+00,2.594800000e+02,9.936200000e-01,1.000000000e+00,2.500000000e-01,0,,,,,,,,,,,,,,,,
7,0,28.454380100,9349.17883,1.136148929e-01,8.881800000e-01,1.213500000e+02,9.892600000e-01,1.000000000e+00,2.500000000e-01,0,,,,,,,,,,,,,,,,
8,0,29.436840700,10196.8833,2.145880735e-01,6.353200000e-01,3.380100000e+01,9.774200000e-01,1.000000000e+00,5.000000000e-01,0,,,,,,,,,,,,,,,,
9,0,30.867499600,10544.7697,2.560260953e-01,3.484500000e-01,1.806200000e+01,9.885400000e-01,1.000000000e+00,5.000000000e-01,0,,,,,,,,,,,,,,,,
10,0,32.247046500,10714.2614,2.762148718e-01,1.820800000e-01,1.821500000e+01,9.942800000e-01,1.000000000e+00,5.000000000e-01,0,,,,,,,,,,,,,,,,
11,0,33.606693300,10799.4174,2.863581145e-01,9.298900000e-02,1.366100000e+01,9.971400000e-01,1.000000000e+00,5.000000000e-01,0,,,,,,,,,,,,,,,,
12,1,35.803326300,10844.2596,2.916994329e-01,4.702200000e-02,9.031800000e+00,9.985700000e-01,1.995262315e-01,5.000000000e-01,0,,,,,,,,,,,,,,,,
13,1,37.125223100,10736.7209,2.788901050e-01,2.437200000e-02,7.306100000e+00,6.336700000e-01,1.995262315e-01,5.000000000e-01,0,,,,,,,,,,,,,,,,
