iteration,barrier_iteration,elapsed_algorithm_s,objective,objective_rel_gap,primal_inf,dual_inf,complementarity_inf,barrier_mu,step_size,line_search_backtracks,equality_count,equality_rms,equality_max,equality_worst_stage,equality_worst_index,dynamics_count,dynamics_rms,dynamics_max,dynamics_worst_stage,dynamics_worst_index,bound_count,bound_rms,bound_max,bound_worst_stage,bound_worst_index,bound_worst_kind
0,0,14.255146800,3360,1.615930650e-01,1.000000000e+00,3.990000000e+02,1.000000000e+00,1.000000000e+00,0.000000000e+00,0,6744,4.302202084241e-02,1.000000000000e+00,12,1,561,0.000000000000e+00,0.000000000000e+00,0,0,9804,0.000000000000e+00,0.000000000000e+00,0,0,none
1,0,15.223983000,3666.43492,2.675313621e-01,8.750000000e-01,3.491200000e+02,1.000000000e+00,1.000000000e+00,1.250000000e-01,0,6744,3.899357151451e-02,8.750000000000e-01,3,1,561,0.000000000000e+00,0.000000000000e+00,0,0,9804,0.000000000000e+00,0.000000000000e+00,0,0,none
2,0,15.331066800,3907.87775,3.510010992e-01,7.656300000e-01,3.054800000e+02,9.999800000e-01,1.000000000e+00,1.250000000e-01,0,6744,3.547416711023e-02,7.656250000000e-01,3,1,561,0.000000000000e+00,0.000000000000e+00,0,0,9804,0.000000000000e+00,0.000000000000e+00,0,0,none
3,0,15.448906700,4462.18866,5.426331555e-01,6.581700000e-01,1.527400000e+02,1.200000000e+00,1.000000000e+00,5.000000000e-01,0,6744,5.193300691285e-02,6.581737772864e-01,9,385,561,0.000000000000e+00,0.000000000000e+00,0,0,9804,0.000000000000e+00,0.000000000000e+00,0,0,none
4,0,15.547302900,4494.36168,5.537557617e-01,5.073300000e-01,1.145600000e+02,9.998200000e-01,1.000000000e+00,2.500000000e-01,0,6744,3.984017050317e-02,5.073294307892e-01,9,385,561,0.000000000000e+00,0.000000000000e+00,0,0,9804,0.000000000000e+00,0.000000000000e+00,0,0,none
5,0,15.671552000,4560.80065,5.767245256e-01,2.907000000e-01,5.727800000e+01,9.998600000e-01,1.000000000e+00,5.000000000e-01,0,6744,2.219539981914e-02,2.906971237524e-01,9,385,561,0.000000000000e+00,0.000000000000e+00,0,0,9804,0.000000000000e+00,0.000000000000e+00,0,0,none
6,0,15.779134000,4603.04835,5.913300719e-01,1.555000000e-01,2.863900000e+01,9.999200000e-01,1.000000000e+00,5.000000000e-01,0,6744,1.152401891778e-02,1.555024245843e-01,9,385,561,0.000000000000e+00,0.000000000000e+00,0,0,9804,0.000000000000e+00,0.000000000000e+00,0,0,none
7,0,15.890483400,4626.04534,5.992804124e-01,8.025200000e-02,1.432000000e+01,9.999500000e-01,1.000000000e+00,5.000000000e-01,0,6744,5.791525020432e-03,8.025208714980e-02,9,385,561,0.000000000000e+00,0.000000000000e+00,0,0,9804,0.000000000000e+00,0.000000000000e+00,0,0,none
8,1,16.116734400,4638.50754,6.035887472e-01,4.074700000e-02,7.159800000e+00,9.999800000e-01,1.995262315e-01,5.000000000e-01,0,6744,3.182913817913e-03,4.074725356265e-02,9,385,561,0.000000000000e+00,0.000000000000e+00,0,0,9804,0.000000000000e+00,0.000000000000e+00,0,0,none
9,1,16.246257000,4337.00682,4.993562634e-01,5.230500000e-02,3.579900000e+00,6.327900000e-01,1.995262315e-01,5.000000000e-01,0,6744,5.015783146775e-03,5.230491863865e-02,5,411,561,0.000000000000e+00,0.000000000000e+00,0,0,9804,0.000000000000e+00,0.000000000000e+00,0,0,none
10,2,16.531591800,4030.00543,3.932221308e-01,1.484200000e-01,1.789900000e+00,4.331600000e-01,3.981071706e-02,5.000000000e-01,0,6744,1.237357382799e-02,1.484163369150e-01,5,509,561,0.000000000000e+00,0.000000000000e+00,0,0,9804,0.000000000000e+00,0.000000000000e+00,0,0,none
11,2,17.065189900,3641.63799,2.589587603e-01,1.340400000e-01,1.528500000e+00,2.567000000e-01,3.981071706e-02,5.000000000e-01,0,6744,1.161648317337e-02,1.340428845136e-01,5,509,561,0.000000000000e+00,0.000000000000e+00,0,0,9804,0.000000000000e+00,0.000000000000e+00,0,0,none
12,2,17.176922100,3353.93139,1.594950724e-01,1.807900000e-01,1.272900000e+00,1.596000000e-01,3.981071706e-02,5.000000000e-01,0,6744,1.523484551621e-02,1.807906560390e-01,12,509,561,0.000000000000e+00,0.000000000000e+00,0,0,9804,0.000000000000e+00,0.000000000000e+00,0,0,none
13,2,17.296338300,3191.99804,1.035127342e-01,2.589300000e-01,9.202500000e-01,1.051100000e-01,3.981071706e-02,5.000000000e-01,0,6744,2.023892069821e-02,2.589281567309e-01,12,509,561,0.000000000000e+00,0.000000000000e+00,0,0,9804,0.000000000000e+00,0.000000000000e+00,0,0,none
14,2,17.401363500,3109.17616,7.488019806e-02,3.458100000e-01,6.200200000e-01,7.503000000e-02,3.981071706e-02,5.000000000e-01,0,6744,2.589638437678e-02,3.458133284454e-01,12,509,561,0.000000000000e+00,0.000000000000e+00,0,0,9804,0.000000000000e+00,0.000000000000e+00,0,0,none
15,2,17.578658300,3067.75547,6.056055929e-02,4.339800000e-01,4.781500000e-01,5.849300000e-02,3.981071706e-02,5.000000000e-01,0,6744,3.125152264508e-02,4.339830657078e-01,12,509,561,0.000000000000e+00,0.000000000000e+00,0,0,9804,0.000000000000e+00,0.000000000000e+00,0,0,none
16,2,17.715316000,3047.44416,5.353869118e-02,4.942800000e-01,3.402900000e-01,4.957500000e-02,3.981071706e-02,5.000000000e-01,0,6744,3.411642381372e-02,4.942842617730e-01,12,509,561,0.000000000000e+00,0.000000000000e+00,0,0,9804,0.000000000000e+00,0.000000000000e+00,0,0,none
17,2,17.862072400,3037.94579,5.025498859e-02,4.948600000e-01,2.253500000e-01,4.488400000e-02,3.981071706e-02,5.000000000e-01,0,6744,3.262229694025e-02,4.948640812639e-01,12,509,561,0.000000000000e+00,0.000000000000e+00,0,0,9804,0.000000000000e+00,0.000000000000e+00,0,0,none
18,2,17.966844700,3034.02219,4.889855211e-02,4.260300000e-01,1.414100000e-01,4.246800000e-02,3.981071706e-02,5.000000000e-01,0,6744,2.674347776380e-02,4.260272228851e-01,12,509,561,0.000000000000e+00,0.000000000000e+00,0,0,9804,0.000000000000e+00,0.000000000000e+00,0,0,none
19,3,18.193838000,3032.8731,4.850129766e-02,3.114400000e-01,8.502100000e-02,4.124100000e-02,7.943282347e-03,5.000000000e-01,0,6744,1.858536337130e-02,3.114388607273e-01,12,509,561,0.000000000000e+00,0.000000000000e+00,0,0,9804,0.000000000000e+00,0.000000000000e+00,0,0,none
20,3,18.323962000,2978.23327,2.961164063e-02,1.759100000e+00,2.447300000e-01,2.628100000e-02,7.943282347e-03,5.000000000e-01,0,6744,1.214036536614e-01,1.759136901416e+00,12,509,561,0.000000000000e+00,0.000000000000e+00,0,0,9804,0.000000000000e+00,0.000000000000e+00,0,0,none
21,3,18.437831300,2949.97963,1.984401198e-02,2.113200000e+00,2.290300000e-01,1.791800000e-02,7.943282347e-03,5.000000000e-01,0,6744,1.390491374890e-01,2.113216883889e+00,12,509,561,0.000000000000e+00,0.000000000000e+00,0,0,9804,0.000000000000e+00,0.000000000000e+00,0,0,none
22,3,18.533622100,2935.53836,1.485148844e-02,1.649100000e+00,1.535600000e-01,1.328300000e-02,7.943282347e-03,5.000000000e-01,0,6744,1.058669084792e-01,1.649074062476e+00,12,509,561,0.000000000000e+00,0.000000000000e+00,0,0,9804,0.000000000000e+00,0.000000000000e+00,0,0,none
23,3,18.649222400,2928.24608,1.233045812e-02,1.048000000e+00,8.085100000e-02,8.030400000e-03,7.943282347e-03,5.000000000e-01,0,6744,6.644439390200e-02,1.047951144158e+00,12,509,561,0.000000000000e+00,0.000000000000e+00,0,0,9804,0.000000000000e+00,0.000000000000e+00,0,0,none
24,3,18.803445700,2924.59324,1.106762669e-02,5.947800000e-01,3.490300000e-02,4.251100000e-03,7.943282347e-03,5.000000000e-01,0,6744,3.748280422624e-02,5.947799456038e-01,12,509,561,0.000000000000e+00,0.000000000000e+00,0,0,9804,0.000000000000e+00,0.000000000000e+00,0,0,none
25,3,18.964061500,2922.77145,1.043781162e-02,3.173600000e-01,1.286900000e-02,2.200900000e-03,7.943282347e-03,5.000000000e-01,0,6744,1.994278980985e-02,3.173553496449e-01,12,509,561,0.000000000000e+00,0.000000000000e+00,0,0,9804,0.000000000000e+00,0.000000000000e+00,0,0,none
