time,other_cores,our_cores
2026-09-25T17:24:28,0.537,1.081
2026-09-25T17:24:45,0.492,1.078
2026-09-25T17:25:01,0.622,1.075
2026-09-25T17:25:18,0.456,1.074
2026-09-25T17:25:34,0.492,1.072
2026-09-25T17:25:51,0.476,1.077
2026-09-25T17:26:07,0.603,1.080
2026-09-25T17:26:24,0.579,1.088
2026-09-25T17:26:40,0.506,1.066
2026-09-25T17:26:56,0.495,1.066
2026-09-25T17:27:13,0.489,1.081
2026-09-25T17:27:29,0.462,1.073
2026-09-25T17:27:46,0.496,1.073
2026-09-25T17:28:02,0.606,1.074
2026-09-25T17:28:18,0.513,1.077
2026-09-25T17:28:35,0.693,0.090
