time,other_cores,our_cores
2026-09-25T17:36:01,0.541,1.066
2026-09-25T17:36:17,0.638,1.079
2026-09-25T17:36:34,0.472,1.072
2026-09-25T17:36:50,0.593,1.085
2026-09-25T17:37:06,0.505,1.070
2026-09-25T17:37:23,0.503,1.076
2026-09-25T17:37:39,0.466,1.066
2026-09-25T17:37:56,0.563,1.071
2026-09-25T17:38:12,0.596,1.076
2026-09-25T17:38:29,0.584,1.068
2026-09-25T17:38:45,0.591,1.074
2026-09-25T17:39:01,0.522,1.069
2026-09-25T17:39:18,0.511,1.063
2026-09-25T17:39:34,0.424,1.066
2026-09-25T17:39:50,0.524,1.071
2026-09-25T17:40:06,0.579,1.070
2026-09-25T17:40:23,0.608,1.077
2026-09-25T17:40:39,0.527,1.066
2026-09-25T17:40:56,0.518,1.077
2026-09-25T17:41:12,0.508,1.077
2026-09-25T17:41:29,0.490,1.079
2026-09-25T17:41:45,0.504,1.079
2026-09-25T17:42:02,0.604,1.077
2026-09-25T17:42:18,0.635,1.073
2026-09-25T17:42:35,0.668,1.075
2026-09-25T17:42:51,0.542,1.076
2026-09-25T17:43:07,0.534,1.072
2026-09-25T17:43:24,0.471,1.067
2026-09-25T17:43:40,0.478,1.079
2026-09-25T17:43:57,0.530,1.084
2026-09-25T17:44:13,0.617,1.074
2026-09-25T17:44:30,0.724,1.075
2026-09-25T17:44:46,0.580,1.072
2026-09-25T17:45:02,0.567,1.060
2026-09-25T17:45:19,0.609,1.063
2026-09-25T17:45:35,0.632,1.074
2026-09-25T17:45:52,0.474,1.065
2026-09-25T17:46:08,0.588,0.081
