system,stage,iter_prev,iter,mu_prev,mu,block,rel_change,share_dK2,max_log10,frac_10x
large10kC_1ph,6,0,10,1.000000e+00,1.000000e+00,K,2.650795e-02,1.000000e+00,8.218030e+00,6.569735e-02
large10kC_1ph,6,0,10,1.000000e+00,1.000000e+00,H.diag,2.650779e-02,9.999868e-01,8.218030e+00,3.847069e-01
large10kC_1ph,6,0,10,1.000000e+00,1.000000e+00,J,9.322881e-02,1.317146e-05,1.326903e+00,7.007034e-03
large10kC_1ph,6,0,10,1.000000e+00,1.000000e+00,H.barrier,7.960047e-01,9.999473e-01,4.716464e+00,4.561486e-02
large10kC_1ph,6,0,10,1.000000e+00,1.000000e+00,H.Vxx,0.000000e+00,0.000000e+00,NaN,NaN
large10kC_1ph,6,0,10,1.000000e+00,1.000000e+00,H.rest,1.668149e-04,3.952965e-05,8.218030e+00,8.992198e-01
large10kC_1ph,6,0,10,1.000000e+00,1.000000e+00,H.diag:ps,9.999808e-01,7.494062e-09,4.716464e+00,1.000000e+00
large10kC_1ph,6,0,10,1.000000e+00,1.000000e+00,H.barrier:ps,9.999808e-01,7.494062e-09,4.716464e+00,1.000000e+00
large10kC_1ph,6,0,10,1.000000e+00,1.000000e+00,H.diag:qs,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
large10kC_1ph,6,0,10,1.000000e+00,1.000000e+00,H.diag:P,5.055215e+07,1.976482e-05,8.218030e+00,9.437016e-01
large10kC_1ph,6,0,10,1.000000e+00,1.000000e+00,H.diag:Q,5.055215e+07,1.976482e-05,8.218030e+00,9.437016e-01
large10kC_1ph,6,0,10,1.000000e+00,1.000000e+00,H.diag:v,3.496061e-01,3.786316e-03,1.312030e-01,0.000000e+00
large10kC_1ph,6,0,10,1.000000e+00,1.000000e+00,H.barrier:v,3.496061e-01,3.786316e-03,1.312030e-01,0.000000e+00
large10kC_1ph,6,0,10,1.000000e+00,1.000000e+00,H.diag:ell,8.427872e-01,5.493505e-01,2.199064e+00,1.502907e-01
