system,arm,capture,n,nu,nc,nx,rhs_cols,nnz_K,nnz_triu_K,nnz_H,nnz_22,K_asymmetry,solver,config,factorization,strategy_requested,ordering_requested,strategy_used,ordering_used,threads,repeats,ordering_s,factor_s,solve1_s,solvewide_s,ordering_s_min,factor_s_min,solvewide_s_min,factor_plus_wide_s,total_s,factor_entries,factor_entries_def,fill_ratio,fill_ratio_one_sided,factor_memory_MB,peak_memory_MB,flops,pivot_stats,inertia_ok,bandwidth_permuted,struct_fill_sym_order,relres_1,relres_wide,status,note
ieee123C_1ph,diag,kkt_ieee123C_1ph_T3_diag_iter20_stage1.jls,1353,791,562,51,52,5269,3030,791,0,0,UMFPACK,UMFPACK_default,LU,AUTO,AMD/COLAMD,UNSYMMETRIC,AMD/COLAMD,blas=1 omp=1 openblas=1 julia=1,21,0.000602,0.0013765,3.14e-05,0.0009068,0.0005799,0.0012696,0.0008381,0.0022833,0.0028853,10997,nnz(L)+nnz(U) incl. diagonals,2.08711,,0.211227,0.756104,32927,offdiag_pivots=-1,,1351,1.91042,1.1291e-14,1.50681e-13,ok,"FilterDDP baseline: lu(K), Julia default control"
ieee123C_1ph,diag,kkt_ieee123C_1ph_T3_diag_iter20_stage1.jls,1353,791,562,51,52,5269,3030,791,0,0,UMFPACK,UMFPACK_unsym_colamd,LU,UNSYMMETRIC,AMD/COLAMD,UNSYMMETRIC,AMD/COLAMD,blas=1 omp=1 openblas=1 julia=1,21,0.000576,0.0013577,3.19e-05,0.0009037,0.000551,0.0012556,0.0008416,0.0022614,0.0028374,10997,nnz(L)+nnz(U) incl. diagonals,2.08711,,0.211227,0.756104,32927,offdiag_pivots=-1,,1351,1.91042,1.1291e-14,1.50681e-13,ok,COLAMD on A'A
ieee123C_1ph,diag,kkt_ieee123C_1ph_T3_diag_iter20_stage1.jls,1353,791,562,51,52,5269,3030,791,0,0,UMFPACK,UMFPACK_sym_amd,LU,SYMMETRIC,AMD/COLAMD,SYMMETRIC,AMD/COLAMD,blas=1 omp=1 openblas=1 julia=1,21,0.0004526,0.0014647,3.95e-05,0.0010502,0.0004047,0.0013191,0.0009449,0.0025149,0.0029675,12140,nnz(L)+nnz(U) incl. diagonals,2.30404,,0.224304,0.767807,45702,offdiag_pivots=213,,1347,1.89751,1.39422e-16,1.02602e-14,ok,"AMD on A+A', diagonal preference"
ieee123C_1ph,diag,kkt_ieee123C_1ph_T3_diag_iter20_stage1.jls,1353,791,562,51,52,5269,3030,791,0,0,UMFPACK,UMFPACK_unsym_metis,LU,UNSYMMETRIC,METIS,UNSYMMETRIC,METIS,blas=1 omp=1 openblas=1 julia=1,21,0.004318,0.0016829,4.7e-05,0.001267,0.0042218,0.0015631,0.0011414,0.0029499,0.0072679,13179,nnz(L)+nnz(U) incl. diagonals,2.50123,,0.234589,0.75444,57854,offdiag_pivots=-1,,1351,2.48093,1.04658e-14,5.67926e-14,ok,METIS on A'A
ieee123C_1ph,diag,kkt_ieee123C_1ph_T3_diag_iter20_stage1.jls,1353,791,562,51,52,5269,3030,791,0,0,UMFPACK,UMFPACK_sym_metis,LU,SYMMETRIC,METIS,SYMMETRIC,METIS,blas=1 omp=1 openblas=1 julia=1,21,0.002767,0.001804,5.39e-05,0.001321,0.0026674,0.0016456,0.0012494,0.003125,0.005892,14255,nnz(L)+nnz(U) incl. diagonals,2.70545,,0.24588,0.770905,70573,offdiag_pivots=198,,1335,2.3215,4.49727e-17,1.56365e-14,ok,METIS on A+A'
ieee123C_1ph,diag,kkt_ieee123C_1ph_T3_diag_iter20_stage1.jls,1353,791,562,51,52,5269,3030,791,0,0,UMFPACK,UMFPACK_cholmod,LU,AUTO,CHOLMOD,UNSYMMETRIC,AMD/COLAMD,blas=1 omp=1 openblas=1 julia=1,21,0.0010182,0.0013968,3.1e-05,0.0008919,0.0009372,0.0012746,0.0008382,0.0022887,0.0033069,10835,nnz(L)+nnz(U) incl. diagonals,2.05637,,0.211166,0.756012,31528,offdiag_pivots=-1,,1350,1.90283,8.95021e-15,4.56671e-14,ok,"SuiteSparse C default: AMD/COLAMD, METIS if fill is high"
ieee123C_1ph,diag,kkt_ieee123C_1ph_T3_diag_iter20_stage1.jls,1353,791,562,51,52,5269,3030,791,0,0,UMFPACK,UMFPACK_best,LU,AUTO,BEST,UNSYMMETRIC,AMD/COLAMD,blas=1 omp=1 openblas=1 julia=1,21,0.0080447,0.0013187,3.11e-05,0.0008872,0.0078383,0.0012375,0.0008476,0.0022059,0.0102506,10959,nnz(L)+nnz(U) incl. diagonals,2.0799,,0.211319,0.755966,32512,offdiag_pivots=-1,,1351,1.91042,4.47513e-14,1.00555e-13,ok,"tries AMD/COLAMD, METIS, NESDIS; keeps the least fill"
ieee123C_1ph,diag,kkt_ieee123C_1ph_T3_diag_iter20_stage1.jls,1353,791,562,51,52,5269,3030,791,0,0,MUMPS,MUMPS_sym_auto,LDLT,sym=2,ICNTL(7)=7,sym=2,AMF,blas=1 omp=1 openblas=1 julia=1,21,0.0012436,0.0142845,0.0022891,0.0126509,0.0011811,0.0137377,0.0119326,0.0269354,0.028179,14089,INFOG(29): entries in L and D (one triangle),5.34788,4.64983,1,1,167566,negative=562 delayed=10 null=0 est_entries=13965,true,1303,3.24692,1.38018e-16,2.99378e-16,ok,MUMPS default ordering choice
ieee123C_1ph,diag,kkt_ieee123C_1ph_T3_diag_iter20_stage1.jls,1353,791,562,51,52,5269,3030,791,0,0,MUMPS,MUMPS_sym_amd,LDLT,sym=2,ICNTL(7)=0,sym=2,AMD,blas=1 omp=1 openblas=1 julia=1,21,0.0009747,0.0179105,0.002274,0.0124157,0.000918,0.0169285,0.0116746,0.0303262,0.0313009,15694,INFOG(29): entries in L and D (one triangle),5.95711,5.17954,1,1,208097,negative=562 delayed=66 null=0 est_entries=14770,true,438,3.58095,2.76479e-16,2.35149e-15,ok,AMD
ieee123C_1ph,diag,kkt_ieee123C_1ph_T3_diag_iter20_stage1.jls,1353,791,562,51,52,5269,3030,791,0,0,MUMPS,MUMPS_sym_amf,LDLT,sym=2,ICNTL(7)=2,sym=2,AMF,blas=1 omp=1 openblas=1 julia=1,21,0.0012325,0.014208,0.0021939,0.0122585,0.0011701,0.0139217,0.0118361,0.0264665,0.027699,14089,INFOG(29): entries in L and D (one triangle),5.34788,4.64983,1,1,167566,negative=562 delayed=10 null=0 est_entries=13965,true,1303,3.24692,1.38018e-16,2.99378e-16,ok,approximate minimum fill
