system,arm,capture,n,nu,nc,nx,rhs_cols,nnz_K,nnz_triu_K,nnz_H,nnz_22,K_asymmetry,solver,config,factorization,strategy_requested,ordering_requested,strategy_used,ordering_used,threads,repeats,ordering_s,factor_s,solve1_s,solvewide_s,ordering_s_min,factor_s_min,solvewide_s_min,factor_plus_wide_s,total_s,factor_entries,factor_entries_def,fill_ratio,fill_ratio_one_sided,factor_memory_MB,peak_memory_MB,flops,pivot_stats,inertia_ok,bandwidth_permuted,struct_fill_sym_order,relres_1,relres_wide,status,note
ieee2522C_1ph,exact,kkt_ieee2522C_1ph_T3_exact_iter20_stage1.jls,23691,13355,10336,249,250,162818,88086,80148,0,0,UMFPACK,UMFPACK_default,LU,AUTO,AMD/COLAMD,UNSYMMETRIC,AMD/COLAMD,blas=1 omp=1 openblas=1 julia=1,9,0.0358755,0.0656127,0.000926,0.159431,0.0350948,0.0633335,0.15194,0.225044,0.260919,431300,nnz(L)+nnz(U) incl. diagonals,2.64897,,5.81772,15.5317,3.17766e+07,offdiag_pivots=-1,,23685,2.41175,8.22522e-11,5.77725e-12,ok,"FilterDDP baseline: lu(K), Julia default control"
ieee2522C_1ph,exact,kkt_ieee2522C_1ph_T3_exact_iter20_stage1.jls,23691,13355,10336,249,250,162818,88086,80148,0,0,UMFPACK,UMFPACK_unsym_colamd,LU,UNSYMMETRIC,AMD/COLAMD,UNSYMMETRIC,AMD/COLAMD,blas=1 omp=1 openblas=1 julia=1,9,0.0345708,0.0670005,0.0008688,0.155292,0.03385,0.0620794,0.152277,0.222293,0.256864,431300,nnz(L)+nnz(U) incl. diagonals,2.64897,,5.81772,15.5317,3.17766e+07,offdiag_pivots=-1,,23685,2.41175,8.22522e-11,5.77725e-12,ok,COLAMD on A'A
ieee2522C_1ph,exact,kkt_ieee2522C_1ph_T3_exact_iter20_stage1.jls,23691,13355,10336,249,250,162818,88086,80148,0,0,UMFPACK,UMFPACK_sym_amd,LU,SYMMETRIC,AMD/COLAMD,SYMMETRIC,AMD/COLAMD,blas=1 omp=1 openblas=1 julia=1,9,0.0123552,0.0917399,0.0010035,0.178686,0.0120668,0.0779387,0.143945,0.270426,0.282781,514502,nnz(L)+nnz(U) incl. diagonals,3.15998,,6.57515,15.2624,1.69301e+07,offdiag_pivots=5090,,23609,1.80804,4.45158e-14,3.6139e-14,ok,"AMD on A+A', diagonal preference"
ieee2522C_1ph,exact,kkt_ieee2522C_1ph_T3_exact_iter20_stage1.jls,23691,13355,10336,249,250,162818,88086,80148,0,0,UMFPACK,UMFPACK_unsym_metis,LU,UNSYMMETRIC,METIS,UNSYMMETRIC,METIS,blas=1 omp=1 openblas=1 julia=1,9,0.220977,0.0577483,0.0009029,0.179422,0.17481,0.0532344,0.151349,0.23717,0.458147,382853,nnz(L)+nnz(U) incl. diagonals,2.35142,,5.49002,15.0159,1.36925e+07,offdiag_pivots=-1,,23613,2.25436,7.45657e-14,2.4338e-14,ok,METIS on A'A
ieee2522C_1ph,exact,kkt_ieee2522C_1ph_T3_exact_iter20_stage1.jls,23691,13355,10336,249,250,162818,88086,80148,0,0,UMFPACK,UMFPACK_sym_metis,LU,SYMMETRIC,METIS,SYMMETRIC,METIS,blas=1 omp=1 openblas=1 julia=1,9,0.0935746,0.0991095,0.0011054,0.197514,0.0847527,0.0779296,0.166502,0.296623,0.390198,528144,nnz(L)+nnz(U) incl. diagonals,3.24377,,6.76785,15.4405,2.59527e+07,offdiag_pivots=5235,,23686,2.2227,1.17587e-13,3.01325e-14,ok,METIS on A+A'
ieee2522C_1ph,exact,kkt_ieee2522C_1ph_T3_exact_iter20_stage1.jls,23691,13355,10336,249,250,162818,88086,80148,0,0,UMFPACK,UMFPACK_cholmod,LU,AUTO,CHOLMOD,UNSYMMETRIC,AMD/COLAMD,blas=1 omp=1 openblas=1 julia=1,9,0.103366,0.0663854,0.000903,0.192652,0.0783083,0.0621254,0.159273,0.259038,0.362403,443859,nnz(L)+nnz(U) incl. diagonals,2.72611,,5.96695,16.0432,3.40746e+07,offdiag_pivots=-1,,23685,2.36518,6.97408e-11,7.43615e-12,ok,"SuiteSparse C default: AMD/COLAMD, METIS if fill is high"
ieee2522C_1ph,exact,kkt_ieee2522C_1ph_T3_exact_iter20_stage1.jls,23691,13355,10336,249,250,162818,88086,80148,0,0,UMFPACK,UMFPACK_best,LU,AUTO,BEST,UNSYMMETRIC,AMD/COLAMD,blas=1 omp=1 openblas=1 julia=1,9,0.478173,0.0791693,0.0008806,0.182554,0.436656,0.0612633,0.154312,0.261723,0.739895,403895,nnz(L)+nnz(U) incl. diagonals,2.48065,,5.60832,15.0666,1.98041e+07,offdiag_pivots=-1,,23685,2.22369,1.75921e-12,2.62497e-13,ok,"tries AMD/COLAMD, METIS, NESDIS; keeps the least fill"
ieee2522C_1ph,exact,kkt_ieee2522C_1ph_T3_exact_iter20_stage1.jls,23691,13355,10336,249,250,162818,88086,80148,0,0,MUMPS,MUMPS_sym_auto,LDLT,sym=2,ICNTL(7)=7,sym=2,AMF,blas=1 omp=1 openblas=1 julia=1,9,0.04741,0.30103,0.0357918,1.18791,0.0466756,0.258791,1.1047,1.48894,1.53635,376830,INFOG(29): entries in L and D (one triangle),4.62885,4.27798,8,8,1.86838e+07,negative=10336 delayed=160 null=0 est_entries=374262,true,23385,2.89367,5.96472e-15,1.1712e-14,ok,MUMPS default ordering choice
ieee2522C_1ph,exact,kkt_ieee2522C_1ph_T3_exact_iter20_stage1.jls,23691,13355,10336,249,250,162818,88086,80148,0,0,MUMPS,MUMPS_sym_amd,LDLT,sym=2,ICNTL(7)=0,sym=2,AMD,blas=1 omp=1 openblas=1 julia=1,9,0.0233071,0.323219,0.0350326,1.17397,0.0229067,0.2706,1.08825,1.49719,1.5205,405929,INFOG(29): entries in L and D (one triangle),4.98629,4.60833,8,8,1.97233e+07,negative=10336 delayed=1049 null=0 est_entries=387768,true,23394,3.19358,7.41661e-15,1.19853e-14,ok,AMD
ieee2522C_1ph,exact,kkt_ieee2522C_1ph_T3_exact_iter20_stage1.jls,23691,13355,10336,249,250,162818,88086,80148,0,0,MUMPS,MUMPS_sym_amf,LDLT,sym=2,ICNTL(7)=2,sym=2,AMF,blas=1 omp=1 openblas=1 julia=1,9,0.0481009,0.29543,0.0355036,1.18386,0.0469651,0.258839,1.10405,1.47929,1.52739,376830,INFOG(29): entries in L and D (one triangle),4.62885,4.27798,8,8,1.86838e+07,negative=10336 delayed=160 null=0 est_entries=374262,true,23385,2.89367,5.96472e-15,1.1712e-14,ok,approximate minimum fill
