system,arm,capture,n,nu,nc,nx,rhs_cols,nnz_K,nnz_triu_K,nnz_H,nnz_22,K_asymmetry,solver,config,factorization,strategy_requested,ordering_requested,strategy_used,ordering_used,threads,repeats,ordering_s,factor_s,solve1_s,solvewide_s,ordering_s_min,factor_s_min,solvewide_s_min,factor_plus_wide_s,total_s,factor_entries,factor_entries_def,fill_ratio,fill_ratio_one_sided,factor_memory_MB,peak_memory_MB,flops,pivot_stats,inertia_ok,bandwidth_permuted,struct_fill_sym_order,relres_1,relres_wide,status,note
large10kC_1ph,diag,kkt_large10kC_1ph_T3_diag_iter20_stage1.jls,96968,54665,42303,1020,1021,393075,223870,54665,0,0,UMFPACK,UMFPACK_default,LU,AUTO,AMD/COLAMD,UNSYMMETRIC,AMD/COLAMD,blas=1 omp=1 openblas=1 julia=1,3,0.0533896,0.153628,0.0025325,2.15863,0.0507856,0.139298,2.07894,2.31226,2.36565,870685,nnz(L)+nnz(U) incl. diagonals,2.21506,,15.2477,53.5197,2.86296e+06,offdiag_pivots=-1,,96759,2.44899,4.86051e-16,3.72228e-16,ok,"FilterDDP baseline: lu(K), Julia default control"
large10kC_1ph,diag,kkt_large10kC_1ph_T3_diag_iter20_stage1.jls,96968,54665,42303,1020,1021,393075,223870,54665,0,0,UMFPACK,UMFPACK_unsym_colamd,LU,UNSYMMETRIC,AMD/COLAMD,UNSYMMETRIC,AMD/COLAMD,blas=1 omp=1 openblas=1 julia=1,3,0.0511294,0.147988,0.0023614,2.14755,0.0484123,0.131212,1.99799,2.29553,2.34666,870685,nnz(L)+nnz(U) incl. diagonals,2.21506,,15.2477,53.5197,2.86296e+06,offdiag_pivots=-1,,96759,2.44899,4.86051e-16,3.72228e-16,ok,COLAMD on A'A
large10kC_1ph,diag,kkt_large10kC_1ph_T3_diag_iter20_stage1.jls,96968,54665,42303,1020,1021,393075,223870,54665,0,0,UMFPACK,UMFPACK_sym_amd,LU,SYMMETRIC,AMD/COLAMD,SYMMETRIC,AMD/COLAMD,blas=1 omp=1 openblas=1 julia=1,3,0.0585234,0.25089,0.0111998,5.60317,0.0503348,0.224752,5.57574,5.85406,5.91259,2397606,nnz(L)+nnz(U) incl. diagonals,6.09961,,31.0676,53.7368,4.31959e+07,offdiag_pivots=19609,,96966,2.2943,2.73552e-12,2.01507e-12,ok,"AMD on A+A', diagonal preference"
large10kC_1ph,diag,kkt_large10kC_1ph_T3_diag_iter20_stage1.jls,96968,54665,42303,1020,1021,393075,223870,54665,0,0,UMFPACK,UMFPACK_unsym_metis,LU,UNSYMMETRIC,METIS,UNSYMMETRIC,METIS,blas=1 omp=1 openblas=1 julia=1,3,0.570534,0.173453,0.0032731,2.96548,0.548045,0.15586,2.94439,3.13893,3.70946,1134503,nnz(L)+nnz(U) incl. diagonals,2.88623,,18.2774,53.2231,5.86602e+06,offdiag_pivots=-1,,96701,8.07598,7.98218e-15,5.88082e-15,ok,METIS on A'A
large10kC_1ph,diag,kkt_large10kC_1ph_T3_diag_iter20_stage1.jls,96968,54665,42303,1020,1021,393075,223870,54665,0,0,UMFPACK,UMFPACK_sym_metis,LU,SYMMETRIC,METIS,SYMMETRIC,METIS,blas=1 omp=1 openblas=1 julia=1,3,0.386363,0.230227,0.0037906,3.60979,0.360587,0.187715,3.50445,3.84002,4.22638,1310105,nnz(L)+nnz(U) incl. diagonals,3.33296,,20.2227,53.5343,8.5121e+06,offdiag_pivots=18774,,96965,4.02431,1.07645e-11,7.92946e-12,ok,METIS on A+A'
large10kC_1ph,diag,kkt_large10kC_1ph_T3_diag_iter20_stage1.jls,96968,54665,42303,1020,1021,393075,223870,54665,0,0,UMFPACK,UMFPACK_cholmod,LU,AUTO,CHOLMOD,UNSYMMETRIC,AMD/COLAMD,blas=1 omp=1 openblas=1 julia=1,3,0.0831883,0.140795,0.0022313,2.22063,0.0807865,0.125173,2.16594,2.36143,2.44461,859504,nnz(L)+nnz(U) incl. diagonals,2.18662,,15.3666,53.5816,3.41865e+06,offdiag_pivots=-1,,96965,2.33437,7.82604e-16,5.85427e-16,ok,"SuiteSparse C default: AMD/COLAMD, METIS if fill is high"
large10kC_1ph,diag,kkt_large10kC_1ph_T3_diag_iter20_stage1.jls,96968,54665,42303,1020,1021,393075,223870,54665,0,0,UMFPACK,UMFPACK_best,LU,AUTO,BEST,UNSYMMETRIC,AMD/COLAMD,blas=1 omp=1 openblas=1 julia=1,3,1.12526,0.113645,0.0023102,2.18536,1.07416,0.091001,2.17844,2.299,3.42426,851337,nnz(L)+nnz(U) incl. diagonals,2.16584,,15.2758,53.5221,2.69799e+06,offdiag_pivots=-1,,96759,2.44899,4.61449e-16,3.54768e-16,ok,"tries AMD/COLAMD, METIS, NESDIS; keeps the least fill"
large10kC_1ph,diag,kkt_large10kC_1ph_T3_diag_iter20_stage1.jls,96968,54665,42303,1020,1021,393075,223870,54665,0,0,MUMPS,MUMPS_sym_auto,LDLT,sym=2,ICNTL(7)=7,sym=2,METIS,blas=1 omp=1 openblas=1 julia=1,3,0.493083,1.16149,0.149708,18.3378,0.48866,1.10877,18.2942,19.4992,19.9923,1.35869e+06,INFOG(29): entries in L and D (one triangle),6.91314,6.06911,26,26,2.10051e+07,negative=42303 delayed=6577 null=0 est_entries=1266604,true,96288,4.12124,1.0419e-14,7.67639e-15,ok,MUMPS default ordering choice
large10kC_1ph,diag,kkt_large10kC_1ph_T3_diag_iter20_stage1.jls,96968,54665,42303,1020,1021,393075,223870,54665,0,0,MUMPS,MUMPS_sym_amd,LDLT,sym=2,ICNTL(7)=0,sym=2,AMD,blas=1 omp=1 openblas=1 julia=1,3,0.0589674,1.15125,0.167047,18.933,0.0583411,1.12225,18.5868,20.0843,20.1432,1.12826e+06,INFOG(29): entries in L and D (one triangle),5.74069,5.0398,23,23,1.43874e+07,negative=42303 delayed=10023 null=0 est_entries=1003721,true,93215,3.33272,1.15076e-14,8.47769e-15,ok,AMD
large10kC_1ph,diag,kkt_large10kC_1ph_T3_diag_iter20_stage1.jls,96968,54665,42303,1020,1021,393075,223870,54665,0,0,MUMPS,MUMPS_sym_amf,LDLT,sym=2,ICNTL(7)=2,sym=2,AMF,blas=1 omp=1 openblas=1 julia=1,3,0.0670738,1.15493,0.1797,20.3968,0.0646377,1.14776,19.9612,21.5518,21.6188,1.14302e+06,INFOG(29): entries in L and D (one triangle),5.81577,5.10571,23,23,1.47524e+07,negative=42303 delayed=10517 null=0 est_entries=1012496,true,91151,3.36188,1.14654e-14,8.44662e-15,ok,approximate minimum fill
