system,arm,capture,n,nu,nc,nx,rhs_cols,nnz_K,nnz_triu_K,nnz_H,nnz_22,K_asymmetry,solver,config,factorization,strategy_requested,ordering_requested,strategy_used,ordering_used,threads,repeats,ordering_s,factor_s,solve1_s,solvewide_s,ordering_s_min,factor_s_min,solvewide_s_min,factor_plus_wide_s,total_s,factor_entries,factor_entries_def,fill_ratio,fill_ratio_one_sided,factor_memory_MB,peak_memory_MB,flops,pivot_stats,inertia_ok,bandwidth_permuted,struct_fill_sym_order,relres_1,relres_wide,status,note
large10kC_1ph,exact,kkt_large10kC_1ph_T3_exact_iter20_stage1.jls,96968,54665,42303,1020,1021,1453094,753879,1114684,0,0,UMFPACK,UMFPACK_default,LU,AUTO,AMD/COLAMD,UNSYMMETRIC,AMD/COLAMD,blas=1 omp=1 openblas=1 julia=1,3,0.148045,0.309642,0.0039291,3.59369,0.127284,0.303114,3.53872,3.90333,4.05138,2100968,nnz(L)+nnz(U) incl. diagonals,1.44586,,25.1077,86.468,7.13944e+08,offdiag_pivots=-1,,95938,2.39049,1.02509e-15,7.95115e-16,ok,"FilterDDP baseline: lu(K), Julia default control"
large10kC_1ph,exact,kkt_large10kC_1ph_T3_exact_iter20_stage1.jls,96968,54665,42303,1020,1021,1453094,753879,1114684,0,0,UMFPACK,UMFPACK_unsym_colamd,LU,UNSYMMETRIC,AMD/COLAMD,UNSYMMETRIC,AMD/COLAMD,blas=1 omp=1 openblas=1 julia=1,3,0.123548,0.331414,0.0039604,3.77075,0.122075,0.320561,3.6789,4.10217,4.22571,2100968,nnz(L)+nnz(U) incl. diagonals,1.44586,,25.1077,86.468,7.13944e+08,offdiag_pivots=-1,,95938,2.39049,1.02509e-15,7.95115e-16,ok,COLAMD on A'A
large10kC_1ph,exact,kkt_large10kC_1ph_T3_exact_iter20_stage1.jls,96968,54665,42303,1020,1021,1453094,753879,1114684,0,0,UMFPACK,UMFPACK_sym_amd,LU,SYMMETRIC,AMD/COLAMD,SYMMETRIC,AMD/COLAMD,blas=1 omp=1 openblas=1 julia=1,3,0.143377,0.480123,0.006114,5.25334,0.117986,0.453327,5.21706,5.73347,5.87684,2901432,nnz(L)+nnz(U) incl. diagonals,1.99673,,33.3701,87.2289,7.31924e+08,offdiag_pivots=20549,,96098,4.87038,1.07117e-11,7.87948e-12,ok,"AMD on A+A', diagonal preference"
large10kC_1ph,exact,kkt_large10kC_1ph_T3_exact_iter20_stage1.jls,96968,54665,42303,1020,1021,1453094,753879,1114684,0,0,UMFPACK,UMFPACK_unsym_metis,LU,UNSYMMETRIC,METIS,UNSYMMETRIC,METIS,blas=1 omp=1 openblas=1 julia=1,3,4.0978,0.64708,0.009564,9.88326,3.98999,0.641275,9.8156,10.5303,14.6281,6571724,nnz(L)+nnz(U) incl. diagonals,4.52257,,63.0085,109.33,5.52643e+09,offdiag_pivots=-1,,96931,10.1536,1.33693e-11,9.83439e-12,ok,METIS on A'A
large10kC_1ph,exact,kkt_large10kC_1ph_T3_exact_iter20_stage1.jls,96968,54665,42303,1020,1021,1453094,753879,1114684,0,0,UMFPACK,UMFPACK_sym_metis,LU,SYMMETRIC,METIS,SYMMETRIC,METIS,blas=1 omp=1 openblas=1 julia=1,3,0.657496,0.506547,0.0060191,6.03198,0.610231,0.504992,5.87987,6.53853,7.19602,3240945,nnz(L)+nnz(U) incl. diagonals,2.23038,,35.2129,86.6608,1.52157e+09,offdiag_pivots=20833,,96961,4.43979,3.71497e-12,2.73271e-12,ok,METIS on A+A'
large10kC_1ph,exact,kkt_large10kC_1ph_T3_exact_iter20_stage1.jls,96968,54665,42303,1020,1021,1453094,753879,1114684,0,0,UMFPACK,UMFPACK_cholmod,LU,AUTO,CHOLMOD,UNSYMMETRIC,AMD/COLAMD,blas=1 omp=1 openblas=1 julia=1,3,4.60666,0.344239,0.0042859,4.32966,4.43547,0.340579,4.1255,4.6739,9.28056,2432602,nnz(L)+nnz(U) incl. diagonals,1.67408,,27.7058,86.3108,8.81839e+08,offdiag_pivots=-1,,96960,8.49794,4.44682e-11,3.27105e-11,ok,"SuiteSparse C default: AMD/COLAMD, METIS if fill is high"
large10kC_1ph,exact,kkt_large10kC_1ph_T3_exact_iter20_stage1.jls,96968,54665,42303,1020,1021,1453094,753879,1114684,0,0,UMFPACK,UMFPACK_best,LU,AUTO,BEST,UNSYMMETRIC,AMD/COLAMD,blas=1 omp=1 openblas=1 julia=1,3,11.5989,0.384288,0.004637,4.47991,11.5371,0.328902,4.46889,4.86419,16.4631,2579784,nnz(L)+nnz(U) incl. diagonals,1.77537,,29.2713,86.35,9.5818e+08,offdiag_pivots=-1,,96721,8.71667,1.9127e-11,1.40697e-11,ok,"tries AMD/COLAMD, METIS, NESDIS; keeps the least fill"
large10kC_1ph,exact,kkt_large10kC_1ph_T3_exact_iter20_stage1.jls,96968,54665,42303,1020,1021,1453094,753879,1114684,0,0,MUMPS,MUMPS_sym_auto,LDLT,sym=2,ICNTL(7)=7,sym=2,METIS,blas=1 omp=1 openblas=1 julia=1,3,0.767805,1.18232,0.186466,19.766,0.750835,1.1764,19.5876,20.9483,21.7161,1.9862e+06,INFOG(29): entries in L and D (one triangle),2.73376,2.63465,42,42,4.56177e+08,negative=42303 delayed=6218 null=0 est_entries=1877962,true,95756,1.90756,1.00439e-14,7.61537e-15,ok,MUMPS default ordering choice
large10kC_1ph,exact,kkt_large10kC_1ph_T3_exact_iter20_stage1.jls,96968,54665,42303,1020,1021,1453094,753879,1114684,0,0,MUMPS,MUMPS_sym_amd,LDLT,sym=2,ICNTL(7)=0,sym=2,AMD,blas=1 omp=1 openblas=1 julia=1,3,0.128733,1.18501,0.167166,17.2738,0.124231,1.15644,17.232,18.4589,18.5876,1.85562e+06,INFOG(29): entries in L and D (one triangle),2.55402,2.46142,40,40,3.81036e+08,negative=42303 delayed=9635 null=0 est_entries=1719745,true,96259,1.73743,2.59251e-14,2.1906e-14,ok,AMD
large10kC_1ph,exact,kkt_large10kC_1ph_T3_exact_iter20_stage1.jls,96968,54665,42303,1020,1021,1453094,753879,1114684,0,0,MUMPS,MUMPS_sym_amf,LDLT,sym=2,ICNTL(7)=2,sym=2,AMF,blas=1 omp=1 openblas=1 julia=1,3,0.123203,1.13991,0.172873,18.1778,0.121502,1.13672,18.1069,19.3177,19.4409,1.84689e+06,INFOG(29): entries in L and D (one triangle),2.54201,2.44985,40,40,3.80477e+08,negative=42303 delayed=10759 null=0 est_entries=1702765,true,96044,1.81111,2.4842e-14,2.17062e-14,ok,approximate minimum fill
large10kC_1ph,exact,kkt_large10kC_1ph_T3_exact_iter20_stage1.jls,96968,54665,42303,1020,1021,1453094,753879,1114684,0,0,MUMPS,MUMPS_sym_qamd,LDLT,sym=2,ICNTL(7)=6,sym=2,QAMD,blas=1 omp=1 openblas=1 julia=1,3,0.114011,1.28119,0.124394,16.3981,0.112581,1.2141,16.1039,17.6793,17.7933,2.28062e+06,INFOG(29): entries in L and D (one triangle),3.13899,3.02518,45,45,3.9696e+08,negative=42303 delayed=8472 null=0 est_entries=2125217,true,95945,1.83835,1.48947e-14,1.09497e-14,ok,AMD with quasi-dense row detection
large10kC_1ph,exact,kkt_large10kC_1ph_T3_exact_iter20_stage1.jls,96968,54665,42303,1020,1021,1453094,753879,1114684,0,0,MUMPS,MUMPS_sym_pord,LDLT,sym=2,ICNTL(7)=4,sym=2,PORD,blas=1 omp=1 openblas=1 julia=1,3,0.578089,1.12533,0.163871,19.4492,0.546083,1.1218,19.0743,20.5746,21.1526,1.97546e+06,INFOG(29): entries in L and D (one triangle),2.71897,2.6204,41,41,5.29855e+08,negative=42303 delayed=9313 null=0 est_entries=1848907,true,94706,1.88347,1.17535e-14,8.65357e-15,ok,PORD
