system,arm,n,nnz_K,nnz_LU,rhs_cols,method,block,threads,extract_s,solve_s,total_s,speedup_vs_umfpack_ldiv,relres,max_rel_diff_vs_umfpack
ieee2522C_1ph,diag,23691,96025,215030,250,umfpack_ldiv,1,1,0,0.106189,0.106189,1.0000,5.104e-15,0.000e+00
ieee2522C_1ph,diag,23691,96025,215030,250,blocked,1,1,0.0028762,0.269817,0.272693,0.3894,4.846e-15,5.542e-14
ieee2522C_1ph,diag,23691,96025,215030,250,blocked,4,1,0.0028762,0.0876429,0.0905191,1.1731,4.846e-15,5.542e-14
ieee2522C_1ph,diag,23691,96025,215030,250,blocked,8,1,0.0028762,0.0694944,0.0723706,1.4673,4.846e-15,5.542e-14
ieee2522C_1ph,diag,23691,96025,215030,250,blocked,16,1,0.0028762,0.0503322,0.0532084,1.9957,4.846e-15,5.542e-14
ieee2522C_1ph,diag,23691,96025,215030,250,blocked,32,1,0.0028762,0.0517563,0.0546325,1.9437,4.846e-15,5.542e-14
ieee2522C_1ph,diag,23691,96025,215030,250,blocked,64,1,0.0028762,0.0674241,0.0703003,1.5105,4.846e-15,5.542e-14
ieee2522C_1ph,diag,23691,96025,215030,250,blocked,128,1,0.0028762,0.0751355,0.0780117,1.3612,4.846e-15,5.542e-14
ieee2522C_1ph,diag,23691,96025,215030,250,blocked,250,1,0.0028762,0.11246,0.115336,0.9207,4.846e-15,5.542e-14
ieee2522C_1ph,diag,23691,96025,215030,250,blocked_threaded,1,4,0.0028762,0.104784,0.10766,0.9863,4.846e-15,5.542e-14
ieee2522C_1ph,diag,23691,96025,215030,250,blocked_threaded,4,4,0.0028762,0.0524993,0.0553755,1.9176,4.846e-15,5.542e-14
ieee2522C_1ph,diag,23691,96025,215030,250,blocked_threaded,8,4,0.0028762,0.0489199,0.0517961,2.0501,4.846e-15,5.542e-14
ieee2522C_1ph,diag,23691,96025,215030,250,blocked_threaded,16,4,0.0028762,0.0346517,0.0375279,2.8296,4.846e-15,5.542e-14
ieee2522C_1ph,diag,23691,96025,215030,250,blocked_threaded,32,4,0.0028762,0.0307368,0.033613,3.1592,4.846e-15,5.542e-14
ieee2522C_1ph,diag,23691,96025,215030,250,blocked_threaded,64,4,0.0028762,0.0374548,0.040331,2.6329,4.846e-15,5.542e-14
ieee2522C_1ph,diag,23691,96025,215030,250,blocked_threaded,128,4,0.0028762,0.0522859,0.0551621,1.9250,4.846e-15,5.542e-14
ieee2522C_1ph,diag,23691,96025,215030,250,blocked_threaded,250,4,0.0028762,0.100521,0.103398,1.0270,4.846e-15,5.542e-14
