system,arm,n,nnz_K,nnz_LU,rhs_cols,method,block,threads,extract_s,solve_s,total_s,speedup_vs_umfpack_ldiv,relres,max_rel_diff_vs_umfpack
ieee2522C_1ph,exact,23691,162818,431300,250,umfpack_ldiv,1,1,0,0.198098,0.198098,1.0000,5.777e-12,0.000e+00
ieee2522C_1ph,exact,23691,162818,431300,250,blocked,1,1,0.006232,0.36465,0.370883,0.5341,4.195e-12,3.584e-11
ieee2522C_1ph,exact,23691,162818,431300,250,blocked,4,1,0.006232,0.131184,0.137416,1.4416,4.195e-12,3.584e-11
ieee2522C_1ph,exact,23691,162818,431300,250,blocked,8,1,0.006232,0.10536,0.111592,1.7752,4.195e-12,3.584e-11
ieee2522C_1ph,exact,23691,162818,431300,250,blocked,16,1,0.006232,0.0644262,0.0706582,2.8036,4.195e-12,3.584e-11
ieee2522C_1ph,exact,23691,162818,431300,250,blocked,32,1,0.006232,0.0676126,0.0738446,2.6826,4.195e-12,3.584e-11
ieee2522C_1ph,exact,23691,162818,431300,250,blocked,64,1,0.006232,0.0708045,0.0770365,2.5715,4.195e-12,3.584e-11
ieee2522C_1ph,exact,23691,162818,431300,250,blocked,128,1,0.006232,0.0754819,0.0817139,2.4243,4.195e-12,3.584e-11
ieee2522C_1ph,exact,23691,162818,431300,250,blocked,250,1,0.006232,0.101097,0.107329,1.8457,4.195e-12,3.584e-11
ieee2522C_1ph,exact,23691,162818,431300,250,blocked_threaded,1,8,0.006232,0.0863573,0.0925893,2.1395,4.195e-12,3.584e-11
ieee2522C_1ph,exact,23691,162818,431300,250,blocked_threaded,4,8,0.006232,0.0367402,0.0429722,4.6099,4.195e-12,3.584e-11
ieee2522C_1ph,exact,23691,162818,431300,250,blocked_threaded,8,8,0.006232,0.0285277,0.0347597,5.6991,4.195e-12,3.584e-11
ieee2522C_1ph,exact,23691,162818,431300,250,blocked_threaded,16,8,0.006232,0.0229005,0.0291325,6.7999,4.195e-12,3.584e-11
ieee2522C_1ph,exact,23691,162818,431300,250,blocked_threaded,32,8,0.006232,0.0215826,0.0278146,7.1221,4.195e-12,3.584e-11
ieee2522C_1ph,exact,23691,162818,431300,250,blocked_threaded,64,8,0.006232,0.0307978,0.0370298,5.3497,4.195e-12,3.584e-11
ieee2522C_1ph,exact,23691,162818,431300,250,blocked_threaded,128,8,0.006232,0.0494985,0.0557305,3.5546,4.195e-12,3.584e-11
ieee2522C_1ph,exact,23691,162818,431300,250,blocked_threaded,250,8,0.006232,0.123101,0.129333,1.5317,4.195e-12,3.584e-11
