system,arm,n,nnz_K,nnz_LU,rhs_cols,method,block,threads,extract_s,solve_s,total_s,speedup_vs_umfpack_ldiv,relres,max_rel_diff_vs_umfpack
large10kC_1ph,diag,96968,393075,870685,1021,umfpack_ldiv,1,1,0,2.23955,2.23955,1.0000,3.722e-16,0.000e+00
large10kC_1ph,diag,96968,393075,870685,1021,blocked,1,1,0.0139123,3.73322,3.74714,0.5977,7.371e-16,4.881e-16
large10kC_1ph,diag,96968,393075,870685,1021,blocked,4,1,0.0139123,1.57086,1.58477,1.4132,7.371e-16,4.881e-16
large10kC_1ph,diag,96968,393075,870685,1021,blocked,8,1,0.0139123,1.21632,1.23023,1.8204,7.371e-16,4.881e-16
large10kC_1ph,diag,96968,393075,870685,1021,blocked,16,1,0.0139123,1.01103,1.02494,2.1851,7.371e-16,4.881e-16
large10kC_1ph,diag,96968,393075,870685,1021,blocked,32,1,0.0139123,0.942293,0.956206,2.3421,7.371e-16,4.881e-16
large10kC_1ph,diag,96968,393075,870685,1021,blocked,64,1,0.0139123,0.984824,0.998736,2.2424,7.371e-16,4.881e-16
large10kC_1ph,diag,96968,393075,870685,1021,blocked,128,1,0.0139123,1.06889,1.0828,2.0683,7.371e-16,4.881e-16
large10kC_1ph,diag,96968,393075,870685,1021,blocked,256,1,0.0139123,2.16687,2.18078,1.0269,7.371e-16,4.881e-16
large10kC_1ph,diag,96968,393075,870685,1021,blocked,1021,1,0.0139123,3.16218,3.17609,0.7051,7.371e-16,4.881e-16
large10kC_1ph,diag,96968,393075,870685,1021,blocked_threaded,1,6,0.0139123,1.14506,1.15897,1.9324,7.371e-16,4.881e-16
large10kC_1ph,diag,96968,393075,870685,1021,blocked_threaded,4,6,0.0139123,0.539453,0.553366,4.0471,7.371e-16,4.881e-16
large10kC_1ph,diag,96968,393075,870685,1021,blocked_threaded,8,6,0.0139123,0.467568,0.48148,4.6514,7.371e-16,4.881e-16
large10kC_1ph,diag,96968,393075,870685,1021,blocked_threaded,16,6,0.0139123,0.375422,0.389334,5.7522,7.371e-16,4.881e-16
large10kC_1ph,diag,96968,393075,870685,1021,blocked_threaded,32,6,0.0139123,0.382778,0.39669,5.6456,7.371e-16,4.881e-16
large10kC_1ph,diag,96968,393075,870685,1021,blocked_threaded,64,6,0.0139123,0.411509,0.425422,5.2643,7.371e-16,4.881e-16
large10kC_1ph,diag,96968,393075,870685,1021,blocked_threaded,128,6,0.0139123,0.5066,0.520512,4.3026,7.371e-16,4.881e-16
large10kC_1ph,diag,96968,393075,870685,1021,blocked_threaded,256,6,0.0139123,0.997091,1.011,2.2152,7.371e-16,4.881e-16
large10kC_1ph,diag,96968,393075,870685,1021,blocked_threaded,1021,6,0.0139123,3.01827,3.03218,0.7386,7.371e-16,4.881e-16
