system,arm,n,nnz_K,nnz_LU,rhs_cols,method,block,threads,extract_s,solve_s,total_s,speedup_vs_umfpack_ldiv,relres,max_rel_diff_vs_umfpack
ieee123C_1ph,diag,1353,5269,10997,52,umfpack_ldiv,1,1,0,0.000855,0.000855,1.0000,1.507e-13,0.000e+00
ieee123C_1ph,diag,1353,5269,10997,52,blocked,1,1,0.0001374,0.0020582,0.0021956,0.3894,1.792e-13,1.510e-12
ieee123C_1ph,diag,1353,5269,10997,52,blocked,4,1,0.0001374,0.0007882,0.0009256,0.9237,1.792e-13,1.510e-12
ieee123C_1ph,diag,1353,5269,10997,52,blocked,8,1,0.0001374,0.0006454,0.0007828,1.0922,1.792e-13,1.510e-12
ieee123C_1ph,diag,1353,5269,10997,52,blocked,16,1,0.0001374,0.0005353,0.0006727,1.2710,1.792e-13,1.510e-12
ieee123C_1ph,diag,1353,5269,10997,52,blocked,32,1,0.0001374,0.0005567,0.0006941,1.2318,1.792e-13,1.510e-12
ieee123C_1ph,diag,1353,5269,10997,52,blocked,52,1,0.0001374,0.0005545,0.0006919,1.2357,1.792e-13,1.510e-12
ieee123C_1ph,exact,1353,8072,22396,52,umfpack_ldiv,1,1,0,0.0014614,0.0014614,1.0000,5.479e-11,0.000e+00
ieee123C_1ph,exact,1353,8072,22396,52,blocked,1,1,0.0002187,0.0036371,0.0038558,0.3790,3.748e-11,3.965e-11
ieee123C_1ph,exact,1353,8072,22396,52,blocked,4,1,0.0002187,0.0012899,0.0015086,0.9687,3.748e-11,3.965e-11
ieee123C_1ph,exact,1353,8072,22396,52,blocked,8,1,0.0002187,0.0010704,0.0012891,1.1337,3.748e-11,3.965e-11
ieee123C_1ph,exact,1353,8072,22396,52,blocked,16,1,0.0002187,0.0007261,0.0009448,1.5468,3.748e-11,3.965e-11
ieee123C_1ph,exact,1353,8072,22396,52,blocked,32,1,0.0002187,0.000715,0.0009337,1.5652,3.748e-11,3.965e-11
ieee123C_1ph,exact,1353,8072,22396,52,blocked,52,1,0.0002187,0.0006906,0.0009093,1.6072,3.748e-11,3.965e-11
