system,arm,n,nnz_K,rhs_cols,solver,config,threads,ordering_s,factor_s,solve1_s,solvewide_s,factor_plus_wide_s,total_s,factor_entries,fill_ratio,stats,relres_1,relres_wide,dual_reg,dev_wide,note
"ieee123C_1ph","diag",1353,5269,52,"UMFPACK","default (FilterDDP lu)","1",0.0004996,0.001571,4.03e-05,0.0011589,0.0027299,0.0032295,12610,2.39324,"",1.95903e-16,1.16902e-14,1e-08,0.953274,"column-by-column ldiv!"
"ieee123C_1ph","diag",1353,5269,52,"MA57","auto (ICNTL6=5)","1",0.0002421,0.0008153,8.73e-05,0.0017499,0.0025652,0.0028073,26050,4.94401,"ordering_used=2 neg=562 delayed=154 two_by_two=44 rank=1353 maxfront=26",2.36351e-17,1.08923e-14,1e-08,0.953274,"MA57 defaults; METIS unavailable so automatic = MC47 AMD"
"ieee123C_1ph","diag",1353,5269,52,"MA57","AMD MC47 (ICNTL6=2)","1",0.0002378,0.0008168,8.6e-05,0.0017675,0.0025843,0.0028221,26050,4.94401,"ordering_used=2 neg=562 delayed=154 two_by_two=44 rank=1353 maxfront=26",2.36351e-17,1.08923e-14,1e-08,0.953274,""
"ieee123C_1ph","diag",1353,5269,52,"MA57","AMD no-dense (ICNTL6=0)","1",0.0002332,0.0008145,8.69e-05,0.0017337,0.0025482,0.0027814,26050,4.94401,"ordering_used=0 neg=562 delayed=154 two_by_two=44 rank=1353 maxfront=26",2.36351e-17,1.08923e-14,1e-08,0.953274,""
"ieee123C_1ph","diag",1353,5269,52,"MA57","MA27 MD (ICNTL6=3)","1",0.0002494,0.0008184,8.96e-05,0.0018181,0.0026365,0.0028859,25746,4.88632,"ordering_used=3 neg=562 delayed=129 two_by_two=70 rank=1353 maxfront=27",2.1708e-17,1.15108e-14,1e-08,0.953274,""
"ieee123C_1ph","diag",1353,5269,52,"MA57","Ipopt settings","1",0.0002354,0.0002664,7.74e-05,0.0015811,0.0018475,0.0020829,23716,4.50104,"ordering_used=2 neg=562 delayed=75 two_by_two=17 rank=1353 maxfront=25",3.54706e-15,4.0756e-14,1e-08,0.953274,"Ipopt's ma57 defaults: pivtol 1e-8, no MC64 scaling"
"ieee123C_1ph","diag",1353,5269,52,"MA97","auto, BLAS3 solve","1",0.0004898,0.0008977,0.0001543,0.0015624,0.0024601,0.0029499,22890,4.34428,"ordering_used=1 neg=562 delayed=138 two_by_two=13 rank=1353 maxfront=19",1.71065e-17,1.24289e-14,1e-08,0.953274,"METIS unavailable so automatic = AMD"
"ieee123C_1ph","diag",1353,5269,52,"MA97","auto, BLAS2 solve","1",0.0004866,0.0009557,0.0001219,0.0015957,0.0025514,0.003038,22890,4.34428,"ordering_used=1 neg=562 delayed=138 two_by_two=13 rank=1353 maxfront=19",1.82527e-17,1.24289e-14,1e-08,0.953274,"MA97 default solve_blas3=false"
"ieee123C_1ph","diag",1353,5269,52,"MA97","AMD, BLAS3 solve","1",0.0004185,0.0008926,0.0001585,0.0016481,0.0025407,0.0029592,22890,4.34428,"ordering_used=1 neg=562 delayed=138 two_by_two=13 rank=1353 maxfront=19",1.71065e-17,1.24289e-14,1e-08,0.953274,""
"ieee123C_1ph","diag",1353,5269,52,"MA97","MD (MA27), BLAS3","1",0.0004431,0.0013867,0.0001708,0.0016047,0.0029914,0.0034345,23610,4.48093,"ordering_used=2 neg=562 delayed=114 two_by_two=14 rank=1353 maxfront=18",1.84354e-17,1.27858e-14,1e-08,0.953274,""
"ieee123C_1ph","diag",1353,5269,52,"MA97","auto, no scaling","1",0.0004864,0.0006463,0.0001553,0.0014701,0.0021164,0.0026028,25350,4.81116,"ordering_used=1 neg=562 delayed=264 two_by_two=18 rank=1353 maxfront=21",1.37897e-16,1.57125e-16,1e-08,0.953274,""
