system,arm,n,nnz_K,rhs_cols,solver,config,threads,ordering_s,factor_s,solve1_s,solvewide_s,factor_plus_wide_s,total_s,factor_entries,fill_ratio,stats,relres_1,relres_wide,dual_reg,dev_wide,note
"large10kC_1ph","diag",96968,393075,1021,"UMFPACK","default (FilterDDP lu)","1",0.0376622,0.319225,0.0068088,7.06079,7.38002,7.41768,3615899,9.19901,"",5.91484e-13,4.35706e-13,1e-10,1.90698e-05,"column-by-column ldiv!"
"large10kC_1ph","diag",96968,393075,1021,"MA57","auto (ICNTL6=5)","1",0.0155856,0.0513532,0.004113,13.4795,13.5309,13.5464,2565910,6.52779,"ordering_used=2 neg=42303 delayed=22832 two_by_two=1860 rank=96968 maxfront=33",1.48077e-14,1.07846e-14,1e-10,1.90698e-05,"MA57 defaults; METIS unavailable so automatic = MC47 AMD"
"large10kC_1ph","diag",96968,393075,1021,"MA57","AMD MC47 (ICNTL6=2)","1",0.0161914,0.0590205,0.0046992,13.4191,13.4781,13.4943,2565910,6.52779,"ordering_used=2 neg=42303 delayed=22832 two_by_two=1860 rank=96968 maxfront=33",1.48077e-14,1.07846e-14,1e-10,1.90698e-05,""
"large10kC_1ph","diag",96968,393075,1021,"MA57","AMD no-dense (ICNTL6=0)","1",0.0191849,0.0520922,0.0040866,13.6944,13.7465,13.7656,2565910,6.52779,"ordering_used=0 neg=42303 delayed=22832 two_by_two=1860 rank=96968 maxfront=33",1.48077e-14,1.07846e-14,1e-10,1.90698e-05,""
"large10kC_1ph","diag",96968,393075,1021,"MA57","MA27 MD (ICNTL6=3)","1",0.0151947,0.0524265,0.0042914,13.66,13.7125,13.7277,2532184,6.44199,"ordering_used=3 neg=42303 delayed=22483 two_by_two=2021 rank=96968 maxfront=38",1.63379e-14,1.20632e-14,1e-10,1.90698e-05,""
"large10kC_1ph","diag",96968,393075,1021,"MA57","Ipopt settings","1",0.015995,0.0224434,0.0038862,12.878,12.9004,12.9164,2414720,6.14315,"ordering_used=2 neg=42303 delayed=19158 two_by_two=122 rank=96968 maxfront=29",5.5207e-12,3.70413e-12,1e-10,1.90698e-05,"Ipopt's ma57 defaults: pivtol 1e-8, no MC64 scaling"
"large10kC_1ph","diag",96968,393075,1021,"MA97","auto, BLAS3 solve","1",0.0317496,0.0467512,0.0091865,9.54113,9.58788,9.61963,1781056,4.53108,"ordering_used=1 neg=42303 delayed=16564 two_by_two=1422 rank=96968 maxfront=18",1.37537e-14,1.01321e-14,1e-10,1.90698e-05,"METIS unavailable so automatic = AMD"
"large10kC_1ph","diag",96968,393075,1021,"MA97","auto, BLAS2 solve","1",0.0322014,0.0450661,0.0076049,9.37064,9.41571,9.44791,1781056,4.53108,"ordering_used=1 neg=42303 delayed=16564 two_by_two=1422 rank=96968 maxfront=18",1.39235e-14,1.01321e-14,1e-10,1.90698e-05,"MA97 default solve_blas3=false"
"large10kC_1ph","diag",96968,393075,1021,"MA97","AMD, BLAS3 solve","1",0.0293443,0.0494756,0.0095141,9.3799,9.42938,9.45872,1781056,4.53108,"ordering_used=1 neg=42303 delayed=16564 two_by_two=1422 rank=96968 maxfront=18",1.37537e-14,1.01321e-14,1e-10,1.90698e-05,""
"large10kC_1ph","diag",96968,393075,1021,"MA97","MD (MA27), BLAS3","1",0.0260003,0.0492388,0.0091765,9.44103,9.49026,9.51626,1862632,4.73862,"ordering_used=2 neg=42303 delayed=14950 two_by_two=1421 rank=96968 maxfront=20",1.40165e-14,1.03256e-14,1e-10,1.90698e-05,""
"large10kC_1ph","diag",96968,393075,1021,"MA97","auto, no scaling","1",0.0335544,0.0396894,0.0097402,8.89086,8.93055,8.9641,1804234,4.59005,"ordering_used=1 neg=42303 delayed=17262 two_by_two=867 rank=96968 maxfront=116",2.21409e-14,1.63099e-14,1e-10,1.90698e-05,""
