system,nu,nc,H_diag_min,H_diag_median,H_diag_max,dual_reg,dev_all,dev_primal,dev_multiplier,dev_feedforward_primal
ieee123C_1ph,791,562,1.000e-08,1.895e+01,1.057e+10,1e-14,1.923e-04,3.801e-10,1.938e-04,3.327e-10
ieee123C_1ph,791,562,1.000e-08,1.895e+01,1.057e+10,1e-12,1.884e-02,3.722e-08,1.899e-02,3.254e-08
ieee123C_1ph,791,562,1.000e-08,1.895e+01,1.057e+10,1e-10,6.262e-01,1.159e-06,6.313e-01,9.292e-07
ieee123C_1ph,791,562,1.000e-08,1.895e+01,1.057e+10,1e-08,9.533e-01,5.739e-06,9.610e-01,1.192e-06
ieee123C_1ph,791,562,1.000e-08,1.895e+01,1.057e+10,1e-06,9.595e-01,4.948e-04,9.673e-01,1.004e-04
ieee123C_1ph,791,562,1.000e-08,1.895e+01,1.057e+10,1e-04,9.602e-01,2.381e-02,9.680e-01,4.687e-03
ieee2522C_1ph,13355,10336,1.000e-08,8.000e+00,1.074e+09,1e-14,1.247e-06,1.915e-07,1.247e-06,3.445e-07
ieee2522C_1ph,13355,10336,1.000e-08,8.000e+00,1.074e+09,1e-12,1.246e-04,1.915e-05,1.246e-04,3.444e-05
ieee2522C_1ph,13355,10336,1.000e-08,8.000e+00,1.074e+09,1e-10,1.129e-02,1.909e-03,1.129e-02,3.333e-03
ieee2522C_1ph,13355,10336,1.000e-08,8.000e+00,1.074e+09,1e-08,1.981e-01,1.570e-01,1.981e-01,2.042e-01
ieee2522C_1ph,13355,10336,1.000e-08,8.000e+00,1.074e+09,1e-06,9.467e-01,8.514e-01,9.467e-01,1.115e+00
ieee2522C_1ph,13355,10336,1.000e-08,8.000e+00,1.074e+09,1e-04,9.984e-01,9.749e-01,9.984e-01,1.159e+00
large10kC_1ph,54665,42303,1.000e-08,5.236e+00,2.314e+04,1e-14,1.907e-09,1.704e-10,1.907e-09,1.705e-10
large10kC_1ph,54665,42303,1.000e-08,5.236e+00,2.314e+04,1e-12,1.907e-07,1.507e-08,1.907e-07,1.507e-08
large10kC_1ph,54665,42303,1.000e-08,5.236e+00,2.314e+04,1e-10,1.907e-05,1.508e-06,1.907e-05,1.509e-06
large10kC_1ph,54665,42303,1.000e-08,5.236e+00,2.314e+04,1e-08,1.898e-03,1.508e-04,1.898e-03,1.508e-04
large10kC_1ph,54665,42303,1.000e-08,5.236e+00,2.314e+04,1e-06,1.278e-01,1.465e-02,1.279e-01,1.465e-02
large10kC_1ph,54665,42303,1.000e-08,5.236e+00,2.314e+04,1e-04,4.125e-01,1.218e+00,4.124e-01,1.219e+00
