time,other_cores,our_cores
2026-09-24T22:05:25,0.328,1.076
2026-09-24T22:05:41,0.269,1.086
2026-09-24T22:05:58,0.311,1.075
2026-09-24T22:06:14,0.389,1.065
2026-09-24T22:06:30,0.353,1.080
2026-09-24T22:06:47,0.281,1.078
2026-09-24T22:07:03,0.311,1.082
2026-09-24T22:07:20,0.302,1.076
2026-09-24T22:07:36,0.313,1.059
2026-09-24T22:07:52,0.253,1.085
2026-09-24T22:08:08,0.273,1.070
2026-09-24T22:08:25,0.350,1.076
2026-09-24T22:08:41,0.295,1.077
2026-09-24T22:08:58,0.264,1.082
2026-09-24T22:09:14,0.273,1.084
2026-09-24T22:09:30,0.306,1.068
2026-09-24T22:09:47,0.290,1.077
2026-09-24T22:10:03,0.293,1.073
2026-09-24T22:10:19,0.303,1.067
2026-09-24T22:10:36,0.291,1.071
2026-09-24T22:10:52,0.383,0.076
