time,other_cores,our_cores
2026-09-24T22:11:35,0.279,1.080
2026-09-24T22:11:51,0.253,1.080
2026-09-24T22:12:08,0.321,1.074
2026-09-24T22:12:24,0.264,1.068
2026-09-24T22:12:40,0.271,1.080
2026-09-24T22:12:57,0.235,1.074
2026-09-24T22:13:13,0.293,1.071
2026-09-24T22:13:29,0.291,1.083
2026-09-24T22:13:45,0.262,1.082
2026-09-24T22:14:02,0.245,1.077
2026-09-24T22:14:18,0.286,1.081
2026-09-24T22:14:35,0.279,1.080
2026-09-24T22:14:51,0.260,1.077
2026-09-24T22:15:07,0.310,1.095
2026-09-24T22:15:24,0.282,1.078
2026-09-24T22:15:40,0.242,1.080
2026-09-24T22:15:57,0.391,0.079
