time,other_cores,our_cores
2026-09-26T02:54:07,0.638,1.327
2026-09-26T02:54:23,0.648,1.148
2026-09-26T02:54:40,0.567,2.201
2026-09-26T02:54:56,0.638,2.543
2026-09-26T02:55:12,0.648,2.464
2026-09-26T02:55:29,0.554,2.616
2026-09-26T02:55:45,0.545,2.553
2026-09-26T02:56:01,0.502,2.464
2026-09-26T02:56:17,0.605,2.454
2026-09-26T02:56:34,0.511,2.475
2026-09-26T02:56:50,0.648,2.495
2026-09-26T02:57:06,0.721,2.495
2026-09-26T02:57:22,0.606,2.627
2026-09-26T02:57:39,0.491,2.514
2026-09-26T02:57:55,0.629,2.465
2026-09-26T02:58:11,0.540,2.499
2026-09-26T02:58:28,0.609,2.557
2026-09-26T02:58:44,0.551,2.434
2026-09-26T02:59:00,0.613,2.383
2026-09-26T02:59:17,0.695,2.467
2026-09-26T02:59:33,0.657,2.414
2026-09-26T02:59:49,0.591,2.438
2026-09-26T03:00:05,0.678,2.558
2026-09-26T03:00:22,0.564,2.510
2026-09-26T03:00:38,0.747,0.080
