time,other_cores,our_cores
2026-09-25T17:54:23,0.605,1.315
2026-09-25T17:54:40,0.612,1.257
2026-09-25T17:54:56,0.526,1.617
2026-09-25T17:55:12,0.439,2.059
2026-09-25T17:55:29,0.437,2.182
2026-09-25T17:55:45,0.501,2.324
2026-09-25T17:56:02,0.701,2.375
2026-09-25T17:56:18,0.702,2.254
2026-09-25T17:56:34,0.694,2.244
2026-09-25T17:56:51,0.629,2.229
2026-09-25T17:57:07,0.651,2.313
2026-09-25T17:57:23,0.494,2.345
2026-09-25T17:57:40,0.603,2.369
2026-09-25T17:57:56,0.575,2.322
2026-09-25T17:58:12,0.659,2.301
2026-09-25T17:58:29,0.621,2.256
2026-09-25T17:58:45,0.729,2.402
2026-09-25T17:59:01,0.679,2.330
2026-09-25T17:59:18,0.503,2.288
2026-09-25T17:59:34,0.521,2.430
2026-09-25T17:59:50,0.619,2.173
2026-09-25T18:00:06,0.759,2.280
2026-09-25T18:00:23,0.716,2.326
2026-09-25T18:00:39,0.674,2.237
2026-09-25T18:00:55,0.589,2.278
2026-09-25T18:01:11,0.587,2.292
2026-09-25T18:01:28,0.599,2.267
2026-09-25T18:01:44,0.592,2.237
2026-09-25T18:02:00,0.697,2.227
2026-09-25T18:02:17,0.701,2.170
2026-09-25T18:02:33,0.734,2.129
2026-09-25T18:02:49,0.638,2.067
2026-09-25T18:03:06,0.762,2.092
2026-09-25T18:03:22,0.571,2.110
2026-09-25T18:03:38,0.734,2.027
2026-09-25T18:03:54,0.626,2.146
2026-09-25T18:04:10,0.756,2.192
2026-09-25T18:04:27,0.763,2.160
2026-09-25T18:04:43,0.760,2.355
2026-09-25T18:04:59,0.694,2.244
2026-09-25T18:05:16,0.638,2.337
2026-09-25T18:05:32,0.700,2.262
2026-09-25T18:05:48,0.570,2.234
2026-09-25T18:06:04,0.694,2.366
2026-09-25T18:06:21,1.006,2.181
2026-09-25T18:06:37,0.811,2.156
2026-09-25T18:06:53,0.827,2.106
2026-09-25T18:07:09,0.668,2.107
2026-09-25T18:07:26,0.826,2.350
2026-09-25T18:07:42,0.591,2.206
2026-09-25T18:07:58,0.643,2.254
2026-09-25T18:08:14,1.143,2.244
2026-09-25T18:08:31,1.121,2.305
2026-09-25T18:08:47,0.761,2.263
2026-09-25T18:09:03,0.580,2.400
2026-09-25T18:09:19,0.565,2.289
2026-09-25T18:09:36,0.658,2.233
2026-09-25T18:09:52,0.646,2.201
2026-09-25T18:10:08,0.605,2.196
2026-09-25T18:10:24,0.609,2.290
2026-09-25T18:10:41,0.905,2.314
2026-09-25T18:10:57,0.823,2.219
2026-09-25T18:11:13,0.585,2.267
2026-09-25T18:11:29,0.623,2.258
2026-09-25T18:11:46,0.660,2.326
2026-09-25T18:12:02,0.649,2.282
2026-09-25T18:12:18,0.657,2.365
2026-09-25T18:12:35,0.629,2.233
2026-09-25T18:12:51,0.686,2.211
2026-09-25T18:13:07,0.563,2.258
2026-09-25T18:13:23,0.565,2.317
2026-09-25T18:13:40,0.559,2.228
2026-09-25T18:13:56,0.574,2.207
2026-09-25T18:14:13,0.770,2.227
2026-09-25T18:14:29,0.614,2.420
2026-09-25T18:14:45,0.573,2.234
2026-09-25T18:15:01,0.532,2.206
2026-09-25T18:15:18,0.487,2.116
2026-09-25T18:15:34,0.555,2.223
2026-09-25T18:15:51,0.556,2.177
2026-09-25T18:16:08,0.652,2.246
2026-09-25T18:16:24,0.638,2.108
2026-09-25T18:16:40,0.568,2.140
2026-09-25T18:16:57,0.629,2.203
2026-09-25T18:17:13,0.538,2.174
2026-09-25T18:17:29,0.598,2.150
2026-09-25T18:17:46,0.677,2.136
2026-09-25T18:18:02,0.619,2.234
2026-09-25T18:18:18,0.602,2.354
2026-09-25T18:18:35,0.629,2.139
2026-09-25T18:18:51,0.636,2.294
2026-09-25T18:19:07,0.635,2.082
2026-09-25T18:19:23,0.543,2.100
2026-09-25T18:19:40,0.499,2.037
2026-09-25T18:19:56,0.643,2.106
2026-09-25T18:20:13,0.612,2.205
2026-09-25T18:20:29,0.684,2.242
2026-09-25T18:20:45,0.603,2.236
2026-09-25T18:21:01,0.577,2.218
2026-09-25T18:21:18,0.561,2.190
2026-09-25T18:21:34,0.792,2.178
2026-09-25T18:21:50,0.783,2.221
2026-09-25T18:22:06,0.663,2.182
2026-09-25T18:22:23,0.603,2.273
2026-09-25T18:22:39,0.571,2.227
2026-09-25T18:22:55,0.621,2.233
2026-09-25T18:23:12,0.604,0.082
