time,other_cores,our_cores
2026-09-25T19:33:54,0.637,1.331
2026-09-25T19:34:10,0.668,1.122
2026-09-25T19:34:27,0.665,1.080
2026-09-25T19:34:43,0.706,1.098
2026-09-25T19:34:59,0.625,1.110
2026-09-25T19:35:16,0.576,1.079
2026-09-25T19:35:32,0.512,1.187
2026-09-25T19:35:49,0.590,2.809
2026-09-25T19:36:05,0.982,3.362
2026-09-25T19:36:21,0.722,2.518
2026-09-25T19:36:37,0.598,3.678
2026-09-25T19:36:54,0.693,2.868
2026-09-25T19:37:10,0.579,3.657
2026-09-25T19:37:26,0.583,3.030
2026-09-25T19:37:43,0.498,3.609
2026-09-25T19:37:59,0.599,3.087
2026-09-25T19:38:15,0.590,3.677
2026-09-25T19:38:31,0.623,3.074
2026-09-25T19:38:48,0.629,3.636
2026-09-25T19:39:04,0.548,3.116
2026-09-25T19:39:20,0.561,3.717
2026-09-25T19:39:37,0.564,3.161
2026-09-25T19:39:53,0.655,3.635
2026-09-25T19:40:09,0.638,2.127
2026-09-25T19:40:26,0.646,3.547
2026-09-25T19:40:42,0.572,3.141
2026-09-25T19:40:58,0.547,2.618
2026-09-25T19:41:15,0.564,3.609
2026-09-25T19:41:31,0.491,1.835
2026-09-25T19:41:47,0.585,3.720
2026-09-25T19:42:03,0.603,2.738
2026-09-25T19:42:20,0.597,2.786
2026-09-25T19:42:36,0.609,3.698
2026-09-25T19:42:52,0.635,1.384
2026-09-25T19:43:09,0.513,3.766
2026-09-25T19:43:25,0.490,2.935
2026-09-25T19:43:41,0.550,2.152
2026-09-25T19:43:58,0.616,3.592
2026-09-25T19:44:14,0.589,2.125
2026-09-25T19:44:31,0.671,3.119
2026-09-25T19:44:47,0.569,3.619
2026-09-25T19:45:03,0.546,2.162
2026-09-25T19:45:20,0.494,3.775
2026-09-25T19:45:36,0.570,1.959
2026-09-25T19:45:52,0.578,3.467
2026-09-25T19:46:09,0.735,3.221
2026-09-25T19:46:25,0.734,1.941
2026-09-25T19:46:41,0.739,3.628
2026-09-25T19:46:57,0.701,2.434
2026-09-25T19:47:14,0.630,2.718
2026-09-25T19:47:30,0.656,3.645
2026-09-25T19:47:47,0.590,1.485
2026-09-25T19:48:03,0.728,3.596
2026-09-25T19:48:19,0.704,3.077
2026-09-25T19:48:35,0.739,2.159
2026-09-25T19:48:52,1.910,3.601
2026-09-25T19:49:08,1.059,2.313
2026-09-25T19:49:25,0.876,2.780
