time,other_cores,our_cores
2026-09-26T05:02:19,0.559,1.317
2026-09-26T05:02:35,0.565,1.094
2026-09-26T05:02:52,0.408,1.065
2026-09-26T05:03:08,0.417,1.094
2026-09-26T05:03:24,0.485,1.074
2026-09-26T05:03:41,0.529,1.078
2026-09-26T05:03:57,0.563,1.109
2026-09-26T05:04:13,0.546,1.069
2026-09-26T05:04:30,0.573,1.076
2026-09-26T05:04:46,0.445,1.096
2026-09-26T05:05:03,0.475,1.109
2026-09-26T05:05:19,0.490,1.058
2026-09-26T05:05:35,0.463,1.243
2026-09-26T05:05:52,0.628,2.797
2026-09-26T05:06:08,0.649,3.456
2026-09-26T05:06:24,0.564,3.340
2026-09-26T05:06:40,0.530,3.275
2026-09-26T05:06:57,0.524,1.897
2026-09-26T05:07:13,0.492,3.673
2026-09-26T05:07:29,0.532,3.584
2026-09-26T05:07:46,0.505,3.755
2026-09-26T05:08:02,0.597,2.394
2026-09-26T05:08:19,0.577,3.664
2026-09-26T05:08:35,0.610,3.603
2026-09-26T05:08:51,0.560,3.242
2026-09-26T05:09:07,0.575,2.906
2026-09-26T05:09:24,0.609,3.653
2026-09-26T05:09:40,0.535,3.678
2026-09-26T05:09:56,0.605,2.540
2026-09-26T05:10:13,0.549,3.632
2026-09-26T05:10:29,0.523,3.705
2026-09-26T05:10:46,0.578,3.773
2026-09-26T05:11:02,0.476,1.754
2026-09-26T05:11:18,0.428,3.382
2026-09-26T05:11:34,0.480,3.638
2026-09-26T05:11:51,0.478,3.676
2026-09-26T05:12:07,0.580,2.278
2026-09-26T05:12:23,0.526,2.701
2026-09-26T05:12:40,0.535,3.641
2026-09-26T05:12:56,0.499,3.692
2026-09-26T05:13:12,0.456,2.684
2026-09-26T05:13:29,0.517,2.316
2026-09-26T05:13:45,0.543,3.669
2026-09-26T05:14:01,0.577,3.703
2026-09-26T05:14:18,0.530,3.075
2026-09-26T05:14:34,0.492,3.009
2026-09-26T05:14:50,0.478,3.678
2026-09-26T05:15:07,0.597,3.719
2026-09-26T05:15:23,0.425,2.472
2026-09-26T05:15:40,0.489,3.792
2026-09-26T05:15:56,0.517,3.696
2026-09-26T05:16:12,0.550,3.688
2026-09-26T05:16:29,0.514,2.621
2026-09-26T05:16:45,0.481,3.704
2026-09-26T05:17:01,0.514,3.614
2026-09-26T05:17:17,0.457,3.364
2026-09-26T05:17:34,0.513,1.156
2026-09-26T05:17:50,0.558,2.067
