time,other_cores,our_cores
2026-09-24T23:44:41,0.338,1.073
2026-09-24T23:44:57,0.325,1.078
2026-09-24T23:45:14,0.251,1.070
2026-09-24T23:45:30,0.244,1.074
2026-09-24T23:45:46,0.294,1.075
2026-09-24T23:46:03,0.589,1.072
2026-09-24T23:46:19,0.787,1.073
2026-09-24T23:46:36,0.258,1.082
2026-09-24T23:46:52,0.375,1.080
2026-09-24T23:47:08,0.300,1.081
2026-09-24T23:47:25,0.305,1.072
2026-09-24T23:47:41,0.274,1.084
2026-09-24T23:47:58,0.253,1.069
2026-09-24T23:48:14,0.326,1.080
2026-09-24T23:48:31,0.279,1.064
2026-09-24T23:48:47,0.270,1.075
2026-09-24T23:49:03,0.307,1.072
2026-09-24T23:49:20,0.352,1.078
2026-09-24T23:49:36,0.355,1.072
2026-09-24T23:49:53,0.257,1.086
2026-09-24T23:50:09,0.390,1.077
2026-09-24T23:50:25,0.276,1.074
2026-09-24T23:50:42,0.292,1.070
2026-09-24T23:50:58,0.256,1.076
2026-09-24T23:51:15,0.290,1.078
2026-09-24T23:51:31,0.303,1.073
2026-09-24T23:51:47,0.284,1.079
2026-09-24T23:52:04,0.257,1.080
2026-09-24T23:52:20,0.269,1.066
2026-09-24T23:52:37,0.280,1.077
2026-09-24T23:52:53,0.263,1.075
2026-09-24T23:53:10,0.287,1.074
2026-09-24T23:53:26,0.280,1.074
2026-09-24T23:53:42,0.272,1.069
2026-09-24T23:53:59,0.372,1.072
2026-09-24T23:54:15,0.641,1.077
2026-09-24T23:54:31,0.280,1.085
2026-09-24T23:54:48,0.246,1.082
2026-09-24T23:55:04,0.324,1.079
2026-09-24T23:55:21,0.260,1.062
2026-09-24T23:55:37,0.240,1.075
2026-09-24T23:55:53,0.278,1.068
2026-09-24T23:56:10,0.361,1.074
2026-09-24T23:56:26,0.259,1.074
2026-09-24T23:56:43,0.256,1.078
2026-09-24T23:56:59,0.206,1.081
2026-09-24T23:57:16,0.306,1.075
2026-09-24T23:57:32,0.333,1.077
2026-09-24T23:57:48,0.293,1.076
2026-09-24T23:58:05,0.329,1.074
2026-09-24T23:58:21,0.280,1.074
2026-09-24T23:58:38,0.296,1.085
2026-09-24T23:58:54,0.254,1.086
2026-09-24T23:59:11,0.256,1.083
2026-09-24T23:59:27,0.274,1.077
2026-09-24T23:59:43,0.246,1.077
2026-09-25T00:00:00,0.286,1.065
2026-09-25T00:00:16,0.328,1.065
2026-09-25T00:00:32,0.235,1.065
2026-09-25T00:00:49,0.248,1.066
2026-09-25T00:01:05,0.272,1.064
2026-09-25T00:01:21,0.230,1.065
2026-09-25T00:01:37,0.258,1.079
2026-09-25T00:01:54,0.269,1.074
2026-09-25T00:02:10,0.408,1.069
2026-09-25T00:02:27,0.316,1.074
2026-09-25T00:02:43,0.290,1.065
2026-09-25T00:02:59,0.300,1.073
2026-09-25T00:03:16,0.293,1.077
2026-09-25T00:03:32,0.275,1.079
2026-09-25T00:03:48,0.267,1.076
2026-09-25T00:04:05,0.305,1.077
2026-09-25T00:04:21,0.328,1.075
2026-09-25T00:04:38,0.373,1.070
2026-09-25T00:04:54,0.266,1.066
2026-09-25T00:05:10,0.326,1.066
2026-09-25T00:05:27,0.251,1.077
2026-09-25T00:05:43,0.263,1.075
2026-09-25T00:05:59,0.306,1.082
2026-09-25T00:06:16,0.358,1.089
2026-09-25T00:06:32,0.258,1.072
2026-09-25T00:06:48,0.302,1.081
2026-09-25T00:07:05,0.268,1.067
2026-09-25T00:07:21,0.415,1.078
2026-09-25T00:07:38,0.306,1.080
2026-09-25T00:07:54,0.213,1.063
2026-09-25T00:08:10,0.296,1.073
2026-09-25T00:08:27,0.343,1.076
2026-09-25T00:08:43,0.305,1.074
2026-09-25T00:09:00,0.233,1.072
2026-09-25T00:09:16,0.321,1.082
2026-09-25T00:09:32,0.324,1.074
2026-09-25T00:09:49,0.283,1.075
2026-09-25T00:10:05,0.273,1.071
2026-09-25T00:10:21,0.277,1.070
2026-09-25T00:10:38,0.225,1.077
2026-09-25T00:10:54,0.274,1.070
2026-09-25T00:11:11,0.375,1.080
2026-09-25T00:11:27,0.259,1.078
2026-09-25T00:11:44,0.208,1.098
2026-09-25T00:12:00,0.293,1.075
2026-09-25T00:12:16,0.310,1.082
2026-09-25T00:12:33,0.231,1.072
2026-09-25T00:12:49,0.232,1.079
2026-09-25T00:13:05,0.249,1.071
2026-09-25T00:13:22,0.253,1.069
2026-09-25T00:13:38,0.338,1.072
2026-09-25T00:13:55,0.223,1.071
2026-09-25T00:14:11,0.268,1.070
2026-09-25T00:14:27,0.230,1.075
2026-09-25T00:14:44,0.275,1.074
2026-09-25T00:15:00,0.254,1.071
2026-09-25T00:15:16,0.349,1.084
2026-09-25T00:15:33,0.271,1.092
2026-09-25T00:15:49,0.232,1.074
2026-09-25T00:16:06,0.290,1.083
2026-09-25T00:16:22,0.290,1.077
2026-09-25T00:16:39,0.243,1.075
2026-09-25T00:16:55,0.232,1.086
2026-09-25T00:17:11,0.265,1.078
2026-09-25T00:17:28,0.324,1.071
2026-09-25T00:17:44,0.266,1.071
2026-09-25T00:18:01,0.252,1.061
2026-09-25T00:18:17,0.279,1.082
2026-09-25T00:18:33,0.208,1.077
2026-09-25T00:18:50,0.322,1.074
2026-09-25T00:19:06,0.336,1.071
2026-09-25T00:19:22,0.219,1.070
2026-09-25T00:19:39,0.379,1.070
2026-09-25T00:19:55,0.307,1.084
2026-09-25T00:20:12,0.289,1.078
2026-09-25T00:20:28,0.261,1.078
2026-09-25T00:20:45,0.254,1.082
2026-09-25T00:21:01,0.221,1.078
2026-09-25T00:21:18,0.287,1.074
2026-09-25T00:21:34,0.234,1.071
2026-09-25T00:21:50,0.189,1.073
2026-09-25T00:22:07,0.306,1.069
2026-09-25T00:22:23,0.305,1.080
2026-09-25T00:22:40,0.247,1.083
2026-09-25T00:22:56,0.203,1.072
2026-09-25T00:23:13,0.312,1.077
2026-09-25T00:23:29,0.295,1.073
2026-09-25T00:23:46,0.312,1.081
2026-09-25T00:24:02,0.265,1.066
2026-09-25T00:24:18,0.445,1.073
2026-09-25T00:24:35,0.391,1.076
2026-09-25T00:24:51,0.239,1.069
2026-09-25T00:25:08,0.234,1.067
2026-09-25T00:25:24,0.246,1.080
2026-09-25T00:25:40,0.190,1.070
2026-09-25T00:25:57,0.267,1.076
2026-09-25T00:26:13,0.262,1.071
2026-09-25T00:26:30,0.268,1.065
2026-09-25T00:26:46,0.328,1.071
2026-09-25T00:27:03,0.239,1.075
2026-09-25T00:27:19,0.318,1.089
2026-09-25T00:27:35,0.308,1.063
2026-09-25T00:27:52,0.244,1.081
2026-09-25T00:28:08,0.274,1.066
2026-09-25T00:28:24,0.234,1.076
2026-09-25T00:28:41,0.209,1.073
2026-09-25T00:28:57,0.233,1.072
2026-09-25T00:29:14,0.212,1.081
2026-09-25T00:29:30,0.192,1.067
2026-09-25T00:29:47,0.214,1.081
2026-09-25T00:30:03,0.229,1.068
2026-09-25T00:30:20,0.279,1.069
2026-09-25T00:30:36,0.253,1.059
2026-09-25T00:30:52,0.190,1.074
2026-09-25T00:31:09,0.257,1.092
2026-09-25T00:31:25,0.302,1.077
2026-09-25T00:31:42,0.274,1.073
2026-09-25T00:31:58,0.384,1.080
2026-09-25T00:32:15,0.348,1.077
2026-09-25T00:32:31,0.256,1.083
2026-09-25T00:32:48,0.207,1.081
2026-09-25T00:33:04,0.273,1.071
2026-09-25T00:33:21,0.216,1.083
2026-09-25T00:33:37,0.356,1.055
2026-09-25T00:33:53,0.305,1.080
2026-09-25T00:34:10,0.342,1.080
2026-09-25T00:34:26,0.270,1.074
2026-09-25T00:34:43,0.219,1.076
2026-09-25T00:34:59,0.289,1.078
2026-09-25T00:35:16,0.292,1.085
2026-09-25T00:35:32,0.179,1.075
2026-09-25T00:35:48,0.312,1.083
2026-09-25T00:36:05,0.269,1.085
2026-09-25T00:36:21,0.279,1.070
2026-09-25T00:36:38,0.347,1.078
2026-09-25T00:36:54,0.206,1.077
2026-09-25T00:37:10,0.206,1.073
2026-09-25T00:37:27,0.375,1.076
2026-09-25T00:37:43,0.204,1.076
2026-09-25T00:38:00,0.256,1.089
2026-09-25T00:38:16,0.283,1.088
2026-09-25T00:38:33,0.289,1.077
2026-09-25T00:38:49,0.271,1.072
2026-09-25T00:39:06,0.252,0.084
