time,other_cores,our_cores
2026-09-25T00:39:48,0.298,1.067
2026-09-25T00:40:05,0.391,1.088
2026-09-25T00:40:21,0.233,1.075
2026-09-25T00:40:37,0.257,1.084
2026-09-25T00:40:54,0.346,1.081
2026-09-25T00:41:10,0.290,1.076
2026-09-25T00:41:27,0.299,1.068
2026-09-25T00:41:43,0.203,1.072
2026-09-25T00:41:59,0.324,1.073
2026-09-25T00:42:16,0.272,1.080
2026-09-25T00:42:32,0.416,1.077
2026-09-25T00:42:49,0.322,1.079
2026-09-25T00:43:05,0.336,1.075
2026-09-25T00:43:21,0.245,1.074
2026-09-25T00:43:38,0.318,1.079
2026-09-25T00:43:54,0.289,1.079
2026-09-25T00:44:11,0.250,1.075
2026-09-25T00:44:27,0.306,1.078
2026-09-25T00:44:43,0.238,1.076
2026-09-25T00:45:00,0.300,1.084
2026-09-25T00:45:16,0.271,1.072
2026-09-25T00:45:33,0.214,1.090
2026-09-25T00:45:49,0.220,1.070
2026-09-25T00:46:05,0.287,1.076
2026-09-25T00:46:22,0.212,1.077
2026-09-25T00:46:38,0.354,1.075
2026-09-25T00:46:55,0.358,1.072
2026-09-25T00:47:11,0.283,1.075
2026-09-25T00:47:28,0.453,1.074
2026-09-25T00:47:44,0.253,1.073
2026-09-25T00:48:00,0.338,1.071
2026-09-25T00:48:17,0.261,1.087
2026-09-25T00:48:33,0.332,1.086
2026-09-25T00:48:49,0.251,1.074
2026-09-25T00:49:06,0.259,1.072
2026-09-25T00:49:22,0.261,1.073
2026-09-25T00:49:38,0.250,1.085
2026-09-25T00:49:55,0.249,1.071
2026-09-25T00:50:11,0.325,1.073
2026-09-25T00:50:28,0.357,1.072
2026-09-25T00:50:44,0.305,1.067
2026-09-25T00:51:00,0.267,1.073
2026-09-25T00:51:17,0.294,1.076
2026-09-25T00:51:33,0.359,1.075
2026-09-25T00:51:49,0.252,1.091
2026-09-25T00:52:06,0.283,1.073
2026-09-25T00:52:22,0.304,1.076
2026-09-25T00:52:38,0.340,1.071
2026-09-25T00:52:55,0.258,1.059
2026-09-25T00:53:11,0.280,1.075
2026-09-25T00:53:28,0.280,1.076
2026-09-25T00:53:44,0.284,1.080
2026-09-25T00:54:00,0.333,1.086
2026-09-25T00:54:17,0.343,1.081
2026-09-25T00:54:33,0.626,1.068
2026-09-25T00:54:50,0.290,1.075
2026-09-25T00:55:06,0.283,1.075
2026-09-25T00:55:22,0.243,1.080
2026-09-25T00:55:39,0.275,1.077
2026-09-25T00:55:55,0.335,1.079
2026-09-25T00:56:11,0.420,1.072
2026-09-25T00:56:28,0.356,1.084
2026-09-25T00:56:44,0.336,1.077
2026-09-25T00:57:01,0.250,1.075
2026-09-25T00:57:17,0.330,1.076
2026-09-25T00:57:34,0.411,1.085
2026-09-25T00:57:50,0.283,1.085
2026-09-25T00:58:06,0.259,1.077
2026-09-25T00:58:23,0.304,1.071
2026-09-25T00:58:39,0.356,1.081
2026-09-25T00:58:55,0.306,1.075
2026-09-25T00:59:12,0.341,1.067
2026-09-25T00:59:28,0.340,1.078
2026-09-25T00:59:45,0.348,1.073
2026-09-25T01:00:01,0.295,1.076
2026-09-25T01:00:17,0.386,1.055
2026-09-25T01:00:34,0.406,1.082
2026-09-25T01:00:50,0.322,1.071
2026-09-25T01:01:06,0.324,1.080
2026-09-25T01:01:23,0.306,1.064
2026-09-25T01:01:39,0.289,1.074
2026-09-25T01:01:55,0.265,1.076
2026-09-25T01:02:12,0.283,1.082
2026-09-25T01:02:28,0.291,1.081
2026-09-25T01:02:45,0.418,1.085
2026-09-25T01:03:01,0.290,1.069
2026-09-25T01:03:18,0.349,1.067
2026-09-25T01:03:34,0.309,1.074
2026-09-25T01:03:50,0.306,1.079
2026-09-25T01:04:07,0.389,1.073
2026-09-25T01:04:23,0.314,1.083
2026-09-25T01:04:40,0.398,1.080
2026-09-25T01:04:56,0.326,1.077
2026-09-25T01:05:12,0.312,1.077
2026-09-25T01:05:29,0.309,1.075
2026-09-25T01:05:45,0.355,1.085
2026-09-25T01:06:02,0.330,1.071
2026-09-25T01:06:18,0.265,1.077
2026-09-25T01:06:34,0.395,1.095
2026-09-25T01:06:51,0.375,1.082
2026-09-25T01:07:07,0.358,1.076
2026-09-25T01:07:24,0.484,1.085
2026-09-25T01:07:40,0.398,1.069
2026-09-25T01:07:57,0.272,1.080
2026-09-25T01:08:13,0.319,1.067
2026-09-25T01:08:29,0.340,1.074
2026-09-25T01:08:46,0.353,1.078
2026-09-25T01:09:02,0.261,1.080
2026-09-25T01:09:18,0.307,1.069
2026-09-25T01:09:35,0.354,1.086
2026-09-25T01:09:51,0.283,1.075
2026-09-25T01:10:08,0.346,1.077
2026-09-25T01:10:24,0.349,1.083
2026-09-25T01:10:40,0.416,1.065
2026-09-25T01:10:57,0.380,1.079
2026-09-25T01:11:13,0.329,1.078
2026-09-25T01:11:29,0.408,1.070
2026-09-25T01:11:46,0.251,1.090
2026-09-25T01:12:02,0.261,1.070
2026-09-25T01:12:19,0.299,1.079
2026-09-25T01:12:35,0.379,1.084
2026-09-25T01:12:51,0.344,1.069
2026-09-25T01:13:08,0.332,1.079
2026-09-25T01:13:24,0.359,1.074
2026-09-25T01:13:41,0.333,1.080
