time,other_cores,our_cores
2026-09-25T02:49:42,0.440,1.068
2026-09-25T02:49:58,0.680,1.071
2026-09-25T02:50:14,0.405,1.067
2026-09-25T02:50:31,0.425,1.515
2026-09-25T02:50:47,0.393,1.327
2026-09-25T02:51:03,0.530,1.738
2026-09-25T02:51:20,0.458,1.857
2026-09-25T02:51:36,0.338,1.410
2026-09-25T02:51:52,0.319,1.689
2026-09-25T02:52:09,0.306,1.846
2026-09-25T02:52:25,0.285,1.850
2026-09-25T02:52:42,0.242,1.467
2026-09-25T02:52:58,0.407,1.735
2026-09-25T02:53:14,0.415,1.938
2026-09-25T02:53:31,0.346,1.702
2026-09-25T02:53:47,0.306,1.517
2026-09-25T02:54:04,0.327,1.926
2026-09-25T02:54:20,0.273,1.978
2026-09-25T02:54:36,0.376,1.481
2026-09-25T02:54:53,0.299,1.860
2026-09-25T02:55:09,0.359,1.897
2026-09-25T02:55:26,0.309,1.593
2026-09-25T02:55:42,0.311,1.722
2026-09-25T02:55:58,0.343,1.929
2026-09-25T02:56:15,0.328,1.763
2026-09-25T02:56:31,0.324,1.473
2026-09-25T02:56:48,0.393,1.863
2026-09-25T02:57:04,0.331,1.864
2026-09-25T02:57:20,0.317,1.496
2026-09-25T02:57:37,0.399,1.966
2026-09-25T02:57:53,0.340,1.824
2026-09-25T02:58:09,0.325,1.464
2026-09-25T02:58:26,0.283,1.935
2026-09-25T02:58:42,0.307,1.895
2026-09-25T02:58:59,0.330,1.471
2026-09-25T02:59:15,0.349,1.949
2026-09-25T02:59:32,0.291,1.748
2026-09-25T02:59:48,0.345,1.570
2026-09-25T03:00:04,0.404,1.895
2026-09-25T03:00:21,0.281,1.949
2026-09-25T03:00:37,0.326,1.444
2026-09-25T03:00:53,0.319,1.893
2026-09-25T03:01:10,0.334,1.971
2026-09-25T03:01:26,0.359,1.443
2026-09-25T03:01:43,0.339,1.801
2026-09-25T03:01:59,0.281,2.046
2026-09-25T03:02:15,0.300,1.447
2026-09-25T03:02:31,0.339,1.839
2026-09-25T03:02:48,0.303,1.974
2026-09-25T03:03:04,0.330,1.417
2026-09-25T03:03:21,0.387,1.848
2026-09-25T03:03:37,0.365,1.978
2026-09-25T03:03:53,0.318,1.408
2026-09-25T03:04:10,0.372,1.886
2026-09-25T03:04:26,0.290,1.955
2026-09-25T03:04:42,0.398,1.411
2026-09-25T03:04:59,0.296,1.879
2026-09-25T03:05:15,0.308,1.924
2026-09-25T03:05:31,0.254,1.388
2026-09-25T03:05:48,0.310,1.918
2026-09-25T03:06:04,0.306,1.880
2026-09-25T03:06:20,0.258,1.488
2026-09-25T03:06:37,0.327,1.978
2026-09-25T03:06:53,0.326,1.848
2026-09-25T03:07:10,0.349,1.483
2026-09-25T03:07:26,0.686,1.989
2026-09-25T03:07:42,0.870,1.474
2026-09-25T03:07:59,0.494,1.886
2026-09-25T03:08:15,0.554,1.857
2026-09-25T03:08:31,0.483,1.572
2026-09-25T03:08:48,0.553,1.929
2026-09-25T03:09:04,0.614,1.945
2026-09-25T03:09:21,0.777,1.502
2026-09-25T03:09:37,0.584,1.950
2026-09-25T03:09:53,0.631,1.836
2026-09-25T03:10:10,0.631,1.483
2026-09-25T03:10:26,0.503,1.909
2026-09-25T03:10:42,0.543,1.595
2026-09-25T03:10:59,0.652,1.584
2026-09-25T03:11:15,0.649,1.976
2026-09-25T03:11:32,0.576,1.580
2026-09-25T03:11:48,0.651,1.653
2026-09-25T03:12:04,0.501,2.009
2026-09-25T03:12:21,0.751,1.564
2026-09-25T03:12:37,0.527,1.784
2026-09-25T03:12:54,0.605,1.910
2026-09-25T03:13:10,0.598,1.617
2026-09-25T03:13:27,0.587,1.736
2026-09-25T03:13:43,0.591,1.987
2026-09-25T03:13:59,0.554,1.492
2026-09-25T03:14:16,0.548,1.826
2026-09-25T03:14:32,0.490,1.898
2026-09-25T03:14:48,0.582,1.368
2026-09-25T03:15:04,0.596,1.804
2026-09-25T03:15:21,0.591,1.951
2026-09-25T03:15:37,0.636,1.447
2026-09-25T03:15:53,0.551,1.759
2026-09-25T03:16:10,0.519,1.867
2026-09-25T03:16:26,0.548,1.619
2026-09-25T03:16:43,0.568,1.685
2026-09-25T03:16:59,0.599,1.929
2026-09-25T03:17:15,0.616,1.770
2026-09-25T03:17:32,0.586,1.480
