time,other_cores,our_cores
2026-09-25T03:33:34,0.566,1.067
2026-09-25T03:33:50,0.612,1.077
2026-09-25T03:34:07,0.626,1.068
2026-09-25T03:34:23,0.494,1.578
2026-09-25T03:34:40,0.524,1.880
2026-09-25T03:34:56,0.493,1.942
2026-09-25T03:35:12,0.735,1.914
2026-09-25T03:35:29,0.600,1.972
2026-09-25T03:35:45,0.508,1.931
2026-09-25T03:36:02,0.497,1.984
2026-09-25T03:36:18,0.518,2.008
2026-09-25T03:36:35,0.529,1.985
2026-09-25T03:36:51,0.577,2.015
2026-09-25T03:37:07,0.631,2.017
2026-09-25T03:37:24,0.552,2.086
2026-09-25T03:37:40,0.594,1.947
2026-09-25T03:37:57,0.501,2.104
2026-09-25T03:38:13,0.480,2.047
2026-09-25T03:38:29,0.531,2.017
2026-09-25T03:38:46,0.563,2.035
2026-09-25T03:39:02,0.500,1.920
2026-09-25T03:39:18,0.625,1.903
2026-09-25T03:39:35,0.640,2.016
2026-09-25T03:39:51,0.566,2.060
2026-09-25T03:40:07,0.514,1.982
2026-09-25T03:40:24,0.471,2.041
2026-09-25T03:40:40,0.457,2.104
2026-09-25T03:40:57,0.426,2.001
2026-09-25T03:41:13,0.502,2.064
2026-09-25T03:41:29,0.583,1.992
2026-09-25T03:41:46,0.634,1.968
2026-09-25T03:42:02,0.597,1.920
2026-09-25T03:42:18,0.523,1.936
2026-09-25T03:42:35,0.466,1.931
2026-09-25T03:42:51,0.462,1.986
2026-09-25T03:43:07,0.592,2.011
2026-09-25T03:43:24,0.587,2.049
2026-09-25T03:43:40,0.609,2.057
2026-09-25T03:43:56,0.529,2.046
2026-09-25T03:44:13,0.563,2.027
2026-09-25T03:44:29,0.416,2.132
2026-09-25T03:44:46,0.487,2.121
2026-09-25T03:45:02,0.615,1.941
2026-09-25T03:45:18,0.563,1.826
2026-09-25T03:45:34,0.541,2.029
2026-09-25T03:45:51,0.550,1.976
2026-09-25T03:46:07,0.548,2.080
2026-09-25T03:46:23,0.526,2.101
2026-09-25T03:46:40,0.495,2.146
2026-09-25T03:46:56,0.508,2.069
2026-09-25T03:47:12,0.574,1.786
2026-09-25T03:47:29,0.560,1.872
2026-09-25T03:47:45,0.536,1.985
2026-09-25T03:48:02,0.536,2.069
2026-09-25T03:48:18,0.513,2.085
2026-09-25T03:48:34,0.478,1.983
2026-09-25T03:48:51,0.456,2.015
2026-09-25T03:49:07,0.629,2.142
2026-09-25T03:49:24,0.585,2.075
2026-09-25T03:49:40,0.635,1.843
2026-09-25T03:49:56,0.637,2.028
2026-09-25T03:50:12,0.498,1.779
2026-09-25T03:50:29,0.384,1.975
2026-09-25T03:50:45,0.396,1.946
2026-09-25T03:51:01,0.452,2.039
2026-09-25T03:51:18,0.526,2.078
2026-09-25T03:51:34,0.571,2.106
2026-09-25T03:51:51,0.488,2.063
2026-09-25T03:52:07,0.465,1.937
2026-09-25T03:52:23,0.431,2.034
2026-09-25T03:52:40,0.445,2.031
2026-09-25T03:52:56,0.529,2.023
2026-09-25T03:53:13,0.541,1.975
2026-09-25T03:53:29,0.578,1.993
2026-09-25T03:53:46,0.584,1.911
2026-09-25T03:54:02,0.567,1.943
2026-09-25T03:54:18,0.476,1.994
2026-09-25T03:54:35,0.465,1.889
2026-09-25T03:54:51,0.512,1.874
2026-09-25T03:55:07,0.609,1.893
2026-09-25T03:55:24,0.565,1.937
2026-09-25T03:55:40,0.536,2.076
2026-09-25T03:55:56,0.491,2.103
2026-09-25T03:56:13,0.512,1.883
2026-09-25T03:56:29,0.511,1.718
2026-09-25T03:56:45,0.612,1.807
2026-09-25T03:57:02,0.640,1.846
2026-09-25T03:57:18,0.521,1.901
2026-09-25T03:57:34,0.563,2.051
2026-09-25T03:57:51,0.480,1.978
2026-09-25T03:58:07,0.482,1.924
2026-09-25T03:58:23,0.455,1.856
2026-09-25T03:58:40,0.403,1.893
2026-09-25T03:58:56,0.456,1.900
2026-09-25T03:59:13,0.593,2.070
2026-09-25T03:59:29,0.554,2.043
2026-09-25T03:59:45,0.555,1.842
2026-09-25T04:00:02,0.596,1.927
2026-09-25T04:00:18,0.656,1.853
2026-09-25T04:00:35,0.535,2.109
2026-09-25T04:00:51,0.494,2.051
2026-09-25T04:01:08,0.579,1.890
2026-09-25T04:01:24,0.580,1.909
2026-09-25T04:01:41,0.648,1.850
2026-09-25T04:01:57,0.525,2.039
2026-09-25T04:02:13,0.528,2.073
2026-09-25T04:02:30,0.507,1.892
2026-09-25T04:02:46,0.532,1.857
2026-09-25T04:03:03,0.582,1.837
2026-09-25T04:03:19,0.635,2.101
2026-09-25T04:03:35,0.631,2.066
2026-09-25T04:03:52,0.579,0.086
