iteration,barrier_iteration,elapsed_algorithm_s,objective,objective_rel_gap,primal_inf,dual_inf,complementarity_inf,barrier_mu,step_size,line_search_backtracks,equality_count,equality_rms,equality_max,equality_worst_stage,equality_worst_index,dynamics_count,dynamics_rms,dynamics_max,dynamics_worst_stage,dynamics_worst_index,bound_count,bound_rms,bound_max,bound_worst_stage,bound_worst_index,bound_worst_kind
0,0,19.730255900,3360,6.471791679e-01,1.000000000e+00,7.668500000e+02,1.000000000e+00,1.000000000e+00,0.000000000e+00,0,62016,9.945813623256e-03,1.000000000000e+00,6,1,1245,0.000000000000e+00,0.000000000000e+00,0,0,69486,0.000000000000e+00,0.000000000000e+00,0,0,none
1,0,22.080300100,4462.7838,5.313800316e-01,9.375000000e-01,7.189200000e+02,9.999300000e-01,1.000000000e+00,6.250000000e-02,0,62016,2.152889129472e-02,9.375000000000e-01,3,1,1245,0.000000000000e+00,0.000000000000e+00,0,0,69486,0.000000000000e+00,0.000000000000e+00,0,0,none
2,0,23.465222100,4728.93856,5.034321316e-01,9.228500000e-01,7.076900000e+02,9.998700000e-01,1.000000000e+00,1.562500000e-02,0,62016,2.144423369219e-02,9.228515625000e-01,3,1,1245,0.000000000000e+00,0.000000000000e+00,0,0,69486,0.000000000000e+00,0.000000000000e+00,0,0,none
3,0,24.667069400,4964.97536,4.786468042e-01,9.084300000e-01,6.966300000e+02,9.998400000e-01,1.000000000e+00,1.562500000e-02,0,62016,2.140316062778e-02,9.084320068359e-01,3,1,1245,0.000000000000e+00,0.000000000000e+00,0,0,69486,0.000000000000e+00,0.000000000000e+00,0,0,none
4,0,25.947182100,5409.11093,4.320098157e-01,8.800400000e-01,6.748600000e+02,9.997700000e-01,1.000000000e+00,3.125000000e-02,0,62016,2.207584361786e-02,8.800435066223e-01,3,1,1245,0.000000000000e+00,0.000000000000e+00,0,0,69486,0.000000000000e+00,0.000000000000e+00,0,0,none
5,0,27.211922800,6212.07636,3.476934671e-01,8.250400000e-01,6.326800000e+02,9.995400000e-01,1.000000000e+00,6.250000000e-02,0,62016,2.635773594515e-02,8.250407874584e-01,3,1,1245,0.000000000000e+00,0.000000000000e+00,0,0,69486,0.000000000000e+00,0.000000000000e+00,0,0,none
6,0,28.381266800,7565.08624,2.056190410e-01,7.839600000e-01,4.247700000e+02,9.984600000e-01,1.000000000e+00,1.250000000e-01,0,62016,4.281946815215e-02,7.839570557248e-01,5,7568,1245,0.000000000000e+00,0.000000000000e+00,0,0,69486,0.000000000000e+00,0.000000000000e+00,0,0,none
7,0,29.571826400,8535.51191,1.037183290e-01,8.484600000e-01,2.472700000e+02,9.971400000e-01,1.000000000e+00,1.250000000e-01,0,62016,4.769430184806e-02,8.484576719353e-01,5,7568,1245,0.000000000000e+00,0.000000000000e+00,0,0,69486,0.000000000000e+00,0.000000000000e+00,0,0,none
8,0,30.851140500,9215.22175,3.234458159e-02,8.219900000e-01,1.543600000e+02,9.958200000e-01,1.000000000e+00,1.250000000e-01,1,62016,4.684356952679e-02,8.219851998056e-01,5,7568,1245,0.000000000000e+00,0.000000000000e+00,0,0,69486,0.000000000000e+00,0.000000000000e+00,0,0,none
9,0,32.078517000,10200.7942,7.114663624e-02,7.876500000e-01,7.026400000e+01,9.901400000e-01,1.000000000e+00,2.500000000e-01,0,62016,4.636243420053e-02,7.876471917686e-01,5,7568,1245,0.000000000000e+00,0.000000000000e+00,0,0,69486,0.000000000000e+00,0.000000000000e+00,0,0,none
