iteration,barrier_iteration,elapsed_algorithm_s,objective,objective_rel_gap,primal_inf,dual_inf,complementarity_inf,barrier_mu,step_size,line_search_backtracks,equality_count,equality_rms,equality_max,equality_worst_stage,equality_worst_index,dynamics_count,dynamics_rms,dynamics_max,dynamics_worst_stage,dynamics_worst_index,bound_count,bound_rms,bound_max,bound_worst_stage,bound_worst_index,bound_worst_kind
0,0,34.556448600,3360,6.266175855e-01,1.000000000e+00,4.900000000e+01,1.000000000e+00,1.000000000e+00,0.000000000e+00,0,992256,9.946366636479e-03,1.000000000000e+00,96,1,23655,0.000000000000e+00,0.000000000000e+00,0,0,1111776,0.000000000000e+00,0.000000000000e+00,0,0,none
1,0,52.941106900,4551.91368,4.941653213e-01,9.375000000e-01,4.593800000e+01,9.999000000e-01,1.000000000e+00,6.250000000e-02,0,992256,1.702515875634e-02,9.375000000000e-01,6,1,23655,0.000000000000e+00,0.000000000000e+00,0,0,1111776,0.000000000000e+00,0.000000000000e+00,0,0,none
2,0,68.291712600,4800.01612,4.665947594e-01,9.228500000e-01,4.522000000e+01,9.998600000e-01,1.000000000e+00,1.562500000e-02,0,992256,1.704335517760e-02,9.228515625000e-01,63,1,23655,0.000000000000e+00,0.000000000000e+00,0,0,1111776,0.000000000000e+00,0.000000000000e+00,0,0,none
3,0,84.021599000,5046.22578,4.392345340e-01,9.084300000e-01,4.451300000e+01,9.998300000e-01,1.000000000e+00,1.562500000e-02,0,992256,1.709321882000e-02,9.084320068359e-01,63,1,23655,0.000000000000e+00,0.000000000000e+00,0,0,1111776,0.000000000000e+00,0.000000000000e+00,0,0,none
4,0,99.286299000,5538.23979,3.845591236e-01,8.800400000e-01,4.312200000e+01,9.997800000e-01,1.000000000e+00,3.125000000e-02,0,992256,1.796711900667e-02,8.800435066223e-01,63,1,23655,0.000000000000e+00,0.000000000000e+00,0,0,1111776,0.000000000000e+00,0.000000000000e+00,0,0,none
5,0,115.902659200,6457.77964,2.823745970e-01,8.250400000e-01,4.042700000e+01,9.996700000e-01,1.000000000e+00,6.250000000e-02,0,992256,2.262821690277e-02,8.250407874584e-01,78,1,23655,0.000000000000e+00,0.000000000000e+00,0,0,1111776,0.000000000000e+00,0.000000000000e+00,0,0,none
6,0,133.066196800,7211.55096,1.986112174e-01,7.734800000e-01,3.790000000e+01,9.995300000e-01,1.000000000e+00,6.250000000e-02,0,992256,2.595213855491e-02,7.734757382423e-01,63,1,23655,0.000000000000e+00,0.000000000000e+00,0,0,1111776,0.000000000000e+00,0.000000000000e+00,0,0,none
7,0,150.026900100,7834.1105,1.294288412e-01,7.251300000e-01,2.930500000e+01,9.993300000e-01,1.000000000e+00,6.250000000e-02,0,992256,2.789479637192e-02,7.251335046021e-01,79,1,23655,0.000000000000e+00,0.000000000000e+00,0,0,1111776,0.000000000000e+00,0.000000000000e+00,0,0,none
8,0,165.508202300,8871.57573,1.413977196e-02,6.344900000e-01,1.663000000e+01,9.982500000e-01,1.000000000e+00,1.250000000e-01,0,992256,3.479535676795e-02,6.344918165269e-01,78,1,23655,0.000000000000e+00,0.000000000000e+00,0,0,1111776,0.000000000000e+00,0.000000000000e+00,0,0,none
9,1,195.037347600,10248.8686,1.389128879e-01,7.883100000e-01,6.752900000e+00,9.915600000e-01,1.995262315e-01,2.500000000e-01,0,992256,4.630488083707e-02,7.883140440898e-01,24,7567,23655,0.000000000000e+00,0.000000000000e+00,0,0,1111776,0.000000000000e+00,0.000000000000e+00,0,0,none
10,1,210.653684200,11055.6288,2.285646949e-01,6.152900000e-01,6.518900000e+00,6.212800000e-01,1.995262315e-01,5.000000000e-01,0,992256,3.714657788223e-02,6.152939387427e-01,1,7567,23655,0.000000000000e+00,0.000000000000e+00,0,0,1111776,0.000000000000e+00,0.000000000000e+00,0,0,none
11,1,226.094279500,11471.2005,2.747453987e-01,3.635600000e-01,1.071100000e+01,4.284300000e-01,1.995262315e-01,5.000000000e-01,0,992256,2.222179324221e-02,3.635585803708e-01,1,7578,23655,0.000000000000e+00,0.000000000000e+00,0,0,1111776,0.000000000000e+00,0.000000000000e+00,0,0,none
