iteration,barrier_iteration,elapsed_algorithm_s,objective,objective_rel_gap,primal_inf,dual_inf,complementarity_inf,barrier_mu,step_size,line_search_backtracks,equality_count,equality_rms,equality_max,equality_worst_stage,equality_worst_index,dynamics_count,dynamics_rms,dynamics_max,dynamics_worst_stage,dynamics_worst_index,bound_count,bound_rms,bound_max,bound_worst_stage,bound_worst_index,bound_worst_kind
0,0,66.305606000,3360,9.989428962e-01,1.000000000e+00,1.990000000e+02,1.000000000e+00,1.000000000e+00,0.000000000e+00,0,1015272,4.507823244346e-02,1.000000000000e+00,24,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
1,0,114.940390200,6284.08352,9.980229380e-01,9.990200000e-01,1.988100000e+02,1.000000000e+00,1.000000000e+00,9.765600000e-04,0,1015272,4.503421167168e-02,9.990234375000e-01,21,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
2,0,162.914117100,9336.16147,9.970627109e-01,9.980500000e-01,1.986100000e+02,1.000000000e+00,1.000000000e+00,9.765600000e-04,0,1015272,4.499023610434e-02,9.980478286743e-01,22,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
3,0,209.703182500,15440.5171,9.951421938e-01,9.961000000e-01,1.982200000e+02,1.000000000e+00,1.000000000e+00,1.953100000e-03,0,1015272,4.490239923195e-02,9.960985165090e-01,10,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
4,0,255.474316700,27623.8905,9.913091313e-01,9.922100000e-01,1.974500000e+02,1.000000000e+00,1.000000000e+00,3.906200000e-03,0,1015272,4.472748558919e-02,9.922075066791e-01,6,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
5,0,301.595077400,51863.0599,9.836831441e-01,9.844600000e-01,1.959100000e+02,1.000000000e+00,1.000000000e+00,7.812500000e-03,0,1015272,4.438545905757e-02,9.844558855333e-01,21,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
6,0,347.904466700,99846.701,9.685868085e-01,9.690700000e-01,1.928500000e+02,1.000000000e+00,1.000000000e+00,1.562500000e-02,0,1015272,4.380575832823e-02,9.690737623218e-01,21,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
7,0,393.767185000,194313.588,9.388661829e-01,9.387900000e-01,1.868200000e+02,1.000000000e+00,1.000000000e+00,3.125000000e-02,0,1015272,4.414301257012e-02,9.387902072493e-01,21,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
8,0,446.744650000,217211.427,9.316621972e-01,9.314600000e-01,1.853600000e+02,1.000000000e+00,1.000000000e+00,7.812500000e-03,2,1015272,4.395716453452e-02,9.314559087552e-01,21,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
9,0,499.615375000,239939.824,9.245115204e-01,9.241800000e-01,1.839100000e+02,1.000000000e+00,1.000000000e+00,7.812500000e-03,2,1015272,4.377624067821e-02,9.241789094680e-01,21,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
10,0,553.828395600,262500.155,9.174137196e-01,9.169600000e-01,1.824700000e+02,1.000000000e+00,1.000000000e+00,7.812500000e-03,2,1015272,4.359992785164e-02,9.169587617378e-01,21,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
11,0,608.628481100,284893.758,9.103683737e-01,9.098000000e-01,1.810500000e+02,1.000000000e+00,1.000000000e+00,7.812500000e-03,2,1015272,4.342792848212e-02,9.097950214118e-01,21,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
12,0,664.839674200,307121.915,9.033750795e-01,9.026900000e-01,1.796300000e+02,1.000000000e+00,1.000000000e+00,7.812500000e-03,3,1015272,4.325995854028e-02,9.026872478070e-01,21,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
13,0,721.701803900,329185.853,8.964334510e-01,8.956400000e-01,1.782300000e+02,1.000000000e+00,1.000000000e+00,7.812500000e-03,3,1015272,4.309574671432e-02,8.956350036834e-01,21,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
14,0,777.946782400,351086.758,8.895431149e-01,8.886400000e-01,1.768400000e+02,1.000000000e+00,1.000000000e+00,7.812500000e-03,3,1015272,4.293503392675e-02,8.886378552171e-01,21,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
15,0,831.294776400,394569.159,8.758629334e-01,8.747500000e-01,1.740800000e+02,1.000000000e+00,1.000000000e+00,1.562500000e-02,2,1015272,4.300491315732e-02,8.747528887294e-01,21,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
16,0,885.658347900,437408.127,8.623851851e-01,8.610800000e-01,1.713600000e+02,1.000000000e+00,1.000000000e+00,1.562500000e-02,2,1015272,4.312092586980e-02,8.610848748430e-01,21,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
17,0,941.577231300,479612.472,8.491070982e-01,8.476300000e-01,1.686800000e+02,1.000000000e+00,1.000000000e+00,1.562500000e-02,3,1015272,4.327369668345e-02,8.476304236736e-01,21,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
18,0,997.897351100,521190.781,8.360259711e-01,8.343900000e-01,1.908600000e+02,1.000000000e+00,1.000000000e+00,1.562500000e-02,3,1015272,4.345485563731e-02,8.343861983037e-01,21,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
19,0,1054.012984900,562151.48,8.231391529e-01,8.213500000e-01,2.208000000e+02,1.000000000e+00,1.000000000e+00,1.562500000e-02,3,1015272,4.365699593111e-02,8.213489139551e-01,22,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
20,0,1111.060348700,602502.878,8.104440294e-01,8.085200000e-01,2.517800000e+02,1.000000000e+00,1.000000000e+00,1.562500000e-02,3,1015272,4.387361626374e-02,8.085153371746e-01,21,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
