iteration,barrier_iteration,elapsed_algorithm_s,objective,objective_rel_gap,primal_inf,dual_inf,complementarity_inf,barrier_mu,step_size,line_search_backtracks,equality_count,equality_rms,equality_max,equality_worst_stage,equality_worst_index,dynamics_count,dynamics_rms,dynamics_max,dynamics_worst_stage,dynamics_worst_index,bound_count,bound_rms,bound_max,bound_worst_stage,bound_worst_index,bound_worst_kind
0,0,50.870870300,3360,9.989169885e-01,1.000000000e+00,1.990000000e+02,1.000000000e+00,1.000000000e+00,0.000000000e+00,0,1015272,4.507823244346e-02,1.000000000000e+00,24,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
1,0,85.118907400,6225.56202,9.979933467e-01,9.990200000e-01,1.988100000e+02,1.000000000e+00,1.000000000e+00,9.765600000e-04,0,1015272,4.503421164977e-02,9.990234375000e-01,12,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
2,0,117.623292300,9048.48017,9.970834501e-01,9.980500000e-01,1.986100000e+02,1.000000000e+00,1.000000000e+00,9.765600000e-04,0,1015272,4.499023667739e-02,9.980478286743e-01,12,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
3,0,150.171556400,14618.6639,9.952880415e-01,9.961000000e-01,1.982200000e+02,1.000000000e+00,1.000000000e+00,1.953100000e-03,0,1015272,4.490241777473e-02,9.960985165090e-01,9,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
4,0,182.625424100,25967.481,9.916300359e-01,9.922100000e-01,1.974500000e+02,1.000000000e+00,1.000000000e+00,3.906200000e-03,0,1015272,4.472767285615e-02,9.922075066789e-01,2,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
5,0,215.864588500,37661.106,9.878608901e-01,9.883300000e-01,1.966800000e+02,1.000000000e+00,1.000000000e+00,3.906200000e-03,0,1015272,4.455408041489e-02,9.883316961062e-01,4,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
6,0,248.534586400,61112.6936,9.803018609e-01,9.806100000e-01,1.951400000e+02,1.000000000e+00,1.000000000e+00,7.812500000e-03,0,1015272,4.421571449607e-02,9.806103547308e-01,9,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
7,0,281.145693800,107399.308,9.653825354e-01,9.652900000e-01,1.920900000e+02,1.000000000e+00,1.000000000e+00,1.562500000e-02,0,1015272,4.364755541448e-02,9.652883179382e-01,9,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
8,0,312.984904100,197749.051,9.362605692e-01,9.351200000e-01,1.860900000e+02,1.000000000e+00,1.000000000e+00,3.125000000e-02,0,1015272,4.406585513587e-02,9.351230580026e-01,9,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
9,0,352.411511200,219728.263,9.291761232e-01,9.278200000e-01,1.846400000e+02,1.000000000e+00,1.000000000e+00,7.812500000e-03,2,1015272,4.388615522137e-02,9.278174091120e-01,9,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
10,0,395.103992400,241543.142,9.221446459e-01,9.205700000e-01,1.831900000e+02,1.000000000e+00,1.000000000e+00,7.812500000e-03,3,1015272,4.371142360047e-02,9.205688356033e-01,9,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
11,0,438.365582500,263199.468,9.151642741e-01,9.133800000e-01,1.817600000e+02,1.000000000e+00,1.000000000e+00,7.812500000e-03,3,1015272,4.354130336024e-02,9.133768915751e-01,9,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
12,0,481.537070600,284700.935,9.082338173e-01,9.062400000e-01,1.803400000e+02,1.000000000e+00,1.000000000e+00,7.812500000e-03,3,1015272,4.337546753042e-02,9.062411346097e-01,9,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
13,0,524.212724100,306050.22,9.013524124e-01,8.991600000e-01,1.789300000e+02,1.000000000e+00,1.000000000e+00,7.812500000e-03,3,1015272,4.321361038547e-02,8.991611257455e-01,9,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
14,0,567.699630100,327249.436,8.945193786e-01,8.921400000e-01,1.775400000e+02,1.000000000e+00,1.000000000e+00,7.812500000e-03,3,1015272,4.305544370131e-02,8.921364294506e-01,9,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
15,0,614.243015600,348300.346,8.877341474e-01,8.851700000e-01,1.761500000e+02,1.000000000e+00,1.000000000e+00,7.812500000e-03,4,1015272,4.290069481447e-02,8.851666135955e-01,9,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
16,0,657.377580600,390112.74,8.742569743e-01,8.713400000e-01,1.734000000e+02,1.000000000e+00,1.000000000e+00,1.562500000e-02,3,1015272,4.299401079496e-02,8.713358852581e-01,9,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
17,0,700.159575900,431343.376,8.609673162e-01,8.577200000e-01,1.706900000e+02,1.000000000e+00,1.000000000e+00,1.562500000e-02,3,1015272,4.313310481889e-02,8.577212620510e-01,9,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
18,0,743.166673100,472001.821,8.478620895e-01,8.443200000e-01,1.952300000e+02,1.000000000e+00,1.000000000e+00,1.562500000e-02,3,1015272,4.330831239893e-02,8.443193673315e-01,9,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
19,0,786.961379000,512096.435,8.349385996e-01,8.311300000e-01,2.277800000e+02,1.000000000e+00,1.000000000e+00,1.562500000e-02,3,1015272,4.351106002704e-02,8.311268772169e-01,9,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
20,0,829.785009100,551634.771,8.221944118e-01,8.181400000e-01,2.614800000e+02,1.000000000e+00,1.000000000e+00,1.562500000e-02,3,1015272,4.373381115667e-02,8.181405197604e-01,9,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
21,0,872.607121300,590623.801,8.096272790e-01,8.053600000e-01,2.961100000e+02,1.000000000e+00,1.000000000e+00,1.562500000e-02,3,1015272,4.396999636790e-02,8.053570741390e-01,9,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
22,0,918.635988100,629070.053,7.972350971e-01,7.927700000e-01,3.314500000e+02,1.000000000e+00,1.000000000e+00,1.562500000e-02,4,1015272,4.421393434191e-02,7.927733698558e-01,9,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
23,0,965.290201700,666979.708,7.850158737e-01,7.803900000e-01,3.673100000e+02,1.000000000e+00,1.000000000e+00,1.562500000e-02,4,1015272,4.446074893409e-02,7.803862859517e-01,9,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
24,0,1011.840830100,704358.67,7.729677058e-01,7.681900000e-01,4.035200000e+02,1.000000000e+00,1.000000000e+00,1.562500000e-02,4,1015272,4.470628631752e-02,7.681927502337e-01,9,1,23460,0.000000000000e+00,0.000000000000e+00,0,0,1137768,0.000000000000e+00,0.000000000000e+00,0,0,none
