time,other_cores,our_cores
2026-09-25T23:08:30,0.304,1.090
2026-09-25T23:08:47,0.324,1.089
2026-09-25T23:09:03,0.358,1.080
2026-09-25T23:09:20,0.350,1.080
2026-09-25T23:09:36,0.320,1.073
2026-09-25T23:09:52,0.327,1.072
2026-09-25T23:10:09,0.332,1.078
2026-09-25T23:10:25,0.458,1.070
2026-09-25T23:10:42,0.379,1.076
2026-09-25T23:10:58,0.423,1.069
2026-09-25T23:11:15,0.361,1.091
2026-09-25T23:11:31,0.370,1.084
2026-09-25T23:11:47,0.370,1.087
2026-09-25T23:12:04,0.339,1.092
2026-09-25T23:12:20,0.335,1.076
2026-09-25T23:12:37,0.304,1.076
2026-09-25T23:12:53,0.338,1.075
2026-09-25T23:13:10,0.309,1.078
2026-09-25T23:13:26,0.352,1.073
2026-09-25T23:13:43,0.364,1.084
2026-09-25T23:13:59,0.311,1.076
2026-09-25T23:14:16,0.331,1.078
2026-09-25T23:14:32,0.368,1.068
2026-09-25T23:14:49,0.389,1.079
2026-09-25T23:15:05,0.326,1.079
2026-09-25T23:15:21,0.345,1.079
2026-09-25T23:15:38,0.314,1.081
2026-09-25T23:15:54,0.389,1.074
2026-09-25T23:16:11,0.304,1.077
2026-09-25T23:16:28,0.389,1.072
2026-09-25T23:16:44,0.356,1.083
2026-09-25T23:17:00,0.302,1.079
2026-09-25T23:17:17,0.403,1.070
2026-09-25T23:17:33,0.361,1.079
2026-09-25T23:17:50,0.359,0.085
