iteration,barrier_iteration,elapsed_algorithm_s,objective,objective_rel_gap,primal_inf,dual_inf,complementarity_inf,barrier_mu,step_size,line_search_backtracks,equality_count,equality_rms,equality_max,equality_worst_stage,equality_worst_index,dynamics_count,dynamics_rms,dynamics_max,dynamics_worst_stage,dynamics_worst_index,bound_count,bound_rms,bound_max,bound_worst_stage,bound_worst_index,bound_worst_kind
0,0,15.828103700,3360,1.489253515e-01,1.000000000e+00,1.990000000e+02,1.000000000e+00,1.000000000e+00,0.000000000e+00,0,13488,4.302128009428e-02,1.000000000000e+00,24,1,1173,0.000000000000e+00,0.000000000000e+00,0,0,19608,0.000000000000e+00,0.000000000000e+00,0,0,none
1,0,17.072833400,3692.39618,2.625855890e-01,8.750000000e-01,1.741200000e+02,1.000000000e+00,1.000000000e+00,1.250000000e-01,0,13488,3.890818911357e-02,8.750000000000e-01,13,1,1173,0.000000000000e+00,0.000000000000e+00,0,0,19608,0.000000000000e+00,0.000000000000e+00,0,0,none
2,0,17.248850300,3996.85689,3.666935141e-01,7.656300000e-01,1.523600000e+02,9.999800000e-01,1.000000000e+00,1.250000000e-01,0,13488,3.585143502390e-02,7.656250000000e-01,11,1,1173,0.000000000000e+00,0.000000000000e+00,0,0,19608,0.000000000000e+00,0.000000000000e+00,0,0,none
3,0,17.446453900,4819.49344,6.479875579e-01,7.694500000e-01,7.618000000e+01,1.413800000e+00,1.000000000e+00,5.000000000e-01,0,13488,6.387512255705e-02,7.694539624625e-01,18,385,1173,0.000000000000e+00,0.000000000000e+00,0,0,19608,0.000000000000e+00,0.000000000000e+00,0,0,none
4,0,17.996593700,4871.37183,6.657269620e-01,5.908600000e-01,5.713500000e+01,9.996900000e-01,1.000000000e+00,2.500000000e-01,0,13488,4.871716314035e-02,5.908600230223e-01,18,385,1173,0.000000000000e+00,0.000000000000e+00,0,0,19608,0.000000000000e+00,0.000000000000e+00,0,0,none
5,0,18.140317500,4987.43679,7.054144545e-01,3.384900000e-01,2.856700000e+01,9.997100000e-01,1.000000000e+00,5.000000000e-01,0,13488,2.683481703724e-02,3.384897118005e-01,18,385,1173,0.000000000000e+00,0.000000000000e+00,0,0,19608,0.000000000000e+00,0.000000000000e+00,0,0,none
6,0,18.299535900,5059.14358,7.299340226e-01,1.811400000e-01,1.428400000e+01,9.998200000e-01,1.000000000e+00,5.000000000e-01,0,13488,1.390331275234e-02,1.811383416989e-01,18,385,1173,0.000000000000e+00,0.000000000000e+00,0,0,19608,0.000000000000e+00,0.000000000000e+00,0,0,none
7,1,18.560100800,5097.25798,7.429669394e-01,9.323100000e-02,7.141800000e+00,9.999000000e-01,1.995262315e-01,5.000000000e-01,0,13488,6.894531318056e-03,9.323059863243e-02,18,385,1173,0.000000000000e+00,0.000000000000e+00,0,0,19608,0.000000000000e+00,0.000000000000e+00,0,0,none
8,1,18.690180000,4867.28509,6.643295336e-01,5.010400000e-02,3.570900000e+00,6.256200000e-01,1.995262315e-01,5.000000000e-01,0,13488,3.981737030793e-03,5.010446282669e-02,18,385,1173,0.000000000000e+00,0.000000000000e+00,0,0,19608,0.000000000000e+00,0.000000000000e+00,0,0,none
9,2,18.941384000,4609.44964,5.761647464e-01,5.182800000e-02,1.785500000e+00,4.292500000e-01,3.981071706e-02,5.000000000e-01,0,13488,4.924482267155e-03,5.182817347258e-02,8,411,1173,0.000000000000e+00,0.000000000000e+00,0,0,19608,0.000000000000e+00,0.000000000000e+00,0,0,none
10,2,19.076798100,4218.63432,4.425285473e-01,4.983900000e-02,1.058100000e+00,2.546000000e-01,3.981071706e-02,5.000000000e-01,0,13488,5.461825969033e-03,4.983938760694e-02,24,385,1173,0.000000000000e+00,0.000000000000e+00,0,0,19608,0.000000000000e+00,0.000000000000e+00,0,0,none
11,2,19.214932400,3810.46394,3.029579231e-01,9.265600000e-02,9.984300000e-01,1.555300000e-01,3.981071706e-02,5.000000000e-01,0,13488,8.878076980874e-03,9.265554884344e-02,10,509,1173,0.000000000000e+00,0.000000000000e+00,0,0,19608,0.000000000000e+00,0.000000000000e+00,0,0,none
12,2,19.361212800,3515.19066,2.019915669e-01,1.637500000e-01,7.690300000e-01,1.031100000e-01,3.981071706e-02,5.000000000e-01,0,13488,1.378276045891e-02,1.637451211448e-01,13,509,1173,0.000000000000e+00,0.000000000000e+00,0,0,19608,0.000000000000e+00,0.000000000000e+00,0,0,none
13,2,19.504579300,3350.88518,1.458086111e-01,2.317100000e-01,5.301100000e-01,7.390100000e-02,3.981071706e-02,5.000000000e-01,0,13488,1.849645402929e-02,2.317131875119e-01,15,509,1173,0.000000000000e+00,0.000000000000e+00,0,0,19608,0.000000000000e+00,0.000000000000e+00,0,0,none
14,3,20.281440300,3267.30398,1.172286827e-01,2.876800000e-01,3.432900000e-01,5.785400000e-02,7.943282347e-03,5.000000000e-01,0,13488,2.205932531544e-02,2.876833129475e-01,24,509,1173,0.000000000000e+00,0.000000000000e+00,0,0,19608,0.000000000000e+00,0.000000000000e+00,0,0,none
