system,T,gamma,ipopt_status,ipopt_iterations,ipopt_solve_s,ipopt_objective,filterddp_near_status,filterddp_primal_threshold,filterddp_near_iteration,filterddp_near_s,filterddp_near_objective,factor_backed,near_obj_rel_gap,near_over_ipopt,oldfamily_ipopt_s,oldfamily_iterations,ipopt_background_cores,filterddp_background_cores
ieee123C_1ph,3,1.750000e+04,LOCALLY_SOLVED,36,0.195,2743.84643767,NEAR_OPT,1.0e-06,52,18.864,2743.84666,1,8.103e-08,96.7385,0.280,34,0.196,0.579
ieee123C_1ph,6,1.750000e+04,LOCALLY_SOLVED,37,0.377,3143.1159065,NEAR_OPT,1.0e-06,67,20.954,3143.11634,1,1.379e-07,55.5809,0.640,44,0.573,0.609
ieee123C_1ph,12,1.750000e+04,LOCALLY_SOLVED,40,0.595,2892.57925267,NEAR_OPT,1.0e-06,80,24.992,2892.57984,1,2.030e-07,42.0034,0.811,41,0.490,0.348
ieee123C_1ph,24,1.750000e+04,LOCALLY_SOLVED,38,1.341,2924.47198206,NEAR_OPT,1.0e-06,85,32.217,2924.47274,1,2.592e-07,24.0246,3.035,42,0.238,0.300
ieee123C_1ph,48,1.750000e+04,LOCALLY_SOLVED,61,5.371,2944.95751365,NEAR_OPT,1.0e-06,105,53.321,2944.95858,1,3.621e-07,9.9276,6.141,43,0.236,0.580
ieee123C_1ph,96,1.750000e+04,LOCALLY_SOLVED,97,22.550,2956.06137446,NEAR_OPT,1.0e-06,120,97.715,2956.06274,1,4.619e-07,4.3333,12.242,46,0.342,0.508
ieee2522C_1ph,3,3.290000e+04,LOCALLY_SOLVED,39,2.941,8395.34285098,NEAR_OPT,1.0e-06,58,96.414,8395.34759,1,5.645e-07,32.7827,5.527,52,0.370,0.521
ieee2522C_1ph,6,3.290000e+04,LOCALLY_SOLVED,46,7.047,9523.24719589,NEAR_OPT,1.0e-06,72,169.256,9523.25689,1,1.018e-06,24.0182,15.037,68,0.242,0.365
ieee2522C_1ph,12,3.290000e+04,LOCALLY_SOLVED,55,18.051,8791.98063026,NEAR_OPT,1.0e-06,79,322.359,8791.98857,1,9.031e-07,17.8582,31.083,70,0.232,0.350
ieee2522C_1ph,24,3.290000e+04,LOCALLY_SOLVED,61,41.153,8877.39227723,NEAR_OPT,1.0e-06,87,646.846,8877.4116,1,2.177e-06,15.7181,66.572,74,0.241,0.376
ieee2522C_1ph,48,3.290000e+04,LOCALLY_SOLVED,72,99.798,8934.08724582,NEAR_OPT,1.0e-06,96,1344.661,8934.11583,1,3.199e-06,13.4738,137.531,78,0.221,0.380
ieee2522C_1ph,96,3.290000e+04,LOCALLY_SOLVED,78,214.231,8965.06008756,,NaN,-1,NaN,NaN,0,NaN,NaN,304.973,83,0.314,0.276
ieee2522C_1ph,144,3.290000e+04,LOCALLY_SOLVED,79,334.305,8975.7462741,,NaN,-1,NaN,NaN,0,NaN,NaN,483.091,88,0.289,NaN
ieee2522C_1ph,192,3.290000e+04,LOCALLY_SOLVED,80,452.902,8981.15444462,,NaN,-1,NaN,NaN,0,NaN,NaN,NaN,-1,0.260,NaN
ieee2522C_1ph,288,3.290000e+04,LOCALLY_SOLVED,83,720.520,8986.60665946,,NaN,-1,NaN,NaN,0,NaN,NaN,NaN,-1,0.271,NaN
large10kC_1ph,3,4.200000e+02,LOCALLY_SOLVED,41,18.621,3178517.60476,,NaN,-1,NaN,NaN,0,NaN,NaN,55.762,110,0.265,NaN
large10kC_1ph,6,4.200000e+02,LOCALLY_SOLVED,51,48.388,3178495.91244,,NaN,-1,NaN,NaN,0,NaN,NaN,104.760,99,0.329,NaN
large10kC_1ph,12,4.200000e+02,LOCALLY_SOLVED,49,94.477,3178495.91294,,NaN,-1,NaN,NaN,0,NaN,NaN,209.086,88,0.216,NaN
large10kC_1ph,24,4.200000e+02,LOCALLY_SOLVED,55,246.892,3178495.91464,NEAR_OPT,1.0e-04,96,8310.130,3178547.19,1,1.613e-05,33.6590,572.724,112,0.252,0.309
large10kC_1ph,48,4.200000e+02,LOCALLY_SOLVED,66,556.416,3178495.91803,NEAR_OPT,1.0e-04,81,15343.218,3178582.27,1,2.717e-05,27.5751,8261.854,698,0.280,0.285
