mode,system,T,reference_objective,reference_time_s,full_run_wall_s,full_run_finished,P,near_opt_iteration,near_opt_time_s,near_opt_objective,near_opt_rel_gap,ratio_to_reference
race,ieee123C_1ph,3,2743.84643767,0.195,19.429,1,1e-04,44,18.923,2743.85871,4.473e-06,97.0390
race,ieee123C_1ph,3,2743.84643767,0.195,19.429,1,1e-05,48,19.070,2743.84817,6.314e-07,97.7943
race,ieee123C_1ph,3,2743.84643767,0.195,19.429,1,1e-06,52,19.171,2743.84666,8.103e-08,98.3126
race,ieee123C_1ph,6,3143.1159065,0.377,22.645,1,1e-04,51,21.132,3143.13283,5.384e-06,56.0540
race,ieee123C_1ph,6,3143.1159065,0.377,22.645,1,1e-05,59,21.694,3143.11888,9.460e-07,57.5446
race,ieee123C_1ph,6,3143.1159065,0.377,22.645,1,1e-06,67,22.126,3143.11634,1.379e-07,58.6894
race,ieee123C_1ph,12,2892.57925267,0.595,27.304,1,1e-04,62,24.349,2892.61206,1.134e-05,40.9235
race,ieee123C_1ph,12,2892.57925267,0.595,27.304,1,1e-05,72,25.307,2892.58332,1.406e-06,42.5334
race,ieee123C_1ph,12,2892.57925267,0.595,27.304,1,1e-06,80,26.092,2892.57984,2.030e-07,43.8528
race,ieee123C_1ph,24,2924.47198206,1.341,36.265,1,1e-04,64,30.853,2924.52839,1.929e-05,23.0071
race,ieee123C_1ph,24,2924.47198206,1.341,36.265,1,1e-05,76,32.995,2924.47829,2.157e-06,24.6050
race,ieee123C_1ph,24,2924.47198206,1.341,36.265,1,1e-06,85,34.783,2924.47274,2.592e-07,25.9384
race,ieee123C_1ph,48,2944.95751365,5.371,61.751,1,1e-04,80,49.025,2945.06095,3.512e-05,9.1278
race,ieee123C_1ph,48,2944.95751365,5.371,61.751,1,1e-05,94,54.323,2944.96836,3.683e-06,10.1141
race,ieee123C_1ph,48,2944.95751365,5.371,61.751,1,1e-06,105,58.309,2944.95858,3.621e-07,10.8563
race,ieee123C_1ph,96,2956.06137446,22.550,112.417,1,1e-04,89,83.929,2956.26674,6.947e-05,3.7219
race,ieee123C_1ph,96,2956.06137446,22.550,112.417,1,1e-05,107,96.637,2956.08084,6.585e-06,4.2855
race,ieee123C_1ph,96,2956.06137446,22.550,112.417,1,1e-06,120,105.390,2956.06274,4.619e-07,4.6736
race,ieee2522C_1ph,3,8395.34285098,2.941,113.153,1,1e-04,51,89.335,8395.72428,4.543e-05,30.3759
race,ieee2522C_1ph,3,8395.34285098,2.941,113.153,1,1e-05,55,94.804,8395.37388,3.696e-06,32.2353
race,ieee2522C_1ph,3,8395.34285098,2.941,113.153,1,1e-06,58,99.499,8395.34759,5.645e-07,33.8316
race,ieee2522C_1ph,6,9523.24719589,7.047,233.579,1,1e-04,65,175.063,9524.0948,8.900e-05,24.8422
race,ieee2522C_1ph,6,9523.24719589,7.047,233.579,1,1e-05,69,185.802,9523.31511,7.131e-06,26.3661
race,ieee2522C_1ph,6,9523.24719589,7.047,233.579,1,1e-06,72,194.189,9523.25689,1.018e-06,27.5563
race,ieee2522C_1ph,12,8791.98063026,18.051,406.011,1,1e-04,65,308.264,8792.92253,1.071e-04,17.0774
race,ieee2522C_1ph,12,8791.98063026,18.051,406.011,1,1e-05,73,345.873,8792.07707,1.097e-05,19.1609
race,ieee2522C_1ph,12,8791.98063026,18.051,406.011,1,1e-06,79,369.891,8791.98857,9.031e-07,20.4914
race,ieee2522C_1ph,24,8877.39227723,41.153,822.583,1,1e-04,73,641.238,8878.74812,1.527e-04,15.5818
race,ieee2522C_1ph,24,8877.39227723,41.153,822.583,1,1e-05,79,687.745,8877.5561,1.845e-05,16.7119
race,ieee2522C_1ph,24,8877.39227723,41.153,822.583,1,1e-06,87,755.189,8877.4116,2.177e-06,18.3508
race,ieee2522C_1ph,48,8934.08724582,99.798,1700.601,1,1e-04,75,1240.073,8936.40354,2.593e-04,12.4258
race,ieee2522C_1ph,48,8934.08724582,99.798,1700.601,1,1e-05,87,1426.186,8934.36682,3.129e-05,14.2907
race,ieee2522C_1ph,48,8934.08724582,99.798,1700.601,1,1e-06,96,1570.692,8934.11583,3.199e-06,15.7387
race,ieee2522C_1ph,96,8965.06008756,214.231,3631.783,1,1e-04,78,2573.482,8969.24727,4.671e-04,12.0127
race,ieee2522C_1ph,96,8965.06008756,214.231,3631.783,1,1e-05,94,3079.899,8965.49323,4.831e-05,14.3765
race,ieee2522C_1ph,96,8965.06008756,214.231,3631.783,1,1e-06,104,3372.727,8965.09369,3.748e-06,15.7434
race,large10kC_1ph,48,3178495.91803,556.416,23414.017,0,1e-04,81,15343.218,3178582.27,2.717e-05,27.5751
race,large10kC_1ph,48,3178495.91803,556.416,23414.017,0,1e-05,94,17710.859,3178514.26,5.771e-06,31.8302
race,large10kC_1ph,48,3178495.91803,556.416,23414.017,0,1e-06,109,20499.506,3178500.67,1.495e-06,36.8420
