"iteration","objective","primal_inf","dual_inf","complementarity_inf","log10_barrier","log10_regularization","step_size","line_search_backtracks"
"0","3360","1","397.78","1","0",,"0","0"
"1","3472.81119","0.98438","391.56","1","0",,"0.015625","0"
"2","4150.44735","0.95361","379.33","1","0",,"0.03125","0"
"3","4686.71898","0.92381","367.47","1","0",,"0.03125","0"
"4","5098.98982","0.89494","355.99","1","0",,"0.03125","0"
"5","5894.19482","0.83901","333.74","1","0",,"0.0625","0"
"6","6596.95427","0.78657","312.88","1","0",,"0.0625","0"
"7","7806.51532","0.68825","186.41","1","0",,"0.125","0"
"8","9458.08254","0.98717","71.521","1","0",,"0.25","0"
"9","10103.5912","0.87733","32.659","1","0",,"0.25","0"
"10","10926.5003","0.66006","8.9947","1","-0.7",,"0.5","0"
"11","11107.0279","0.34504","5.6908","0.6","-0.7",,"0.5","0"
"12","11164.0752","0.17444","3.5516","0.40115","-0.7",,"0.5","0"
"13","11170.7859","0.087283","2.1042","0.30451","-0.7",,"0.5","0"
"14","11164.1222","0.043634","1.1731","0.25384","-1.4",,"0.5","0"
"15","11055.7367","0.026631","1.0117","0.15658","-1.4",,"0.5","0"
"16","10905.5617","0.023322","0.79723","0.10343","-1.4",,"0.5","0"
"17","10726.9123","0.027482","0.55119","0.073794","-1.4",,"0.5","0"
"18","10549.9811","0.031362","0.30077","0.057638","-2.1",,"0.5","0"
"19","10367.2058","0.045136","0.22558","0.045769","-2.1",,"0.25","0"
"20","10160.9718","0.071283","0.16919","0.036681","-2.1",,"0.25","0"
"21","10052.1846","0.078992","0.14804","0.033156","-2.1",,"0.125","0"
"22","9839.95464","0.12864","0.11103","0.027058","-2.1",,"0.25","0"
"23","9651.26349","0.14647","0.083271","0.02241","-2.1",,"0.25","0"
"24","9496.97267","0.13024","0.062453","0.018879","-2.1",,"0.25","0"
"25","9252.5202","0.089894","0.031227","0.013824","-2.1",,"0.5","0"
"26","9114.592","0.047471","0.015613","0.011063","-2.8",,"0.5","0"
"27","9084.25813","0.044672","0.014637","0.010479","-2.8",,"0.0625","0"
"28","9055.6234","0.042027","0.013723","0.0099312","-2.8",,"0.0625","0"
"29","9001.58136","0.03926","0.012007","0.0089149","-2.8",,"0.125","0"
"30","8905.84284","0.038378","0.0090055","0.0071706","-2.8",,"0.25","0"
"31","8832.57123","0.031709","0.0067541","0.0058376","-2.8",,"0.25","0"
"32","8776.76642","0.024872","0.0050656","0.0048225","-2.8",,"0.25","0"
"33","8691.99238","0.02043","0.0039491","0.0033448","-2.8",,"0.5","0"
"34","8648.71911","0.016077","0.0024775","0.0025269","-2.8",,"0.5","0"
"35","8626.99878","0.00973","0.0014534","0.0020829","-3.49",,"0.5","0"
"36","8602.77692","0.009075","0.0015035","0.0016636","-3.49",,"0.25","0"
"37","8584.59074","0.0078585","0.0014869","0.0013426","-3.49",,"0.25","0"
"38","8570.95677","0.0064912","0.0014361","0.0010981","-3.49",,"0.25","0"
"39","8560.73723","0.0052005","0.0013092","0.00091144","-3.49",,"0.25","0"
"40","8553.08223","0.0040848","0.0011408","0.00076955","-3.49",,"0.25","0"
"41","8541.62861","0.0025507","0.0010269","0.00056098","-4.19",,"0.5","0"
"42","8535.05542","0.0023813","0.00095633","0.00044347","-4.19",,"0.25","0"
"43","8530.15931","0.0021325","0.00083873","0.0003535","-4.19",,"0.25","0"
"44","8526.51625","0.001845","0.00073283","0.00028464","-4.19",,"0.25","0"
"45","8523.80586","0.001552","0.00060621","0.00023204","-4.19",,"0.25","0"
"46","8521.78834","0.001276","0.0004849","0.00019192","-4.19",,"0.25","0"
"47","8520.28688","0.0010295","0.00045985","0.00016125","-4.19",,"0.25","0"
"48","8519.16929","0.00081809","0.00044962","0.00013783","-4.19",,"0.25","0"
"49","8517.50439","0.00052307","0.00054599","0.00010329","-5.03",,"0.5","0"
"50","8516.91964","0.00047139","0.00052813","9.1844E-05","-5.03",,"0.125","0"
"51","8516.41042","0.00042359","0.00050776","8.1794E-05","-5.03",,"0.125","0"
"52","8515.96694","0.00037965","0.00048477","7.298E-05","-5.03",,"0.125","0"
"53","8515.19423","0.00031376","0.00050421","5.7923E-05","-5.03",,"0.25","0"
"54","8514.62004","0.0002534","0.00047734","4.6399E-05","-5.03",,"0.25","0"
"55","8514.19347","0.00020102","0.00042297","3.7576E-05","-5.03",,"0.25","0"
"56","8513.87686","0.00015713","0.00035757","3.082E-05","-5.03",,"0.25","0"
"57","8513.64182","0.00012125","0.00029235","2.5648E-05","-5.03",,"0.25","0"
"58","8513.29267","6.6644E-05","0.00020288","1.8048E-05","-5.03",,"0.5","0"
"59","8513.12245","3.3335E-05","0.00012544","1.3905E-05","-5.03",,"0.5","0"
"60","8513.03898","1.6669E-05","8.8042E-05","1.1678E-05","-6.04",,"0.5","0"
"61","8512.91179","1.2528E-05","0.00010708","9.1401E-06","-6.04",,"0.25","0"
"62","8512.81789","9.4017E-06","0.00011646","7.1957E-06","-6.04",,"0.25","0"
"63","8512.7486","7.0533E-06","0.00011785","5.7056E-06","-6.04",,"0.25","0"
"64","8512.69752","5.2909E-06","0.00011305","4.5684E-06","-6.04",,"0.25","0"
"65","8512.62221","2.6471E-06","0.00013303","2.9213E-06","-6.04",,"0.5","0"
"66","8512.58642","1.3897E-06","0.00010538","2.0032E-06","-6.04",,"0.5","0"
"67","8512.56935","7.3783E-07","6.8605E-05","1.4946E-06","-6.04",,"0.5","0"
"68","8512.56114","3.8223E-07","2.9503E-05","1.2175E-06","-6.04",,"0.5","0"
"69","8512.55713","1.9478E-07","1.0521E-05","6.0751E-07","-6.04",,"0.5","0"
"70","8512.55516","9.8351E-08","3.2278E-06","2.9973E-07","-7.25",,"0.5","0"
"71","8512.53557","9.5883E-08","1.0067E-05","1.6538E-07","-7.25",,"0.5","0"
"72","8512.52643","1.159E-07","8.6486E-06","8.9275E-08","-7.25",,"0.5","0"
"73","8512.52215","1.191E-07","5.5153E-06","4.6598E-08","-7.25",,"0.5","0"
"74","8512.52012","9.1639E-08","3.0857E-06","2.3308E-08","-7.25",,"0.5","0"
"75","8512.51915","6.1038E-08","1.2925E-06","1.1219E-08","-7.25",,"0.5","0"
"76","8512.51867","3.9062E-08","4.4072E-07","5.3071E-09","-8",,"0.5","0"
"77","8512.51756","4.3452E-08","3.0863E-07","2.8356E-09","-8",,"0.5","0"
"78","8512.51703","3.4434E-08","1.6075E-07","1.4217E-09","-8",,"0.5","0"
"79","8512.51676","2.2901E-08","8.669E-08","6.8039E-10","-8",,"0.5","0"
