"iteration","objective","primal_inf","dual_inf","complementarity_inf","log10_barrier","log10_regularization","step_size","line_search_backtracks"
"0","3360","1","98.983","1","0",,"0","0"
"1","3531.3348","0.98438","97.437","1","0",,"0.015625","0"
"2","4145.93088","0.95361","94.392","1","0",,"0.03125","0"
"3","4647.72361","0.92381","91.442","1","0",,"0.03125","0"
"4","5113.0305","0.89494","88.584","1","0",,"0.03125","0"
"5","5977.53488","0.83901","83.048","1","0",,"0.0625","0"
"6","7464.60247","0.73413","64.868","1","0",,"0.125","0"
"7","8489.51883","0.69301","35.938","1","0",,"0.125","0"
"8","9845.99828","0.8673","14.29","1","0",,"0.25","0"
"9","11001.0285","0.85593","3.3295","1","-0.7",,"0.5","0"
"10","11288.525","0.46473","1.9631","0.6","-1.4",,"0.5","0"
"11","11395.4175","0.23828","1.5157","0.32541","-1.4",,"0.5","0"
"12","11416.1091","0.11934","1.1928","0.18721","-1.4",,"0.5","0"
"13","11388.1828","0.059927","0.90103","0.12047","-1.4",,"0.5","0"
"14","11334.8995","0.030995","0.62332","0.083559","-1.4",,"0.5","0"
"15","11277.5487","0.016701","0.37256","0.063061","-2.1",,"0.5","0"
"16","11152.8228","0.016436","0.18628","0.038473","-2.1",,"0.5","0"
"17","10983.2291","0.024655","0.09314","0.02456","-2.1",,"0.5","0"
"18","10775.2491","0.042708","0.04657","0.016769","-2.8",,"0.5","0"
"19","10596.0208","0.063519","0.034927","0.013127","-2.8",,"0.25","0"
"20","10543.7972","0.064023","0.032745","0.012413","-2.8",,"0.0625","0"
"21","10437.3183","0.075827","0.028651","0.011082","-2.8",,"0.125","0"
"22","10328.0246","0.085804","0.02507","0.009913","-2.8",,"0.125","0"
"23","10218.4669","0.089887","0.022402","0.0088862","-2.8",,"0.125","0"
"24","10111.1631","0.0896","0.020084","0.0079849","-2.8",,"0.125","0"
"25","9905.33031","0.13145","0.016297","0.0064268","-2.8",,"0.25","0"
"26","9724.94663","0.15847","0.012618","0.0052589","-2.8",,"0.25","0"
"27","9575.8582","0.14519","0.0095699","0.0043787","-2.8",,"0.25","0"
"28","9456.8401","0.13295","0.0072055","0.0037099","-2.8",,"0.25","0"
"29","9363.87232","0.11356","0.0054113","0.0032009","-2.8",,"0.25","0"
"30","9292.25484","0.090721","0.00406","0.0028132","-2.8",,"0.25","0"
"31","9237.61064","0.07035","0.003045","0.002518","-2.8",,"0.25","0"
"32","9154.71863","0.044946","0.0015212","0.0020793","-2.8",,"0.5","0"
"33","9112.50662","0.025454","0.00075973","0.0018458","-2.8",,"0.5","0"
"34","9091.25285","0.013365","0.00037962","0.0017246","-3.49",,"0.5","0"
"35","9014.17786","0.020017","0.00052364","0.0013908","-3.49",,"0.25","0"
"36","8955.36395","0.01916","0.00062933","0.0011355","-3.49",,"0.25","0"
"37","8910.74743","0.01632","0.00063126","0.00093997","-3.49",,"0.25","0"
"38","8877.00252","0.013394","0.00057695","0.00079078","-3.49",,"0.25","0"
"39","8826.08844","0.012965","0.00058377","0.0005724","-3.49",,"0.5","0"
"40","8800.41119","0.009062","0.00047622","0.00045315","-3.49",,"0.5","0"
"41","8787.57248","0.0051852","0.0002912","0.00038902","-3.49",,"0.5","0"
