"iteration","barrier_iteration","outcome","stages","backward_s","forward_s","total_s","derivative_s","first_order_s","second_order_s","algebra_s","kkt_assembly_s","factor_s","solve_s","update_s","unclassified_backward_s","step_size","backtracks","barrier_mu"
"0","0","accepted","3","10.4806252","1.2289698","11.709595","0.3496274","0.1821117","0.1145167","1.1458920000000001","1.3634645","0.3910591","0.8094614","0.7514784","5.669642400000001","0.0078125","0","1"
"1","0","accepted","3","1.3908275","0.1499402","1.5407677","0.156221","0.10584199999999999","0.0503022","0.0519974","0.0716342","0.6307758","0.44956490000000005","0.0177492","0.012885000000000035","0.03125","0","1"
"2","0","accepted","3","1.3603775","0.1570159","1.5173934","0.14789069999999999","0.0849075","0.0628944","0.036664","0.0615592","0.3368154","0.4066264","0.3580536","0.012768200000000007","0.03125","0","1"
"3","0","accepted","3","1.2864542","0.150673","1.4371272","0.1059225","0.0592079","0.0466413","0.0461674","0.07049359999999999","0.5933516","0.4395232","0.0177299","0.013266000000000222","0.03125","0","1"
"4","0","accepted","3","1.3108352","0.0893435","1.4001787","0.10089709999999999","0.0528863","0.0479383","0.0399779","0.0763524","0.27906569999999997","0.7841597","0.0175127","0.012869700000000206","0.125","0","1"
"5","0","accepted","3","0.993281","0.1111572","1.1044382","0.09865270000000001","0.0530312","0.045555700000000005","0.039179399999999996","0.0736806","0.2887153","0.4611542","0.0192152","0.012683599999999906","0.125","0","1"
"6","0","accepted","3","1.6194707","0.0755857","1.6950564","0.103845","0.058477799999999996","0.0452981","0.094065","0.3907225","0.26828620000000003","0.7295467","0.018205","0.014800299999999877","0.25","0","1"
"7","0","accepted","3","1.0419043","0.4238083","1.4657126","0.121114","0.06980990000000001","0.0512297","0.0480137","0.058596800000000004","0.36491039999999997","0.4177522","0.0183271","0.013190099999999871","0.25","0","1"
"8","0","accepted","3","0.9803712","0.3927525","1.3731237","0.1005977","0.052587800000000004","0.0479411","0.044033699999999995","0.056810599999999996","0.32756419999999997","0.4214837","0.0166576","0.01322369999999995","0.5","0","1"
"9","0","accepted","3","0.950353","0.0743314","1.0246844","0.0903352","0.0437584","0.0465117","0.0417876","0.058398200000000004","0.3320721","0.3967359","0.0180547","0.012969299999999961","0.5","0","1"
