"iteration","barrier_iteration","outcome","stages","backward_s","forward_s","total_s","derivative_s","first_order_s","second_order_s","algebra_s","kkt_assembly_s","factor_s","solve_s","update_s","unclassified_backward_s","step_size","backtracks","barrier_mu"
"0","0","accepted","3","12.2656323","1.6005301","13.8661624","0.3107502","0.1720489","0.0959422","1.3159167","1.7493756","0.6964418","1.0415731","0.8351802","6.3163947","0.0078125","0","1"
"1","0","accepted","3","1.0443369","0.1278426","1.1721795","0.1332415","0.0594851","0.0736909","0.0366437","0.1102185","0.2885158","0.4465792","0.0179741","0.0111641","0.03125","0","1"
"2","0","accepted","3","1.4003489","0.5181107","1.9184596","0.1138004","0.0685266","0.045219","0.4083616","0.0898844","0.2768038","0.4832556","0.0167072","0.0115359000000002","0.03125","0","1"
"3","0","accepted","3","1.1299552","0.1076261","1.2375813","0.1320014","0.0813038","0.0506419","0.0287285","0.1065854","0.3182021","0.5155556","0.0173957","0.0114865","0.0625","0","1"
"4","0","accepted","3","1.6930612","0.1442752","1.8373364","0.1244914","0.07221","0.0522253","0.1049887","0.4094764","0.2890959","0.7370147","0.016469","0.0115250999999998","0.0625","0","1"
"5","0","accepted","3","1.0889457","0.1100204","1.1989661","0.1250762","0.0716477","0.0533708","0.064505","0.0849116","0.2886874","0.494688","0.0173963","0.0136812000000002","0.125","0","1"
"6","0","accepted","3","1.3815183","0.1402598","1.5217781","0.1279877","0.0759403","0.0519933","0.0355052","0.4474682","0.3097196","0.4314739","0.0180514","0.0113122999999999","0.25","0","1"
"7","0","accepted","3","1.4296607","0.1519382","1.5815989","0.1224719","0.0699108","0.0525039","0.0357782","0.427374","0.365563","0.449345","0.0175719","0.0115566999999999","0.25","0","1"
"8","0","accepted","3","1.4099881","0.0716729","1.481661","0.1348164","0.0720156","0.0627425","0.0578572","0.0911857","0.6394658","0.4577107","0.0175733","0.011379","0.5","0","1"
"9","0","accepted","3","1.4382101","0.0978928","1.5361029","0.1216505","0.0692679","0.0523293","0.0984728","0.1148656","0.287953","0.7855264","0.0179679","0.0117739000000001","0.5","0","1"
"10","0","accepted","3","1.40525","0.0516878","1.4569378","0.4185184","0.3613438","0.0570915","0.0464038","0.0963304","0.2750297","0.5385066","0.0192786","0.0111825000000001","0.5","0","1"
"11","0","barrier_update","3","1.1267462","0","1.1267462","0.1181249","0.066236","0.0518113","0.0366414","0.1370561","0.3378053","0.4685001","0.0171023","0.0115160999999999","0.5","0","1"
"11","1","accepted","3","1.5123215","0.0740483","1.5863698","0.4955419","0.4400547","0.0554214","0.0402909","0.1323075","0.3245446","0.4895163","0.0187623","0.0113580000000002","0.5","0","0.2"
