"iteration","barrier_iteration","outcome","stages","backward_s","forward_s","total_s","derivative_s","first_order_s","second_order_s","algebra_s","kkt_assembly_s","factor_s","solve_s","update_s","unclassified_backward_s","step_size","backtracks","barrier_mu"
"0","0","accepted","3","22.0707562","3.4660115","25.5367677","0.6415758","0.4094593","0.1887834","2.6428457","2.0528079","1.4572433","8.3014763","0.9971346","5.9776726","0.001953125","0","1"
"1","0","accepted","3","13.8862427","1.9611978","15.8474405","1.1218714","0.3310973","0.7905637","0.4283867","0.6605526","2.280619","8.9912327","0.2084854","0.195094899999999","0.001953125","0","1"
"2","0","accepted","3","12.8414025","1.4043682","14.2457707","1.0288589","0.2971838","0.7314898","0.4631475","0.6573379","1.6787583","8.5961829","0.2034483","0.213668699999999","0.00390625","0","1"
"3","0","accepted","3","13.1421581","1.3086563","14.4508144","1.0643489","0.2953245","0.7688364","0.918766","0.9067449","1.184432","8.6575583","0.2081543","0.202153699999997","0.00390625","0","1"
"4","0","accepted","3","12.9734332","1.3379238","14.311357","1.0315766","0.3011706","0.7302247","0.428189","0.7171915","1.8429383","8.5456749","0.2027897","0.205073199999999","0.00390625","0","1"
"5","0","accepted","3","12.4958893","1.472036","13.9679253","1.0276647","0.2979389","0.7295378","0.3944039","0.6784237","1.5295747","8.4655022","0.2067162","0.193603899999999","0.00390625","0","1"
"6","0","accepted","3","13.3100635","1.3892929","14.6993564","1.0560896","0.3033919","0.752508","0.8163672","0.6239127","1.6205248","8.7969493","0.2034339","0.192786","0.0078125","0","1"
"7","0","accepted","3","13.2853932","2.3817975","15.6671907","1.0870427","0.3348387","0.7520135","0.8751887","0.6437038","1.5950786","8.6730588","0.2008205","0.210500099999999","0.0009765625","0","1"
"8","0","accepted","3","20.8740716","1.6291329","22.5032045","1.0340202","0.3070753","0.7267526","0.8547624","0.9295461","8.5124626","9.1533134","0.2011779","0.188789","0.0078125","1","1"
"9","0","accepted","3","13.1067232","1.8127518","14.919475","1.0121223","0.2957676","0.7161678","0.4545103","1.0443732","1.767255","8.4382007","0.2011193","0.1891424","0.0078125","1","1"
"10","0","accepted","3","12.4154256","1.399973","13.8153986","1.0597435","0.342867","0.7166756","1.1396694","0.576221","1.1683969","8.0652446","0.2053825","0.2007677","0.0078125","0","1"
"11","0","accepted","3","12.6451148","1.6350999","14.2802147","1.0233716","0.2964819","0.7266997","0.8507226","0.9388739","1.1852856","8.2516541","0.20432","0.190887000000002","0.00390625","0","1"
"12","0","accepted","3","12.7550109","2.5476292","15.3026401","1.01435","0.2893279","0.7248375","0.4522685","0.7243268","1.7643391","8.4034868","0.2060849","0.1901548","0.0009765625","0","1"
"13","0","accepted","3","12.413863","2.9571666","15.3710296","1.0348297","0.2896216","0.7449967","0.3939311","0.5984166","1.6265628","8.3698736","0.1998265","0.190422699999999","0.00048828125","0","1"
"14","0","accepted","3","13.2385392","3.6617221","16.9002613","1.0250567","0.2966902","0.7281732","0.8457017","0.6255249","1.5531077","8.790436","0.1961101","0.2026021","0.000244140625","0","1"
"15","0","accepted","3","13.0503539","3.5565013","16.6068552","1.0432929","0.2978856","0.7452167","0.841917","0.6016369","1.618012","8.5518192","0.1976518","0.196024100000001","0.00048828125","0","1"
"16","0","accepted","3","21.5451902","1.8257838","23.370974","1.0284016","0.3020945","0.7261275","1.1567377","0.6136979","9.2171039","9.1370619","0.2040065","0.188180700000004","0.0078125","1","1"
"17","0","accepted","3","19.5315372","1.9051594","21.4366966","1.0884252","0.3053573","0.7828772","1.2012141","0.5923229","6.8596288","9.3854702","0.2012444","0.203231599999999","0.0078125","0","1"
"18","0","accepted","3","13.1414701","1.7440444","14.8855145","1.0679622","0.3310138","0.7367583","0.873209","0.9759001","1.5634084","8.2686273","0.20346","0.188903099999999","0.0078125","2","1"
"19","0","accepted","3","12.9402246","1.7983956","14.7386202","1.0620288","0.3003926","0.7614503","0.4495151","0.793559","1.8262805","8.4129355","0.203204","0.192701700000002","0.0078125","2","1"
"20","0","accepted","3","12.6217094","2.0761975","14.6979069","1.082389","0.325863","0.7562989","0.3728996","0.6846284","1.5616065","8.5374326","0.1892474","0.1935059","0.0078125","2","1"
"21","0","accepted","3","12.8139508","1.9920014","14.8059522","1.0584096","0.3206849","0.737543","0.8328769","0.9200691","1.2053993","8.3927816","0.2150605","0.189353799999999","0.0078125","2","1"
"22","0","accepted","3","12.7991623","1.8546764","14.6538387","1.0458104","0.3102939","0.7353311","0.8872587","0.9504824","1.1758765","8.3432026","0.2065793","0.189952400000001","0.0078125","2","1"
"23","0","accepted","3","13.0446411","1.8447818","14.8894229","1.0474537","0.2960914","0.7511758","0.8507898","0.9231639","1.1709693","8.6629545","0.2014256","0.1878843","0.0078125","2","1"
"24","0","accepted","3","12.6188033","1.9255191","14.5443224","1.0774796","0.307424","0.7698632","0.8698574","0.9040804","1.1802363","8.1926695","0.2031439","0.191336199999999","0.0078125","2","1"
"25","0","accepted","3","12.6819582","2.0333218","14.71528","1.0472504","0.3223684","0.7246441","0.8577274","0.901143","1.2355506","8.2342297","0.1974729","0.208584200000002","0.0078125","3","1"
"26","0","accepted","3","12.9854977","2.0085707","14.9940684","1.0843813","0.2987755","0.7854142","0.8348197","0.6452464","1.4760042","8.5254386","0.2045115","0.215095999999997","0.0078125","3","1"
"27","0","accepted","3","12.5962031","2.1187708","14.7149739","1.045051","0.3044793","0.7403863","0.8361692","0.6424934","1.5225368","8.1418168","0.193364","0.214771899999999","0.0078125","3","1"
"28","0","accepted","3","13.1219503","1.8980119","15.0199622","1.0710712","0.2933489","0.7775288","0.9537504","0.6268708","1.6304065","8.4421155","0.1974184","0.200317499999999","0.015625","2","1"
"29","0","accepted","3","12.7278735","1.7505966","14.4784701","1.0598026","0.3087644","0.7508486","0.8726517","0.8959863","1.1660738","8.3441019","0.1807356","0.208521599999999","0.015625","2","1"
"30","0","accepted","3","12.6010953","1.7524392","14.3535345","1.0668138","0.2963986","0.7702202","0.7919213","0.6481435","1.4813951","8.2125551","0.2045173","0.195749200000002","0.015625","2","1"
"31","0","accepted","3","12.5456713","1.8080856","14.3537569","1.0733273","0.3442595","0.728862","0.8269139","0.5779427","1.5125426","8.1656964","0.1982693","0.190979100000002","0.015625","3","1"
"32","0","accepted","3","12.75785","1.7787352","14.5365852","1.0578567","0.3199461","0.7377141","0.9266959","0.5978211","1.5409837","8.2375353","0.2019129","0.195044399999999","0.015625","3","1"
"33","0","accepted","3","12.3479772","1.8529515","14.2009287","1.0208773","0.2933249","0.7273543","0.787336","0.5726748","1.5425598","8.0349655","0.2012546","0.188309199999999","0.015625","3","1"
"34","0","accepted","3","12.5625872","2.0150759","14.5776631","1.0142659","0.3027354","0.7113435","0.8079961","0.5891574","1.5353237","8.2284783","0.1972651","0.190100700000002","0.015625","3","1"
"35","0","accepted","3","13.0162975","2.0917788","15.1080763","1.0156219","0.2931689","0.7222663","0.7904314","0.602552","1.6229536","8.5903365","0.2018486","0.192553500000001","0.015625","3","1"
"36","0","accepted","3","13.3058567","2.1760278","15.4818845","1.0570185","0.3250683","0.7317449","0.8324896","0.9458655","1.4775212","8.5941641","0.2069208","0.191876999999998","0.015625","3","1"
"37","0","accepted","3","12.8473087","2.1652427","15.0125514","1.0893881","0.3091453","0.7800503","0.7963776","0.661932","1.7148378","8.1903478","0.2088756","0.185549799999999","0.015625","3","1"
"38","0","accepted","3","12.9278839","2.076156","15.0040399","1.1185719","0.3370106","0.7813709","0.8365372","0.9124327","1.4933019","8.1723915","0.1999263","0.1947224","0.015625","4","1"
"39","0","accepted","3","12.9443578","2.6729207","15.6172785","1.06076","0.3077513","0.7528219","0.4070743","0.7223816","1.8232366","8.5420711","0.1999919","0.188842300000001","0.015625","4","1"
"40","0","accepted","3","13.4700571","2.0553384","15.5253955","1.0556546","0.304363","0.7510563","0.7353049","0.6322545","1.7526731","8.8898568","0.2026511","0.201662099999998","0.015625","4","1"
"41","0","accepted","3","12.9713155","2.0282635","14.999579","1.072286","0.3131853","0.758907","0.7989671","0.6498932","1.8040751","8.2567959","0.2005165","0.188781699999998","0.015625","4","1"
"42","0","accepted","3","13.0846352","2.2043279","15.2889631","1.0280831","0.2993087","0.7285885","0.845703","0.6781357","1.8314156","8.2993016","0.2112495","0.190746700000002","0.015625","4","1"
"43","0","accepted","3","12.9915853","2.1641294","15.1557147","1.0886393","0.3389909","0.7494565","0.7948521","0.688695","1.8689628","8.1392394","0.1983899","0.212806799999999","0.015625","4","1"
"44","0","accepted","3","12.8798332","2.1860729","15.0659061","1.026862","0.2935913","0.7330786","0.834204","0.6204322","1.7912878","8.2085728","0.2053467","0.193127700000002","0.015625","4","1"
"45","0","accepted","3","13.1074753","2.3624001","15.4698754","1.1379983","0.3153515","0.8224478","0.8198479","0.6543325","1.8426477","8.2402843","0.211962","0.200402600000002","0.015625","4","1"
"46","0","accepted","3","13.0943506","2.2650118","15.3593624","1.1027192","0.3115875","0.7909436","0.8163353","0.6169036","1.8597855","8.3021753","0.2035682","0.1928635","0.015625","4","1"
"47","0","accepted","3","13.5059866","2.4101164","15.916103","1.092987","0.3133971","0.7793939","0.8239654","0.61426","2.2280479","8.3300498","0.200003","0.216673500000001","0.015625","4","1"
"48","0","accepted","3","13.3321975","2.4889913","15.8211888","1.1115587","0.3321062","0.7792489","0.810959","0.6239803","2.1297103","8.2569194","0.2099433","0.189126499999999","0.015625","4","1"
"49","0","accepted","3","13.8167798","2.3666494","16.1834292","1.0796572","0.314994","0.7644514","0.9221301","0.6402087","2.0866172","8.6835451","0.2048349","0.199786600000001","0.015625","4","1"
"50","0","accepted","3","13.6812473","2.3313917","16.012639","1.0388248","0.297618","0.7410246","0.8736239","1.0064315","1.8762886","8.4939895","0.2009346","0.191154399999999","0.015625","5","1"
"51","0","accepted","3","13.781647","2.3116855","16.0933325","1.0561758","0.2909226","0.7650641","0.4791546","0.7680127","2.5035441","8.5808033","0.2058344","0.188122099999999","0.015625","5","1"
"52","0","accepted","3","13.4424179","2.3652926","15.8077105","1.0277532","0.2970324","0.7305289","0.4003431","0.7042451","2.1812911","8.7183406","0.2080712","0.2023736","0.015625","5","1"
"53","0","accepted","3","13.2921883","1.8559855","15.1481738","1.1259232","0.3221104","0.803514","0.8848963","0.9317003","1.7919285","8.1515567","0.199546","0.206637299999999","0.03125","4","1"
"54","0","accepted","3","13.2573225","2.023599","15.2809215","1.0405984","0.2916384","0.7487698","0.8538458","0.9486821","1.8356049","8.1784689","0.2060787","0.1940437","0.03125","4","1"
"55","0","accepted","3","13.3565811","1.8842575","15.2408386","1.0189071","0.2997997","0.7189166","0.8810811","0.9465212","1.797532","8.3243707","0.1990141","0.189154900000002","0.03125","4","1"
