map,family,radius,mean,median,p10,p90,columns
beta,P,0,0.0777354102546,0.0489189847493,0.0303960746039,0.124956366265,1020
beta,P,1,0.142318889378,0.0978338333926,0.0607921517813,0.249839721462,1020
beta,P,2,0.202611561921,0.146706869012,0.091181899159,0.374687391374,1020
beta,P,4,0.318005652197,0.244452940805,0.151905201016,0.622554584041,1020
beta,P,8,0.513320169205,0.43974798652,0.273333101748,0.992353491087,1020
beta,P,16,0.796880619463,0.828859787275,0.515889347639,0.997574888233,1020
beta,P,32,0.988877008123,0.999381849767,0.998551351253,0.999703971708,1020
beta,P,64,0.9995637977,0.999993759411,0.999976047849,0.999996007122,1020
beta,P,all,1,1,1,1,1020
beta,Q,0,0.0067095899097,0.00121855931313,1.32685938605e-13,0.0268344445046,1020
beta,Q,1,0.0217575454763,0.00376574033843,5.255082372e-13,0.079541732214,1020
beta,Q,2,0.0398193212999,0.00659867593337,9.31658492822e-13,0.161111799959,1020
beta,Q,4,0.0823636662015,0.0132729655752,2.0304772681e-12,0.340509369533,1020
beta,Q,8,0.188792988449,0.0519046948823,0.00430946608151,0.60298899062,1020
beta,Q,16,0.472205590111,0.516736727748,0.0238120474272,0.911524130957,1020
beta,Q,32,0.900713839986,0.955955923515,0.789553886075,0.975195531468,1020
beta,Q,64,0.982231045395,0.989188703092,0.957986223027,0.992672059057,1020
beta,Q,all,1,1,1,1,1020
beta,v,0,0.0355275349504,0.032882091619,0.0128451180943,0.0576353882076,1020
beta,v,1,0.10013867699,0.0953207163175,0.0359934035671,0.165353038789,1020
beta,v,2,0.159986112178,0.155544978148,0.0683690349686,0.256341598171,1020
beta,v,4,0.266069415747,0.257277604444,0.12499940258,0.403288340655,1020
beta,v,8,0.432544449541,0.42645069669,0.240887832791,0.600550957653,1020
beta,v,16,0.655292381481,0.661974936538,0.56324150743,0.759467436597,1020
beta,v,32,0.917952955612,0.924542030067,0.836486781432,0.995471530092,1020
