"iteration","objective","primal_inf","dual_inf","complementarity_inf","log10_barrier","log10_regularization","step_size","line_search_backtracks"
"0","3360","1","397.78","1","0",,"0","0"
"1","4983.05113","0.99805","397","1","0",,"0.0019531","0"
"2","6303.24624","0.99707","396.61","1","0",,"0.00097656","0"
"3","7663.42916","0.9961","396.23","1","0",,"0.00097656","0"
"4","10510.0529","0.99415","395.45","1","0",,"0.0019531","0"
"5","13535.9601","0.99221","394.68","1","0",,"0.0019531","0"
"6","16639.8963","0.99027","393.91","1","0",,"0.0019531","0"
"7","22915.4731","0.98641","392.37","1","0",,"0.0039062","0"
"8","29409.72","0.98255","390.84","1","0",,"0.0039062","0"
"9","36154.0147","0.97871","389.31","1","0",,"0.0039062","0"
"10","43270.0149","0.97489","387.79","1","0",,"0.0039062","0"
"11","50718.7865","0.97108","386.28","1","0",,"0.0039062","0"
"12","66058.331","0.9635","383.26","1","0",,"0.0078125","0"
"13","74167.7278","0.95973","381.76","1","0",,"0.0039062","0"
"14","90896.1693","0.95223","378.78","1","0",,"0.0078125","0"
"15","125862.807","0.93736","372.86","1","0",,"0.015625","0"
"16","144628.108","0.93003","369.95","1","0",,"0.0078125","0"
"17","154252.82","0.9264","368.5","1","0",,"0.0039062","0"
"18","156696.623","0.9255","368.14","1","0",,"0.00097656","0"
"19","159159.459","0.92459","367.78","1","0",,"0.00097656","0"
"20","164111.03","0.92279","367.06","1","0",,"0.0019531","0"
"21","174041.319","0.91918","365.63","1","0",,"0.0039062","0"
"22","193910.821","0.912","362.77","1","0",,"0.0078125","1"
"23","213788.421","0.90487","359.94","1","0",,"0.0078125","1"
"24","233667.026","0.89781","357.13","1","0",,"0.0078125","2"
"25","253524.96","0.89079","354.34","1","0",,"0.0078125","2"
"26","273339.332","0.88383","351.57","1","0",,"0.0078125","2"
"27","293091.8","0.87693","348.82","1","0",,"0.0078125","1"
"28","312768.491","0.87008","346.1","1","0",,"0.0078125","2"
"29","332359.018","0.86328","343.39","1","0",,"0.0078125","2"
"30","351855.635","0.85653","340.71","1","0",,"0.0078125","2"
"31","371252.552","0.84984","338.05","1","0",,"0.0078125","2"
"32","390545.439","0.8432","335.41","1","0",,"0.0078125","2"
"33","409731.127","0.83662","332.79","1","0",,"0.0078125","2"
"34","428807.558","0.83008","330.19","1","0",,"0.0078125","1"
"35","447774.211","0.82359","327.61","1","0",,"0.0078125","1"
"36","466634.211","0.81716","325.05","1","0",,"0.0078125","1"
"37","485406.028","0.81078","322.51","1","0",,"0.0078125","0"
"38","490112.364","0.80919","321.88","1","0",,"0.0019531","0"
"39","499540.987","0.80603","320.62","1","0",,"0.0039062","0"
"40","518370.63","0.79973","318.12","1","0",,"0.0078125","0"
"41","555771.51","0.78724","313.15","1","0",,"0.015625","2"
"42","592642.359","0.77494","308.25","1","0",,"0.015625","3"
"43","628985.045","0.76283","303.44","1","0",,"0.015625","3"
"44","664803.349","0.75091","298.7","1","0",,"0.015625","3"
"45","700101.529","0.73918","294.03","1","0",,"0.015625","3"
"46","734884.111","0.72763","289.43","1","0",,"0.015625","3"
"47","769155.879","0.71626","284.91","1","0",,"0.015625","3"
"48","802921.879","0.70507","280.46","1","0",,"0.015625","3"
"49","836187.406","0.69405","276.08","1","0",,"0.015625","3"
"50","868957.993","0.68321","271.76","1","0",,"0.015625","3"
"51","901239.392","0.67253","267.52","1","0",,"0.015625","3"
"52","933037.544","0.66202","263.34","1","0",,"0.015625","3"
"53","964358.559","0.65168","259.22","1","0",,"0.015625","3"
"54","995208.688","0.6415","255.17","1","0",,"0.015625","3"
"55","1025594.29","0.63147","251.19","1","0",,"0.015625","3"
"56","1055521.83","0.62161","247.26","1","0",,"0.015625","3"
"57","1084997.83","0.61189","243.4","1","0",,"0.015625","3"
"58","1114028.87","0.60233","239.59","1","0",,"0.015625","3"
"59","1142621.56","0.59292","235.85","1","0",,"0.015625","3"
"60","1170782.53","0.58366","232.17","1","0",,"0.015625","3"
"61","1198518.43","0.57454","228.54","1","0",,"0.015625","3"
"62","1225835.91","0.56556","224.97","1","0",,"0.015625","3"
"63","1252741.6","0.55672","221.45","1","0",,"0.015625","3"
"64","1279242.11","0.54802","217.99","1","0",,"0.015625","3"
"65","1305344.06","0.53946","214.59","1","0",,"0.015625","3"
"66","1356764.01","0.5226","207.88","1","0",,"0.03125","2"
"67","1406643.13","0.54707","201.38","1","0",,"0.03125","2"
"68","1455034.07","0.57344","195.09","1","0",,"0.03125","2"
"69","1501988.86","0.59656","188.99","1","0",,"0.03125","2"
"70","1547558.62","0.61667","183.09","1","0",,"0.03125","2"
"71","1591792.97","0.634","177.37","1","0",,"0.03125","2"
"72","1634739.33","0.64875","171.82","1","0",,"0.03125","2"
"73","1676442.03","0.66111","166.45","1","0",,"0.03125","2"
"74","1716941.63","0.67127","161.25","1","0",,"0.03125","2"
"75","1756274.66","0.67937","156.21","1","0",,"0.03125","2"
"76","1794473.92","0.68556","151.33","1","0",,"0.03125","2"
"77","1831569.23","0.68999","146.6","1","0",,"0.03125","2"
"78","1903607.38","0.74426","137.44","1","0",,"0.0625","2"
"79","1971439.59","0.78375","128.85","1","0",,"0.0625","2"
"80","2035277.21","0.8104","120.8","1","0",,"0.0625","2"
"81","2095331.49","0.82592","113.25","1","0",,"0.0625","2"
"82","2151813.14","0.83188","106.17","1","0",,"0.0625","2"
"83","2204928.9","0.82973","99.534","1","0",,"0.0625","2"
"84","2304828.46","0.89783","87.092","1","0",,"0.125","2"
"85","2392831.87","0.91051","78.992","1","0",,"0.125","1"
"86","2547987.29","1.2297","106.34","1","0",,"0.25","0"
"87","2666815.81","1.2895","109.17","1","0",,"0.25","0"
"88","2758761.7","1.1934","92.992","0.99999","0",,"0.25","0"
"89","2903346.14","1.11","79.304","0.99998","0",,"0.5","0"
"90","2993791.89","0.73821","53.484","0.99998","0",,"0.5","0"
"91","3061809.34","0.4755","37.046","0.99998","0",,"0.5","0"
"92","3118106.49","0.32191","26.723","0.99999","0",,"0.5","0"
"93","3162441.54","0.22227","16.299","0.99999","0",,"0.5","0"
"94","3193308.84","0.14465","6.5902","1","-0.7",,"0.5","0"
"95","3112775.84","0.2736","4.289","0.63902","-0.7",,"0.5","0"
"96","3069180.39","0.28078","2.4051","0.43787","-0.7",,"0.5","0"
"97","3046644.19","0.21858","1.092","0.32693","-1.4",,"0.5","0"
"98","3014940.81","0.28172","0.53166","0.1992","-1.4",,"0.5","0"
"99","2999378.66","0.2855","0.23987","0.12754","-2.1",,"0.5","0"
"100","2987863.93","0.37746","0.12717","0.074751","-2.1",,"0.5","0"
"101","2982372.19","0.30653","0.068775","0.045082","-2.1",,"0.5","0"
"102","2979805.21","0.19062","0.037947","0.028437","-2.1",,"0.5","0"
"103","2978620.16","0.10484","0.02564","0.019132","-2.1",,"0.5","0"
"104","2978069.95","0.05472","0.016788","0.013969","-2.8",,"0.5","0"
"105","2977144.43","0.031531","0.028893","0.0084667","-2.8",,"0.5","0"
"106","2976725.07","0.01691","0.02988","0.005381","-2.8",,"0.5","0"
"107","2976533.34","0.0087893","0.023749","0.0036566","-2.8",,"0.5","0"
"108","2976443.88","0.0044934","0.01548","0.0027006","-3.49",,"0.5","0"
"109","2976288.76","0.0024767","0.017285","0.0016414","-3.49",,"0.5","0"
"110","2976217.09","0.0013115","0.01225","0.0010469","-3.49",,"0.5","0"
"111","2976183.45","0.00067773","0.0073903","0.0007146","-3.49",,"0.5","0"
"112","2976167.38","0.00034503","0.0040797","0.00053057","-3.49",,"0.5","0"
"113","2976159.56","0.00017416","0.0021964","0.00043029","-4.19",,"0.5","0"
"114","2976136.03","9.6641E-05","0.0023682","0.00026572","-4.19",,"0.5","0"
"115","2976124.76","5.0921E-05","0.0018354","0.00017359","-4.19",,"0.5","0"
"116","2976119.3","2.6142E-05","0.0011082","0.0001225","-4.19",,"0.5","0"
"117","2976116.64","1.3245E-05","0.00060255","9.4648E-05","-5.03",,"0.5","0"
"118","2976111.39","7.2024E-06","0.00046812","5.5615E-05","-5.03",,"0.5","0"
"119","2976108.84","5.0628E-06","0.00024465","3.3982E-05","-5.03",,"0.5","0"
"120","2976107.59","3.763E-06","0.0001067","2.1711E-05","-5.03",,"0.5","0"
"121","2976106.97","2.2803E-06","4.0022E-05","1.0411E-05","-6.04",,"0.5","0"
"122","2976106.09","1.7283E-06","2.1572E-05","5.5528E-06","-6.04",,"0.5","0"
"123","2976105.65","1.0414E-06","1.0365E-05","2.909E-06","-6.04",,"0.5","0"
"124","2976105.43","6.8658E-07","4.4896E-06","1.4604E-06","-7.25",,"0.5","0"
"125","2976105.27","5.5205E-07","2.2716E-06","7.7808E-07","-7.25",,"0.5","0"
"126","2976105.18","3.5625E-07","1.1117E-06","4.0582E-07","-7.25",,"0.5","0"
"127","2976105.14","2.0273E-07","6.42E-07","2.0511E-07","-7.25",,"0.5","0"
"128","2976105.12","1.0817E-07","3.5476E-07","1.0001E-07","-8",,"0.5","0"
"129","2976105.11","5.6714E-08","5.5557E-07","5.0594E-08","-8",,"0.5","0"
"130","2976105.1","2.9037E-08","1.0333E-06","2.5238E-08","-8",,"0.5","0"
"131","2976105.1","1.4692E-08","1.4861E-06","1.211E-08","-8",,"0.5","0"
"132","2976105.09","7.3895E-09","2.1571E-06","5.6535E-09","-8",,"0.5","0"
"133","2976105.09","3.7057E-09","2.3749E-06","2.6035E-09","-8",,"0.5","0"
"134","2976105.09","2.78E-09","2.6722E-06","1.7374E-09","-8",,"0.25","0"
"135","2976105.09","2.0854E-09","2.2148E-06","1.2547E-09","-8",,"0.25","0"
"136","2976105.09","1.5642E-09","1.9252E-06","1.0522E-09","-8",,"0.25","0"
"137","2976105.09","1.1733E-09","1.6838E-06","1.0522E-09","-8",,"0.25","0"
"138","2976105.09","8.8004E-10","1.6027E-06","1.0523E-09","-8",,"0.25","0"
"139","2976105.09","6.6007E-10","1.6322E-06","1.0523E-09","-8",,"0.25","0"
"140","2976105.09","4.9507E-10","1.5619E-06","1.0524E-09","-8",,"0.25","0"
"141","2976105.09","3.7132E-10","1.3276E-06","1.0524E-09","-8",,"0.25","0"
"142","2976105.09","2.785E-10","1.4623E-06","1.0524E-09","-8",,"0.25","0"
"143","2976105.09","2.0888E-10","1.3606E-06","1.0524E-09","-8",,"0.25","0"
"144","2976105.09","1.5666E-10","1.274E-06","1.0524E-09","-8",,"0.25","0"
"145","2976105.09","1.175E-10","1.0926E-06","1.0524E-09","-8",,"0.25","0"
