"iteration","objective","primal_inf","dual_inf","complementarity_inf","log10_barrier","log10_regularization","step_size","line_search_backtracks"
"0","3360","1","98.983","1","0",,"0","0"
"1","3397.10968","0.96875","95.89","1","0",,"0.03125","0"
"2","3621.09809","0.9082","89.897","1","0",,"0.0625","0"
"3","3948.57646","0.79468","78.66","0.99999","0",,"0.125","0"
"4","4214.31772","0.69534","68.827","0.99996","0",,"0.125","0"
"5","5027.52751","0.62616","34.414","0.99953","0",,"0.5","0"
"6","5221.79982","0.38472","17.207","0.9995","0",,"0.5","0"
"7","5341.44966","0.21285","8.6034","0.99966","-0.7",,"0.5","0"
"8","5188.58249","0.10691","4.3017","0.61171","-0.7",,"0.5","0"
"9","5009.35148","0.058375","2.1509","0.41533","-0.7",,"0.5","0"
"10","4834.9251","0.035611","1.0754","0.31397","-1.4",,"0.5","0"
"11","4507.16976","0.045614","0.53771","0.1907","-1.4",,"0.5","0"
"12","4132.94422","0.05976","0.26886","0.12238","-2.1",,"0.5","0"
"13","3690.57907","0.082847","0.13443","0.071853","-2.1",,"0.5","0"
"14","3350.19296","0.081382","0.067214","0.043408","-2.1",,"0.5","0"
"15","3156.46116","0.09681","0.033607","0.027372","-2.1",,"0.5","0"
"16","3057.35629","0.14436","0.016804","0.018393","-2.1",,"0.5","0"
"17","3007.75692","0.20848","0.0084018","0.013429","-2.1",,"0.5","0"
"18","2983.15878","0.27838","0.0042009","0.010817","-2.1",,"0.5","0"
"19","2971.17402","0.33268","0.0021004","0.0094506","-2.1",,"0.5","0"
"20","2965.64718","0.35121","0.0010502","0.0087375","-2.1",,"0.5","0"
"21","2963.50166","0.32367","0.00052511","0.0083721","-2.1",,"0.5","0"
"22","2963.09013","0.25643","0.00026256","0.0081869","-2.1",,"0.5","0"
"23","2963.41947","0.17415","0.00013128","0.0080936","-2.1",,"0.5","0"
"24","2963.90475","0.10401","5.4712E-05","0.0080469","-2.1",,"0.5","0"
"25","2964.29268","0.057056","1.8459E-05","0.0049144","-2.8",,"0.5","0"
"26","2917.88387","4.3115","0.0003497","0.0027528","-2.8",,"0.5","0"
