"iteration","objective","primal_inf","dual_inf","complementarity_inf","log10_barrier","log10_regularization","step_size","line_search_backtracks"
"0","3360","1","787.25","1","0",,"0","0"
"1","4048.4927","0.99805","785.72","1","0",,"0.0019531","0"
"2","4699.77249","0.99707","784.95","1","0",,"0.00097656","0"
"3","6262.23988","0.99512","783.42","1","0",,"0.0019531","0"
"4","8149.98135","0.99318","781.89","1","0",,"0.0019531","0"
"5","10199.0275","0.99124","780.36","1","0",,"0.0019531","0"
"6","14451.3613","0.98737","777.31","1","0",,"0.0039062","0"
"7","19012.8641","0.98351","774.27","1","0",,"0.0039062","0"
"8","24049.1765","0.97967","771.25","1","0",,"0.0039062","0"
"9","34794.1544","0.97202","765.22","1","0",,"0.0078125","0"
"10","46927.1625","0.96442","759.25","1","0",,"0.0078125","1"
"11","60592.4669","0.95689","753.31","1","0",,"0.0078125","1"
"12","75574.0112","0.94941","747.43","1","0",,"0.0078125","0"
"13","83610.4405","0.9457","744.51","1","0",,"0.0039062","0"
"14","85756.4279","0.94478","743.78","1","0",,"0.00097656","0"
"15","87978.0978","0.94386","743.06","1","0",,"0.00097656","0"
"16","92512.8329","0.94201","741.6","1","0",,"0.0019531","0"
"17","101706.755","0.93833","738.71","1","0",,"0.0039062","0"
"18","120221.895","0.931","732.94","1","0",,"0.0078125","2"
"19","138762.716","0.92373","727.21","1","0",,"0.0078125","2"
"20","157259.906","0.91651","721.53","1","0",,"0.0078125","2"
"21","175739.827","0.90935","715.89","1","0",,"0.0078125","2"
"22","194217.728","0.90225","710.3","1","0",,"0.0078125","2"
"23","212695.872","0.8952","704.75","1","0",,"0.0078125","1"
"24","231180.738","0.88821","699.24","1","0",,"0.0078125","0"
"25","240467.756","0.88474","696.51","1","0",,"0.0039062","0"
"26","245172.089","0.88301","695.15","1","0",,"0.0019531","0"
"27","254651.891","0.87956","692.44","1","0",,"0.0039062","0"
"28","273694.066","0.87269","687.03","1","0",,"0.0078125","0"
"29","292657.372","0.86587","681.66","1","0",,"0.0078125","2"
"30","311519.978","0.85911","676.33","1","0",,"0.0078125","3"
"31","330273.355","0.85239","671.05","1","0",,"0.0078125","3"
