system,horizon,time_index,demand_label,pattern,hard_status,hard_feasible,adaptive_verdict,adaptive_feasible,verdict_agrees,hard_phi_usd,adaptive_phi_usd,phi_gap_usd,final_rho,rounds,settled_violation,total_inner_solves,total_time_s
ieee2522C_1ph,3,2,low,zero,LOCALLY_SOLVED,true,feasible,true,true,2226.982289,2226.982289,4.547e-13,1.0e+02,1,-4.992633e-07,1,1.339
ieee2522C_1ph,3,2,low,all_max_charge,LOCALLY_INFEASIBLE,false,infeasible,false,true,NaN,3912.626947,NaN,1.0e+03,2,1.981103e+01,2,3.305
ieee2522C_1ph,3,2,low,all_max_discharge,LOCALLY_SOLVED,true,feasible,true,true,657.485066,657.485066,1.137e-13,1.0e+02,1,-4.992633e-07,1,1.370
ieee2522C_1ph,3,2,low,deep_max_charge,LOCALLY_INFEASIBLE,false,infeasible,false,true,NaN,3102.402896,NaN,1.0e+03,2,8.769881e-01,2,4.179
ieee2522C_1ph,3,2,low,shallow_max_charge,LOCALLY_SOLVED,true,feasible,true,true,3015.082135,3015.082135,4.547e-13,1.0e+02,1,-4.992633e-07,1,1.320
ieee2522C_1ph,3,2,low,opposing_deep_chg_shallow_dis,LOCALLY_SOLVED,true,feasible,true,true,2314.201516,2314.201516,4.547e-13,1.0e+02,1,-4.992633e-07,1,1.473
ieee2522C_1ph,3,2,low,random1,LOCALLY_SOLVED,true,feasible,true,true,2330.582412,2330.582412,3.638e-12,1.0e+02,1,-4.992633e-07,1,1.549
ieee2522C_1ph,3,2,low,random2,LOCALLY_SOLVED,true,feasible,true,true,2264.510065,2264.510065,1.819e-12,1.0e+02,1,-4.992633e-07,1,1.168
ieee2522C_1ph,3,2,low,random3,LOCALLY_SOLVED,true,feasible,true,true,2262.504949,2262.504949,4.547e-12,1.0e+02,1,-4.992633e-07,1,1.477
ieee2522C_1ph,3,2,low,random4,LOCALLY_SOLVED,true,feasible,true,true,2231.125588,2231.125588,2.274e-12,1.0e+02,1,-4.992633e-07,1,1.513
ieee2522C_1ph,3,2,low,random5,LOCALLY_SOLVED,true,feasible,true,true,2213.970017,2213.970017,9.095e-13,1.0e+02,1,-4.992633e-07,1,1.360
ieee2522C_1ph,3,2,low,random6,LOCALLY_SOLVED,true,feasible,true,true,2251.228982,2251.228982,0.000e+00,1.0e+02,1,-4.992633e-07,1,1.333
ieee2522C_1ph,3,1,medium,zero,LOCALLY_SOLVED,true,feasible,true,true,3286.955234,3286.955234,5.484e-09,1.0e+02,1,-4.992620e-07,1,1.464
ieee2522C_1ph,3,1,medium,all_max_charge,LOCALLY_INFEASIBLE,false,infeasible,false,true,NaN,5054.860724,NaN,1.0e+03,2,7.807472e+00,2,3.286
ieee2522C_1ph,3,1,medium,all_max_discharge,LOCALLY_SOLVED,true,feasible,true,true,1650.422355,1650.422355,2.515e-09,1.0e+02,1,-4.992629e-07,1,1.625
ieee2522C_1ph,3,1,medium,deep_max_charge,LOCALLY_SOLVED,true,feasible,true,true,4215.234888,4215.234888,8.453e-08,1.0e+03,2,-5.038860e-07,2,3.981
ieee2522C_1ph,3,1,medium,shallow_max_charge,LOCALLY_SOLVED,true,feasible,true,true,4102.076474,4102.076474,1.145e-07,1.0e+03,2,-5.038829e-07,2,4.510
ieee2522C_1ph,3,1,medium,opposing_deep_chg_shallow_dis,LOCALLY_SOLVED,true,feasible,true,true,3400.348317,3400.348317,6.261e-08,1.0e+03,2,-5.038862e-07,2,3.192
ieee2522C_1ph,3,1,medium,random1,LOCALLY_SOLVED,true,feasible,true,true,3395.332449,3395.332449,7.199e-10,1.0e+02,1,-4.992632e-07,1,1.471
