row,col
133036,1
165019,2
197002,3
133037,4
165020,5
197003,6
7,7
133036,7
133038,7
153678,7
228985,7
8,8
133038,8
133040,8
153679,8
228986,8
9,9
133040,9
133042,9
153680,9
228987,9
10,10
133042,10
133044,10
153681,10
228988,10
11,11
133044,11
133076,11
153682,11
228989,11
12,12
133044,12
133046,12
153683,12
228990,12
13,13
133046,13
133048,13
153684,13
228991,13
14,14
133048,14
133050,14
153685,14
228992,14
15,15
133050,15
133052,15
153686,15
228993,15
16,16
133052,16
133054,16
153687,16
228994,16
17,17
133054,17
133116,17
153688,17
228995,17
18,18
133054,18
133056,18
153689,18
228996,18
19,19
133056,19
133058,19
153690,19
228997,19
20,20
133058,20
133060,20
153691,20
228998,20
21,21
133060,21
133062,21
153692,21
228999,21
22,22
133062,22
133064,22
153693,22
229000,22
23,23
133064,23
133156,23
153694,23
229001,23
24,24
133064,24
133066,24
153695,24
229002,24
25,25
133066,25
133068,25
153696,25
229003,25
26,26
133068,26
133070,26
153697,26
229004,26
27,27
133070,27
133072,27
153698,27
229005,27
28,28
133072,28
133074,28
153699,28
229006,28
29,29
133074,29
133196,29
153700,29
229007,29
30,30
133076,30
133078,30
153701,30
229008,30
31,31
133078,31
133080,31
153702,31
229009,31
32,32
133080,32
133082,32
153703,32
229010,32
33,33
133082,33
133084,33
153704,33
229011,33
34,34
133084,34
133086,34
153705,34
229012,34
35,35
133086,35
133088,35
153706,35
229013,35
36,36
133088,36
133090,36
153707,36
229014,36
37,37
133090,37
133092,37
153708,37
229015,37
38,38
133092,38
133094,38
153709,38
229016,38
39,39
133094,39
133096,39
153710,39
229017,39
40,40
133096,40
133098,40
153711,40
229018,40
41,41
133098,41
133100,41
153712,41
229019,41
42,42
133100,42
133102,42
153713,42
229020,42
43,43
133102,43
133104,43
153714,43
229021,43
44,44
133104,44
133106,44
153715,44
229022,44
45,45
133106,45
133108,45
153716,45
229023,45
46,46
133108,46
133110,46
153717,46
229024,46
47,47
133110,47
133112,47
153718,47
229025,47
48,48
133112,48
133114,48
153719,48
229026,48
49,49
133116,49
133118,49
153720,49
229027,49
50,50
133118,50
133120,50
153721,50
229028,50
51,51
133120,51
133122,51
153722,51
229029,51
52,52
133122,52
133124,52
153723,52
229030,52
53,53
133124,53
133126,53
153724,53
229031,53
54,54
133126,54
133128,54
153725,54
229032,54
55,55
133128,55
133130,55
153726,55
229033,55
56,56
133130,56
133132,56
153727,56
229034,56
57,57
133132,57
133134,57
153728,57
229035,57
58,58
133134,58
133136,58
153729,58
229036,58
59,59
133136,59
133138,59
153730,59
229037,59
60,60
133138,60
133140,60
153731,60
229038,60
61,61
133140,61
133142,61
153732,61
229039,61
62,62
133142,62
133144,62
153733,62
229040,62
63,63
133144,63
133146,63
153734,63
229041,63
64,64
133146,64
133148,64
153735,64
229042,64
65,65
133148,65
133150,65
153736,65
229043,65
66,66
133150,66
133152,66
153737,66
229044,66
67,67
133152,67
133154,67
153738,67
229045,67
68,68
133156,68
133158,68
153739,68
229046,68
69,69
133158,69
133160,69
153740,69
229047,69
70,70
133160,70
133162,70
153741,70
229048,70
71,71
133162,71
133164,71
153742,71
229049,71
72,72
133164,72
133166,72
153743,72
229050,72
73,73
133166,73
133168,73
153744,73
229051,73
74,74
133168,74
133170,74
153745,74
229052,74
75,75
133170,75
133172,75
153746,75
229053,75
76,76
133172,76
133174,76
153747,76
229054,76
77,77
133174,77
133176,77
153748,77
229055,77
78,78
133176,78
133178,78
153749,78
229056,78
79,79
133178,79
133180,79
153750,79
229057,79
80,80
133180,80
133182,80
153751,80
229058,80
81,81
133182,81
133184,81
153752,81
229059,81
82,82
133184,82
133186,82
153753,82
229060,82
83,83
133186,83
133188,83
153754,83
229061,83
84,84
133188,84
133190,84
153755,84
229062,84
85,85
133190,85
133192,85
153756,85
229063,85
86,86
133192,86
133194,86
153757,86
229064,86
87,87
133196,87
133198,87
153758,87
229065,87
88,88
133198,88
133200,88
153759,88
229066,88
89,89
133200,89
133202,89
153760,89
229067,89
90,90
133202,90
133204,90
153761,90
229068,90
91,91
133204,91
133206,91
153762,91
229069,91
92,92
133206,92
133208,92
153763,92
229070,92
93,93
133208,93
133210,93
153764,93
229071,93
94,94
133210,94
133212,94
153765,94
229072,94
95,95
133212,95
133214,95
153766,95
229073,95
96,96
133214,96
133216,96
153767,96
229074,96
97,97
133216,97
133218,97
153768,97
229075,97
98,98
133218,98
133220,98
153769,98
229076,98
99,99
133220,99
133222,99
153770,99
229077,99
100,100
133222,100
133224,100
153771,100
229078,100
101,101
133224,101
133226,101
153772,101
229079,101
102,102
133226,102
133228,102
153773,102
229080,102
103,103
133228,103
133230,103
153774,103
229081,103
104,104
133230,104
133232,104
153775,104
229082,104
105,105
133232,105
133234,105
153776,105
229083,105
106,106
133076,106
133236,106
153777,106
229084,106
107,107
133036,107
133238,107
153778,107
229085,107
108,108
133036,108
133478,108
153779,108
229086,108
109,109
133036,109
133680,109
153780,109
229087,109
110,110
133036,110
133882,110
153781,110
229088,110
111,111
133036,111
134084,111
153782,111
229089,111
112,112
133036,112
134286,112
153783,112
229090,112
113,113
133036,113
134488,113
153784,113
229091,113
114,114
133036,114
134690,114
153785,114
229092,114
115,115
133036,115
134892,115
153786,115
229093,115
116,116
133036,116
135094,116
153787,116
229094,116
117,117
133036,117
135296,117
153788,117
229095,117
118,118
133036,118
135498,118
153789,118
229096,118
119,119
133036,119
135700,119
153790,119
229097,119
120,120
133036,120
135902,120
153791,120
229098,120
121,121
133036,121
136104,121
153792,121
229099,121
122,122
133036,122
136306,122
153793,122
229100,122
123,123
133036,123
136508,123
153794,123
229101,123
124,124
133036,124
136710,124
153795,124
229102,124
125,125
133036,125
136912,125
153796,125
229103,125
126,126
133036,126
137114,126
153797,126
229104,126
127,127
133036,127
137316,127
153798,127
229105,127
128,128
133036,128
137518,128
153799,128
229106,128
129,129
133036,129
137720,129
153800,129
229107,129
130,130
133036,130
137922,130
153801,130
229108,130
131,131
133036,131
138124,131
153802,131
229109,131
132,132
133036,132
138326,132
153803,132
229110,132
133,133
133036,133
138528,133
153804,133
229111,133
134,134
133036,134
138730,134
153805,134
229112,134
135,135
133036,135
138932,135
153806,135
229113,135
136,136
133036,136
139134,136
153807,136
229114,136
137,137
133036,137
139336,137
153808,137
229115,137
138,138
133036,138
139538,138
153809,138
229116,138
139,139
133036,139
139740,139
153810,139
229117,139
140,140
133036,140
139942,140
153811,140
229118,140
141,141
133036,141
140144,141
153812,141
229119,141
142,142
133036,142
140346,142
153813,142
229120,142
143,143
133036,143
140548,143
153814,143
229121,143
144,144
133036,144
140750,144
153815,144
229122,144
145,145
133036,145
140952,145
153816,145
229123,145
146,146
133036,146
141154,146
153817,146
229124,146
147,147
133036,147
141356,147
153818,147
229125,147
148,148
133036,148
141558,148
153819,148
229126,148
149,149
133036,149
141760,149
153820,149
229127,149
150,150
133036,150
141962,150
153821,150
229128,150
151,151
133036,151
142164,151
153822,151
229129,151
152,152
133036,152
142366,152
153823,152
229130,152
153,153
133036,153
142568,153
153824,153
229131,153
154,154
133036,154
142770,154
153825,154
229132,154
155,155
133036,155
142972,155
153826,155
229133,155
156,156
133036,156
143174,156
153827,156
229134,156
157,157
133036,157
143376,157
153828,157
229135,157
158,158
133036,158
143578,158
153829,158
229136,158
159,159
133036,159
143780,159
153830,159
229137,159
160,160
133036,160
143982,160
153831,160
229138,160
161,161
133036,161
144184,161
153832,161
229139,161
162,162
133036,162
144386,162
153833,162
229140,162
163,163
133036,163
144588,163
153834,163
229141,163
164,164
133036,164
144790,164
153835,164
229142,164
165,165
133036,165
144992,165
153836,165
229143,165
166,166
133036,166
145194,166
153837,166
229144,166
167,167
133036,167
145396,167
153838,167
229145,167
168,168
133036,168
145598,168
153839,168
229146,168
169,169
133036,169
145800,169
153840,169
229147,169
170,170
133036,170
146002,170
153841,170
229148,170
171,171
133036,171
146204,171
153842,171
229149,171
172,172
133036,172
146406,172
153843,172
229150,172
173,173
133036,173
146608,173
153844,173
229151,173
174,174
133036,174
146810,174
153845,174
229152,174
175,175
133036,175
147012,175
153846,175
229153,175
176,176
133036,176
147214,176
153847,176
229154,176
177,177
133036,177
147416,177
153848,177
229155,177
178,178
133036,178
147618,178
153849,178
229156,178
179,179
133036,179
147820,179
153850,179
229157,179
180,180
133036,180
148022,180
153851,180
229158,180
181,181
133036,181
148224,181
153852,181
229159,181
182,182
133036,182
148426,182
153853,182
229160,182
183,183
133036,183
148628,183
153854,183
229161,183
184,184
133036,184
148830,184
153855,184
229162,184
185,185
133036,185
149032,185
153856,185
229163,185
186,186
133036,186
149234,186
153857,186
229164,186
187,187
133036,187
149436,187
153858,187
229165,187
188,188
133036,188
149638,188
153859,188
229166,188
189,189
133036,189
149840,189
153860,189
229167,189
190,190
133036,190
150042,190
153861,190
229168,190
191,191
133036,191
150244,191
153862,191
229169,191
192,192
133036,192
150446,192
153863,192
229170,192
193,193
133036,193
150648,193
153864,193
229171,193
194,194
133036,194
150850,194
153865,194
229172,194
195,195
133036,195
151052,195
153866,195
229173,195
196,196
133036,196
151254,196
153867,196
229174,196
197,197
133036,197
151456,197
153868,197
229175,197
198,198
133036,198
151658,198
153869,198
229176,198
199,199
133036,199
151860,199
153870,199
229177,199
200,200
133036,200
152062,200
153871,200
229178,200
201,201
133036,201
152264,201
153872,201
229179,201
202,202
133036,202
152466,202
153873,202
229180,202
203,203
133036,203
152668,203
153874,203
229181,203
204,204
133036,204
152870,204
153875,204
229182,204
205,205
133036,205
153072,205
153876,205
229183,205
206,206
133036,206
153274,206
153877,206
229184,206
207,207
133036,207
153476,207
153878,207
229185,207
208,208
133238,208
133240,208
153879,208
229186,208
209,209
133240,209
133242,209
153880,209
229187,209
210,210
133242,210
133244,210
153881,210
229188,210
211,211
133244,211
133246,211
153882,211
229189,211
212,212
133246,212
133438,212
153883,212
