iteration,subproblem,solve_time_sec,ipopt_iters
1,1,5.597000,16
1,2,5.843000,14
1,3,6.532000,14
1,4,6.337000,15
1,5,6.131000,16
1,6,5.807000,15
1,7,6.049000,16
1,8,6.139000,16
1,9,3.742000,16
1,10,5.805000,16
1,11,7.081000,16
1,12,7.006000,16
1,13,6.974000,16
1,14,5.735000,16
1,15,5.840000,16
1,16,5.461000,16
1,17,4.738000,15
1,18,3.200000,15
1,19,5.461000,16
1,20,5.448000,16
1,21,8.111000,16
1,22,7.672000,16
1,23,5.460000,16
1,24,5.502000,16
1,25,5.938000,16
1,26,5.408000,16
1,27,3.030000,16
1,28,5.779000,16
1,29,6.355000,16
1,30,6.684000,16
1,31,7.196000,16
1,32,5.791000,15
1,33,5.781000,16
1,34,5.601000,16
1,35,5.765000,15
1,36,3.119000,16
1,37,5.762000,16
1,38,6.814000,16
1,39,6.883000,16
1,40,7.543000,16
1,41,6.380000,16
1,42,6.180000,16
1,43,5.881000,15
1,44,5.126000,16
1,45,1.599000,16
1,46,5.711000,16
1,47,6.808000,16
1,48,7.280000,15
1,49,7.254000,16
1,50,5.218000,15
1,51,5.570000,15
1,52,5.380000,14
1,53,4.421000,14
1,54,1.970000,14
1,55,5.779000,15
1,56,5.422000,14
1,57,5.422000,14
1,58,6.285000,14
1,59,5.379000,14
1,60,7.428000,14
1,61,5.752000,14
1,62,5.230000,14
1,63,4.794000,14
1,64,5.433000,14
1,65,5.408000,14
1,66,5.829000,14
1,67,6.500000,14
1,68,5.779000,14
1,69,4.948000,14
1,70,4.789000,14
1,71,5.539000,14
1,72,5.001000,14
1,73,5.509000,14
1,74,4.980000,14
1,75,5.915000,14
1,76,6.443000,14
1,77,5.824000,14
1,78,5.129000,14
1,79,5.630000,14
1,80,4.897000,14
1,81,5.191000,14
1,82,5.129000,14
1,83,5.207000,14
1,84,5.617000,14
1,85,6.679000,15
1,86,6.133000,15
1,87,6.271000,15
1,88,5.952000,15
1,89,5.236000,14
1,90,4.326000,14
1,91,5.599000,14
1,92,5.839000,14
1,93,7.029000,15
1,94,6.909000,16
1,95,5.460000,14
1,96,4.881000,14
1,97,5.239000,14
1,98,5.609000,14
1,99,5.121000,15
1,100,5.509000,15
1,101,4.801000,14
1,102,6.037000,15
1,103,6.166000,14
1,104,5.476000,14
1,105,5.884000,14
1,106,4.536000,14
1,107,4.846000,14
1,108,5.646000,14
1,109,5.762000,14
1,110,5.771000,14
1,111,6.810000,14
1,112,6.443000,14
1,113,5.707000,14
1,114,5.664000,14
1,115,5.654000,15
1,116,6.029000,15
1,117,2.618000,15
1,118,5.249000,15
1,119,5.209000,14
1,120,5.989000,14
1,121,6.182000,14
1,122,5.809000,14
1,123,5.692000,14
1,124,4.902000,14
1,125,4.945000,14
1,126,4.777000,14
1,127,5.276000,14
1,128,5.206000,14
1,129,5.312000,14
1,130,5.320000,14
1,131,6.499000,14
1,132,5.121000,14
1,133,4.803000,14
1,134,4.909000,14
1,135,4.947000,14
1,136,5.121000,14
1,137,5.586000,15
1,138,4.895000,14
1,139,6.369000,15
1,140,6.146000,14
1,141,5.914000,15
1,142,5.339000,14
1,143,5.050000,14
1,144,4.835000,15
2,1,2.869000,6
2,2,2.618000,7
2,3,2.698000,6
2,4,2.592000,6
2,5,2.176000,6
2,6,2.247000,6
2,7,2.043000,6
2,8,2.192000,6
2,9,0.964000,6
2,10,2.186000,6
2,11,2.335000,6
2,12,2.433000,6
2,13,2.418000,6
2,14,2.076000,6
2,15,2.844000,6
2,16,2.023000,5
2,17,2.775000,5
2,18,1.649000,6
2,19,2.405000,6
2,20,2.635000,5
2,21,2.295000,5
2,22,2.111000,6
2,23,2.871000,6
2,24,2.361000,6
2,25,1.707000,6
2,26,2.531000,6
2,27,1.397000,6
2,28,2.640000,6
2,29,2.940000,6
2,30,2.445000,6
2,31,2.677000,6
2,32,2.330000,5
2,33,2.689000,6
2,34,1.391000,5
