iteration,objective,r_norm,s_norm,rho,eff_time_this_k,cum_eff_time,max_sp_time_this_k,mean_ipopt_iters_this_k
1,1326.612310,5.0010257462e-03,9.9820540090e+00,16000.00,2.7880,2.7880,2.7880,15.88
2,1848.323270,3.3393548626e-03,1.2515939548e+01,16000.00,1.9160,4.7040,1.9160,9.96
3,2595.166796,1.4497495236e-03,1.2697522178e+01,16000.00,1.3880,6.0920,1.3880,8.50
4,2850.179886,5.1023534840e-04,8.4235055105e+00,16000.00,1.1190,7.2110,1.1190,6.62
5,2900.942203,4.7414514495e-05,6.4982421716e+00,16000.00,1.2460,8.4570,1.2460,5.29
6,2890.301582,1.3432374603e-04,4.6546824741e+00,8000.00,1.1290,9.5860,1.1290,5.25
7,2882.416655,1.3418417980e-04,3.8275931659e+00,8000.00,0.9980,10.5840,0.9980,5.12
8,2876.965166,6.9645323247e-05,3.8679505366e+00,8000.00,1.1580,11.7420,1.1580,5.92
9,2872.976888,1.8607145112e-05,3.8692986001e+00,8000.00,1.1100,12.8520,1.1100,5.50
10,2867.871321,2.3545504539e-05,3.8272291445e+00,8000.00,1.1850,14.0370,1.1850,5.54
11,2856.154228,4.1027757459e-05,3.7998049837e+00,4000.00,1.1540,15.1910,1.1540,5.96
12,2841.157264,1.0769416640e-04,3.6836683551e+00,4000.00,1.3530,16.5440,1.3530,6.62
13,2826.609479,1.4901657881e-04,3.5487056870e+00,4000.00,1.4870,18.0310,1.4870,7.08
14,2813.663680,1.6549447615e-04,3.2989204574e+00,4000.00,1.4070,19.4380,1.4070,7.38
15,2807.265679,1.5128893026e-04,3.0585684344e+00,4000.00,1.4000,20.8380,1.4000,7.46
16,2799.006777,1.3461323669e-04,2.7198644477e+00,2000.00,1.4680,22.3060,1.4680,7.71
17,2792.323970,1.0186026514e-04,2.2779800026e+00,2000.00,1.6800,23.9860,1.6800,7.96
18,2786.490267,6.0469047793e-05,1.7740246761e+00,2000.00,1.6580,25.6440,1.6580,10.46
19,2781.541258,3.8797296597e-05,1.4018375142e+00,2000.00,1.6190,27.2630,1.6190,9.21
20,2777.634087,3.4442656982e-05,1.1226109371e+00,2000.00,1.9380,29.2010,1.9380,10.71
21,2775.862116,4.9997836094e-05,8.2549999160e-01,1000.00,1.6980,30.8990,1.6980,10.62
22,2776.054888,4.2505067334e-05,6.0109966087e-01,1000.00,1.8030,32.7020,1.8030,11.17
23,2776.756511,3.3572943739e-05,4.2415199816e-01,1000.00,1.9070,34.6090,1.9070,10.54
24,2777.491022,3.3841596372e-05,3.2705512137e-01,1000.00,1.5730,36.1820,1.5730,10.08
25,2777.832609,3.5509465563e-05,2.0535138145e-01,1000.00,1.5810,37.7630,1.5810,10.00
26,2776.528997,5.3287725151e-05,5.3875090287e-02,500.00,1.5870,39.3500,1.5870,10.21
27,2772.800541,3.4514176394e-05,4.0223105800e-02,500.00,1.4240,40.7740,1.4240,8.83
28,2770.757279,3.3307868550e-05,3.2816058121e-02,500.00,1.3310,42.1050,1.3310,9.50
29,2770.502112,2.1836805730e-05,2.9633452789e-02,500.00,1.4560,43.5610,1.4560,10.08
30,2771.035169,1.6306503345e-05,2.2006263042e-02,500.00,1.6360,45.1970,1.6360,9.96
31,2771.891179,2.8032069189e-05,1.1762042177e-02,250.00,1.8340,47.0310,1.8340,9.58
32,2772.409841,2.5776884919e-05,4.1266592810e-03,250.00,2.3080,49.3390,2.3080,9.62
33,2772.562709,1.5137592988e-05,6.5419799823e-03,250.00,1.6450,50.9840,1.6450,8.83
34,2772.433651,5.2201780889e-06,7.0336593349e-03,250.00,1.3930,52.3770,1.3930,9.21
35,2772.191197,6.6132656262e-06,4.6238244433e-03,250.00,2.2800,54.6570,2.2800,9.33
36,2771.865895,1.2439085187e-05,2.0693994790e-03,125.00,1.6110,56.2680,1.6110,8.08
37,2771.758109,1.1007194265e-05,6.7122005561e-04,125.00,1.3640,57.6320,1.3640,8.29
