iteration,objective,r_norm,s_norm,rho,eff_time_this_k,cum_eff_time,max_sp_time_this_k,mean_ipopt_iters_this_k
1,1313.329207,2.5669500788e-03,5.2129058711e-01,2000.00,5.6920,5.6920,5.6920,15.79
2,1313.329220,2.5563591466e-03,6.0841826063e-01,2000.00,3.8300,9.5220,3.8300,6.88
3,1313.329264,2.5405645090e-03,7.0233018585e-01,2000.00,2.7890,12.3110,2.7890,6.02
4,1313.329248,2.5252245859e-03,7.8197234099e-01,2000.00,2.8520,15.1630,2.8520,6.19
5,1313.329243,2.5116232899e-03,8.5421900192e-01,2000.00,3.9490,19.1120,3.9490,7.50
6,1313.329255,2.5034238984e-03,1.0329595275e+00,4000.00,3.8800,22.9920,3.8800,7.38
7,1313.329318,2.4938314093e-03,1.2261456420e+00,4000.00,5.0240,28.0160,5.0240,7.69
8,1313.329655,2.4834514463e-03,1.4136071192e+00,4000.00,2.6140,30.6300,2.6140,6.94
9,1326.170543,2.4398674761e-03,1.2292874875e+00,4000.00,3.4770,34.1070,3.4770,9.79
10,1385.200257,2.3307345508e-03,1.2323543935e+00,4000.00,4.0030,38.1100,4.0030,9.92
11,1488.262485,2.1703043079e-03,1.3544008688e+00,8000.00,3.1700,41.2800,3.1700,11.33
12,1632.998709,1.9826768191e-03,1.4846319411e+00,8000.00,3.2380,44.5180,3.2380,11.10
13,1807.041817,1.7749250259e-03,1.5529674795e+00,8000.00,5.4010,49.9190,5.4010,13.81
14,2050.924748,1.4791365261e-03,1.5528876986e+00,8000.00,4.3000,54.2190,4.3000,11.98
15,2292.297019,1.2017024265e-03,1.6267142877e+00,8000.00,3.4360,57.6550,3.4360,12.81
16,2683.371214,5.8335665798e-04,1.8824694425e+00,40000.00,3.4880,61.1430,3.4880,11.79
17,2916.345741,7.3962071640e-05,1.9182497331e+00,40000.00,2.9060,64.0490,2.9060,9.42
18,2930.627855,2.9233386719e-09,1.9182513479e+00,40000.00,2.1280,66.1770,2.1280,8.15
19,2929.973066,1.7348191635e-09,1.9182508398e+00,40000.00,2.0350,68.2120,2.0350,7.88
20,2929.318087,1.4534562315e-09,1.9182488591e+00,40000.00,2.6760,70.8880,2.6760,8.12
21,2928.007164,1.7847619389e-09,1.9182481154e+00,20000.00,2.7510,73.6390,2.7510,8.98
22,2926.697259,1.4982335129e-09,1.9182457169e+00,20000.00,3.0020,76.6410,3.0020,9.06
23,2925.386935,1.4927645211e-09,1.9182428379e+00,20000.00,2.8550,79.4960,2.8550,9.04
24,2924.076745,3.6782525584e-09,1.9182331684e+00,20000.00,2.4960,81.9920,2.4960,9.02
25,2922.765984,2.5471717835e-09,1.9182349011e+00,20000.00,2.8540,84.8460,2.8540,9.10
26,2920.147021,1.4582178156e-08,1.9181397462e+00,10000.00,2.8180,87.6640,2.8180,10.71
27,2917.546545,5.5715400775e-06,1.9097352156e+00,10000.00,2.4670,90.1310,2.4670,10.46
28,2915.045169,5.9418276428e-06,1.9026345014e+00,10000.00,2.4890,92.6200,2.4890,10.54
29,2912.534154,6.5513666784e-06,1.8955977328e+00,10000.00,2.5080,95.1280,2.5080,10.54
30,2909.957320,6.5071610570e-06,1.8879336406e+00,10000.00,2.5700,97.6980,2.5700,10.52
31,2904.872139,1.2662371069e-05,1.8801790360e+00,5000.00,2.6580,100.3560,2.6580,10.71
32,2899.557029,1.0010406051e-05,1.8752772459e+00,5000.00,3.2200,103.5760,3.2200,10.50
33,2893.193768,2.8641214009e-05,1.8545440189e+00,5000.00,4.0160,107.5920,4.0160,10.79
34,2886.858149,4.3918200056e-05,1.8225025690e+00,5000.00,3.0350,110.6270,3.0350,10.35
35,2882.491544,4.4677864093e-05,1.8006083921e+00,5000.00,2.9760,113.6030,2.9760,10.58
