# tADMM live log — ieee123C_1ph T=96, ρ_init=3000.0, adaptive=false
# k, objective, r_norm, s_norm, rho, sp_max, sp_med, elapsed_s, event
1,1322.331032,1.2801862606e-03,2.7645445708e-01,3000.00,6.4220,4.6050,39.10,
2,1322.331261,1.2775110875e-03,3.2276138249e-01,3000.00,3.2590,2.1615,56.22,
3,1322.331027,1.2736119774e-03,3.7242203268e-01,3000.00,5.5720,2.4605,73.03,
4,1322.331039,1.2697748596e-03,4.1467794242e-01,3000.00,3.8220,2.0615,86.99,
5,1322.331059,1.2663953089e-03,4.5300264571e-01,3000.00,2.9680,2.1320,102.25,
6,1322.331089,1.2631948176e-03,4.8961996403e-01,3000.00,7.5180,2.4550,119.59,
7,1322.331121,1.2600513888e-03,5.2484188139e-01,3000.00,6.4460,2.4160,135.54,
8,1322.331106,1.2569343966e-03,5.5853011685e-01,3000.00,5.1440,1.8145,147.59,
9,1322.331131,1.2538457885e-03,5.9068055939e-01,3000.00,6.9520,1.8820,162.36,
10,1322.331181,1.2507804808e-03,6.2131285560e-01,3000.00,5.5390,1.6900,174.60,
11,1322.331376,1.2477244392e-03,6.5084432642e-01,3000.00,5.2200,1.4325,186.41,
12,1322.331484,1.2446847832e-03,6.7935732657e-01,3000.00,3.4740,1.6720,197.98,
13,1322.331438,1.2416523193e-03,7.0657585478e-01,3000.00,5.2720,1.6850,210.97,
14,1322.331325,1.2389876863e-03,6.2262379888e-01,3000.00,3.7370,1.6220,223.07,
15,1322.331291,1.2373756748e-03,6.0661744334e-01,3000.00,4.0390,1.5945,235.43,
16,1322.350515,1.2365254261e-03,5.9704143590e-01,3000.00,3.7560,1.5960,247.37,
17,1344.592267,1.2128950446e-03,5.9075745586e-01,3000.00,5.5130,1.6065,260.14,
18,1364.183724,1.1977318436e-03,5.8681271966e-01,3000.00,4.2150,1.6390,271.98,
19,1388.955170,1.1741735146e-03,5.8547809226e-01,3000.00,7.2080,1.6245,284.67,
20,1420.258203,1.1514608405e-03,5.8708996564e-01,3000.00,4.4650,1.5120,296.92,
21,1442.077497,1.1354775595e-03,5.8971538422e-01,3000.00,5.9750,1.9165,311.75,
22,1468.173076,1.1145510487e-03,5.8998480667e-01,3000.00,4.9980,1.7325,325.51,
23,1497.374844,1.0956106891e-03,5.9052147791e-01,3000.00,6.3850,1.6270,339.36,
24,1519.436618,1.0817965480e-03,5.8423390916e-01,3000.00,6.4710,1.5640,351.82,
25,1537.053120,1.0711793585e-03,5.6997032938e-01,3000.00,3.7860,1.5755,363.86,
26,1554.981013,1.0597494496e-03,5.5309302022e-01,3000.00,4.4660,1.9835,378.88,
27,1582.071917,1.0438296957e-03,5.3827909309e-01,3000.00,3.9810,1.9260,393.66,
28,1606.418662,1.0292467920e-03,5.2859870812e-01,3000.00,4.7760,2.3300,411.10,
29,1630.325950,1.0155438710e-03,5.1966663076e-01,3000.00,5.5300,2.4305,428.67,
30,1653.165426,1.0024609994e-03,5.2023533555e-01,3000.00,4.5590,2.2530,445.42,
31,1677.212499,9.8844884251e-04,5.1831193598e-01,3000.00,7.1340,2.8490,466.16,
32,1701.522708,9.7330849156e-04,5.3121550549e-01,3000.00,7.7590,2.4095,484.48,
33,1737.683790,9.5156071606e-04,5.4027830706e-01,3000.00,6.4720,2.0470,501.61,
34,1774.772741,9.3078127033e-04,5.5550756541e-01,3000.00,4.8520,2.1590,517.06,
35,1808.225828,9.1113703457e-04,5.6734893468e-01,3000.00,3.7020,1.6860,530.80,
36,1843.892880,8.9065812768e-04,5.8234124202e-01,3000.00,4.6980,1.9740,546.04,
37,1883.873191,8.6673924148e-04,6.0392825299e-01,3000.00,5.1710,1.9935,562.47,
38,1926.703810,8.4160268330e-04,6.2208144468e-01,3000.00,8.1360,2.3090,580.04,
39,1976.298463,8.1220316444e-04,6.4122988324e-01,3000.00,5.3410,2.6375,599.89,
40,2052.881889,7.6357389074e-04,6.6019452933e-01,3000.00,7.4280,2.6595,620.24,
41,2137.584958,7.2105719762e-04,6.7502571802e-01,3000.00,6.2570,2.7845,639.78,
42,2164.724101,7.0382671517e-04,6.8937315777e-01,3000.00,5.9520,2.6020,657.97,
43,2201.780711,6.7872171750e-04,6.9799181884e-01,3000.00,5.9520,2.6840,676.95,
44,2242.264463,6.5265289463e-04,7.1124741173e-01,3000.00,5.7020,2.7890,695.53,
45,2283.279246,6.2576420516e-04,7.2868842841e-01,3000.00,5.3330,2.3420,711.41,
46,2341.240458,5.8398244100e-04,7.4194948239e-01,3000.00,7.3760,2.7520,730.76,
47,2387.430179,5.5768238885e-04,7.5141663747e-01,3000.00,6.9440,2.9320,751.05,
