# tADMM live log — ieee123C_1ph T=96, ρ_init=4000.0, adaptive=true
# k, objective, r_norm, s_norm, rho, sp_max, sp_med, elapsed_s, event
# tADMM live log — ieee123C_1ph T=96, ρ_init=4000.0, adaptive=true
# k, objective, r_norm, s_norm, rho, sp_max, sp_med, elapsed_s, event
1,1322.331058,1.2801791566e-03,3.6861344390e-01,4000.00,6.6940,5.2745,42.58,
2,1322.331024,1.2775382089e-03,4.3025414785e-01,4000.00,4.2760,2.2010,60.00,
3,1322.331020,1.2735978996e-03,4.9658579251e-01,4000.00,3.2900,2.1575,75.07,
4,1322.331028,1.2697725620e-03,5.5291711276e-01,4000.00,4.0210,1.9425,88.11,
5,1322.331082,1.2663937995e-03,6.0401318360e-01,8000.00,2.3760,1.6235,99.56,
6,1322.331142,1.2643649880e-03,7.3040341907e-01,8000.00,5.0830,1.7520,111.80,
7,1322.331183,1.2619931624e-03,8.6700572198e-01,8000.00,3.7110,1.4190,121.96,
8,1322.331325,1.2594324047e-03,9.9957941619e-01,8000.00,3.3660,1.4800,132.59,
9,1335.282003,1.2393387130e-03,1.1264967775e+00,8000.00,5.8510,1.3230,144.00,
10,1395.248215,1.1849865462e-03,1.2518316670e+00,16000.00,5.2560,1.5085,158.40,
11,1508.307446,1.0953754668e-03,1.5116816756e+00,16000.00,5.0120,1.4680,173.04,
12,1671.339782,9.8995448384e-04,1.7399468525e+00,16000.00,5.6290,1.4595,187.31,
13,1847.716449,8.8312942804e-04,1.9217035828e+00,16000.00,5.7160,1.7110,202.06,
14,2098.038200,7.2732728084e-04,2.0566537064e+00,16000.00,4.9850,2.0495,218.90,
15,2348.473192,5.7855357715e-04,2.1612204056e+00,80000.00,6.6700,2.8020,239.46,
16,2710.759902,2.8485365671e-04,2.5870012385e+00,80000.00,3.5470,1.8440,252.25,
17,2929.047698,4.7593359147e-05,2.9237323084e+00,80000.00,5.3440,1.8145,266.51,
18,2944.322223,2.0602998045e-05,3.1449000810e+00,80000.00,2.7690,1.5270,277.47,
19,2944.377756,1.2738774702e-05,3.2879979649e+00,80000.00,2.9490,1.6090,289.10,
20,2943.924474,7.2425940211e-06,3.2513975570e+00,40000.00,3.3100,1.6365,301.34,
21,2943.012306,6.2511786525e-06,2.9350076683e+00,40000.00,4.8210,2.3465,316.55,
22,2941.446360,7.9947395531e-06,2.4714129177e+00,40000.00,3.2880,2.2475,331.49,
23,2939.849442,7.8505559672e-06,2.1060036022e+00,40000.00,4.4480,2.5970,349.29,
24,2938.153435,8.1126161793e-06,1.8876776070e+00,40000.00,5.3170,3.6415,373.61,
